1,東京都生計分析調査　令和 5年 4月,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第４表　年間収入区分別及び住居所有形態別１世帯当たり１か月間の収入と用途別生計支出　―　無職世帯　―　,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,-,8550,-,2391,-,2077,-,7609,-,6472,-,1450,-
7,0,0,0,0,0,調査世帯数,179,-,-,154,-,41,-,35,-,138,-,119,-,25,-
8,0,0,0,0,0,世帯人員,2.36,-,-,2.35,-,2.31,-,2.36,-,2.37,-,2.35,-,2.38,-
9,0,0,0,0,0,有業人員,0.46,-,-,0.48,-,0.25,-,0.28,-,0.53,-,0.54,-,0.38,-
10,0,0,0,0,0,世帯主平均年齢,74.1,-,-,75.0,-,75.6,-,76.9,-,73.7,-,74.4,-,69.0,-
11,1,0,0,0,0,受取,818808,-,-12.5,854972,-,591952,-,623604,-,890102,-,929231,-,605649,-
12,1,1,0,0,0,実収入,373405,100.0,-7.7,389005,100.0,247700,100.0,259965,100.0,412910,100.0,430421,100.0,281455,100.0
13,1,2,0,0,0,経常収入,360985,96.7,-8.7,375001,96.4,245960,99.3,258304,99.4,397134,96.2,412456,95.8,278372,98.9
14,1,3,0,0,0,勤め先収入,22110,5.9,9.9,21106,5.4,5554,2.2,6393,2.5,27313,6.6,25828,6.0,28027,10.0
15,1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,1,4,0,0,0,世帯主の配偶者の収入,13230,3.5,59.1,13607,3.5,2524,1.0,2906,1.1,16594,4.0,17042,4.0,11004,3.9
21,1,6,0,0,0,うち女,13230,3.5,59.1,13607,3.5,2524,1.0,2906,1.1,16594,4.0,17042,4.0,11004,3.9
22,1,4,0,0,0,他の世帯員収入,8880,2.4,-24.8,7498,1.9,3030,1.2,3487,1.3,10719,2.6,8786,2.0,17023,6.0
23,1,3,0,0,0,事業・内職収入,4108,1.1,-40.2,3009,0.8,3435,1.4,3954,1.5,4319,1.0,2706,0.6,10583,3.8
24,1,4,0,0,0,家賃収入,1255,0.3,-57.4,1468,0.4,3435,1.4,3954,1.5,570,0.1,670,0.2,-,-
25,1,4,0,0,0,他の事業収入,1308,0.4,12.1,-,-,-,-,-,-,1719,0.4,-,-,9017,3.2
26,1,4,0,0,0,内職収入,1545,0.4,-43.8,1542,0.4,-,-,-,-,2031,0.5,2036,0.5,1566,0.6
27,1,3,0,0,0,他の経常収入,334768,89.7,-9.2,350886,90.2,236971,95.7,247956,95.4,365502,88.5,383922,89.2,239762,85.2
28,1,4,0,0,0,財産収入,2651,0.7,-50.7,3095,0.8,0,0.0,0,0.0,3484,0.8,4088,0.9,36,0.0
29,1,4,0,0,0,社会保障給付,332036,88.9,-8.5,347698,89.4,236637,95.5,247571,95.2,362018,87.7,379834,88.2,239726,85.2
30,1,5,0,0,0,公的年金給付,323860,86.7,-8.4,345019,88.7,234614,94.7,247063,95.0,351908,85.2,376459,87.5,199142,70.8
31,1,5,0,0,0,他の社会保障給付,8176,2.2,-13.8,2678,0.7,2023,0.8,508,0.2,10110,2.4,3375,0.8,40584,14.4
32,1,4,0,0,0,仕送り金,80,0.0,-41.6,93,0.0,334,0.1,385,0.1,-,-,-,-,-,-
33,1,2,0,0,0,特別収入,12420,3.3,37.9,14004,3.6,1740,0.7,1661,0.6,15776,3.8,17965,4.2,3083,1.1
34,1,3,0,0,0,受贈金,176,0.0,-84.3,206,0.1,-,-,-,-,231,0.1,272,0.1,-,-
35,1,3,0,0,0,他の特別収入,12244,3.3,55.2,13798,3.5,1740,0.7,1661,0.6,15545,3.8,17693,4.1,3083,1.1
