1,東京都生計分析調査　令和 5年 4月,,,,,,,,,
2,,,主　　要　　指　　標　　　４　　―　全世帯，生計支出７分位階層別　―,,,,,,,
3,,,エンゲル係数  　 　　〔＝（食料費÷消費支出） ×１００〕　※令和５年１月から４月の４か月分について、令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,
4,年次・月次コード,年次・月次,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
5,nen,平成28年平均,26.4,48.5,39.2,34.5,31.7,29.4,25.6,15.9
6,nen,平成29年平均,26.1,48.0,39.1,34.6,31.4,29.0,25.8,15.5
7,nen,平成30年平均,26.7,49.5,38.5,35.2,32.3,29.5,26.0,16.1
8,nen,平成31年・令和元年平均,26.9,49.4,40.9,36.3,32.3,29.3,25.3,16.4
9,nen,令和 2年平均,28.2,50.2,41.6,36.9,33.2,31.1,27.9,17.3
10,nen,令和 3年平均,28.0,49.1,42.4,37.2,34.4,31.3,27.6,16.8
11,nen,令和 4年平均,27.4,49.8,41.4,36.4,33.2,30.6,26.9,16.2
12,tuki,令和 4年 4月,23.6,47.6,40.5,34.8,32.2,30.2,23.9,11.6
13,tuki,令和 4年 5月,27.9,49.0,43.1,35.8,34.9,32.8,27.7,16.2
14,tuki,令和 4年 6月,29.4,53.9,42.3,36.5,34.5,31.6,27.9,18.8
15,tuki,令和 4年 7月,28.4,51.9,42.9,39.3,34.3,32.8,27.0,16.7
16,tuki,令和 4年 8月,27.6,55.2,42.7,38.8,32.8,30.6,26.8,16.0
17,tuki,令和 4年 9月,27.6,52.5,42.7,37.7,32.6,31.5,27.8,15.3
18,tuki,令和 4年10月,28.1,50.1,40.7,37.3,35.2,28.3,28.4,17.0
19,tuki,令和 4年11月,26.6,51.5,40.5,34.6,32.2,29.2,26.9,15.3
20,tuki,令和 4年12月,29.1,47.6,42.4,38.7,34.0,30.8,28.7,17.9
21,tuki,令和 5年 1月,26.7,46.6,37.0,32.1,30.8,26.7,28.5,17.7
22,tuki,令和 5年 2月,28.5,50.5,42.9,34.3,34.4,28.4,26.9,18.5
23,tuki,令和 5年 3月,27.3,48.3,42.4,36.0,31.1,30.6,26.8,16.6
24,tuki,令和 5年 4月,25.4,52.1,41.0,37.3,32.1,29.7,26.6,13.3
