1,東京都生計分析調査　令和 5年 5月,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第７表　世帯主年齢階層別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　,,,,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,546,-,502,-,742,-,1135,-,1037,-,1048,-,1102,-,3887,-,1758,-
7,0,0,0,0,0,調査世帯数,614,-,33,-,31,-,44,-,68,-,65,-,67,-,63,-,243,-,110,-
8,0,0,0,0,0,世帯人員,2.95,-,3.08,-,3.96,-,3.44,-,3.74,-,3.21,-,2.93,-,2.87,-,2.45,-,2.34,-
9,0,0,0,0,0,有業人員,1.43,-,1.60,-,1.41,-,1.46,-,1.63,-,1.84,-,2.06,-,1.85,-,0.94,-,0.60,-
10,0,0,0,0,0,世帯主平均年齢,59.3,-,30.6,-,37.2,-,42.5,-,47.1,-,51.4,-,57.2,-,61.9,-,75.0,-,81.5,-
11,2,2,0,0,0,生計支出,316448,-,278305,-,272087,-,331073,-,356599,-,457828,-,402167,-,296858,-,257724,-,230580,-
12,2,3,0,0,0,消費支出,314270,100.0,278305,100.0,272087,100.0,331073,100.0,356599,100.0,457828,100.0,402167,100.0,296858,100.0,252119,100.0,218187,100.0
13,2,4,1,0,0,食料,96374,30.7,69235,24.9,82369,30.3,103424,31.2,102493,28.7,109958,24.0,107145,26.6,104172,35.1,90121,35.7,86259,39.5
14,2,5,1,1,0,穀類,7257,2.3,5023,1.8,5946,2.2,6947,2.1,8822,2.5,8994,2.0,7055,1.8,7516,2.5,6859,2.7,6550,3.0
15,2,6,1,1,1,米類,1702,0.5,1075,0.4,1106,0.4,1181,0.4,1833,0.5,2168,0.5,1947,0.5,2117,0.7,1620,0.6,1724,0.8
16,2,6,1,1,2,パン,3358,1.1,2191,0.8,2898,1.1,3279,1.0,3911,1.1,4186,0.9,2873,0.7,3390,1.1,3335,1.3,3013,1.4
17,2,6,1,1,3,麺類,1764,0.6,1417,0.5,1572,0.6,1791,0.5,2521,0.7,1974,0.4,1730,0.4,1704,0.6,1580,0.6,1390,0.6
18,2,6,1,1,4,他の穀類,434,0.1,340,0.1,370,0.1,695,0.2,557,0.2,665,0.1,505,0.1,304,0.1,325,0.1,423,0.2
19,2,5,1,2,0,魚介類,6264,2.0,2670,1.0,3892,1.4,4701,1.4,5328,1.5,5872,1.3,5788,1.4,6817,2.3,7723,3.1,7938,3.6
20,2,6,1,2,1,生鮮魚介,3647,1.2,1708,0.6,2440,0.9,2752,0.8,2890,0.8,3497,0.8,3493,0.9,3866,1.3,4487,1.8,4521,2.1
21,2,6,1,2,2,塩干魚介,1138,0.4,370,0.1,605,0.2,897,0.3,1015,0.3,879,0.2,942,0.2,1344,0.5,1460,0.6,1586,0.7
22,2,6,1,2,3,魚肉練製品,597,0.2,219,0.1,225,0.1,328,0.1,484,0.1,624,0.1,563,0.1,588,0.2,786,0.3,769,0.4
23,2,6,1,2,4,他の魚介加工品,882,0.3,373,0.1,622,0.2,725,0.2,940,0.3,871,0.2,790,0.2,1018,0.3,989,0.4,1062,0.5
24,2,5,1,3,0,肉類,9053,2.9,6633,2.4,8602,3.2,9984,3.0,10632,3.0,10406,2.3,9340,2.3,10647,3.6,7922,3.1,7389,3.4
25,2,6,1,3,1,生鮮肉,7275,2.3,5389,1.9,7011,2.6,8168,2.5,8758,2.5,8491,1.9,7286,1.8,8672,2.9,6247,2.5,6012,2.8
26,2,6,1,3,2,加工肉,1778,0.6,1244,0.4,1591,0.6,1817,0.5,1874,0.5,1915,0.4,2054,0.5,1974,0.7,1675,0.7,1377,0.6
27,2,5,1,4,0,乳卵類,4935,1.6,3263,1.2,5604,2.1,5070,1.5,5112,1.4,5080,1.1,5210,1.3,4992,1.7,4877,1.9,4658,2.1
28,2,6,1,4,1,牛乳,1380,0.4,756,0.3,1593,0.6,1602,0.5,1490,0.4,1156,0.3,1340,0.3,1377,0.5,1436,0.6,1473,0.7
29,2,6,1,4,2,乳製品,2410,0.8,1822,0.7,2892,1.1,2393,0.7,2314,0.6,2735,0.6,2627,0.7,2389,0.8,2323,0.9,2118,1.0
30,2,6,1,4,3,卵,1145,0.4,685,0.2,1119,0.4,1075,0.3,1308,0.4,1189,0.3,1243,0.3,1226,0.4,1118,0.4,1067,0.5
31,2,5,1,5,0,野菜・海藻,10864,3.5,6023,2.2,7248,2.7,9082,2.7,9891,2.8,10899,2.4,10288,2.6,11467,3.9,12610,5.0,13531,6.2
32,2,6,1,5,1,生鮮野菜,7646,2.4,4421,1.6,5283,1.9,6885,2.1,6803,1.9,7421,1.6,7390,1.8,8347,2.8,8726,3.5,9455,4.3
33,2,6,1,5,2,乾物・海藻,706,0.2,388,0.1,387,0.1,446,0.1,796,0.2,533,0.1,649,0.2,664,0.2,888,0.4,881,0.4
34,2,6,1,5,3,大豆加工品,1232,0.4,749,0.3,954,0.4,908,0.3,1126,0.3,1371,0.3,1204,0.3,1214,0.4,1403,0.6,1356,0.6
35,2,6,1,5,4,他の野菜・海藻加工品,1280,0.4,466,0.2,624,0.2,842,0.3,1165,0.3,1574,0.3,1045,0.3,1242,0.4,1592,0.6,1840,0.8
36,2,5,1,6,0,果物,3483,1.1,1702,0.6,2752,1.0,3323,1.0,2444,0.7,3623,0.8,3086,0.8,3042,1.0,4356,1.7,5206,2.4
37,2,6,1,6,1,生鮮果物,3104,1.0,1554,0.6,2651,1.0,3054,0.9,2159,0.6,3216,0.7,2665,0.7,2609,0.9,3896,1.5,4741,2.2
38,2,6,1,6,2,果物加工品,379,0.1,148,0.1,101,0.0,269,0.1,285,0.1,407,0.1,421,0.1,434,0.1,461,0.2,465,0.2
39,2,5,1,7,0,油脂・調味料,4319,1.4,2401,0.9,3752,1.4,4034,1.2,5518,1.5,5132,1.1,4016,1.0,4763,1.6,4104,1.6,4164,1.9
40,2,6,1,7,1,油脂,493,0.2,343,0.1,545,0.2,398,0.1,682,0.2,397,0.1,471,0.1,512,0.2,497,0.2,523,0.2
41,2,6,1,7,2,調味料,3826,1.2,2057,0.7,3207,1.2,3636,1.1,4836,1.4,4735,1.0,3544,0.9,4250,1.4,3608,1.4,3641,1.7
42,2,5,1,8,0,菓子類,8269,2.6,5712,2.1,9933,3.7,9519,2.9,10094,2.8,9827,2.1,8677,2.2,8803,3.0,6963,2.8,6688,3.1
43,2,5,1,9,0,調理食品,14037,4.5,8983,3.2,8553,3.1,15140,4.6,13623,3.8,16657,3.6,13506,3.4,16760,5.6,14037,5.6,12361,5.7
44,2,6,1,9,1,主食的調理食品,6244,2.0,4545,1.6,3750,1.4,5394,1.6,6728,1.9,8079,1.8,6463,1.6,6968,2.3,6072,2.4,5337,2.4
45,2,6,1,9,2,他の調理食品,7793,2.5,4438,1.6,4802,1.8,9745,2.9,6895,1.9,8578,1.9,7043,1.8,9792,3.3,7965,3.2,7024,3.2
46,2,5,1,10,0,飲料,6193,2.0,4597,1.7,5669,2.1,5107,1.5,6823,1.9,8021,1.8,7496,1.9,5527,1.9,5857,2.3,5215,2.4
47,2,6,1,10,1,茶類,1448,0.5,697,0.3,880,0.3,882,0.3,1260,0.4,2065,0.5,1748,0.4,1249,0.4,1600,0.6,1688,0.8
48,2,6,1,10,2,コーヒー・ココア,1118,0.4,604,0.2,988,0.4,1090,0.3,1566,0.4,1095,0.2,1166,0.3,1336,0.5,1014,0.4,737,0.3
49,2,6,1,10,3,他の飲料,3627,1.2,3295,1.2,3802,1.4,3135,0.9,3997,1.1,4861,1.1,4582,1.1,2941,1.0,3244,1.3,2790,1.3
50,2,5,1,11,0,酒類,4234,1.3,1901,0.7,2817,1.0,3805,1.1,2831,0.8,4368,1.0,4946,1.2,5708,1.9,4592,1.8,3737,1.7
51,2,5,1,12,0,外食,17467,5.6,20326,7.3,17601,6.5,26713,8.1,21374,6.0,21078,4.6,27737,6.9,18130,6.1,10220,4.1,8820,4.0
52,2,6,1,12,1,一般外食,16813,5.3,19655,7.1,15317,5.6,24292,7.3,20251,5.7,19602,4.3,27336,6.8,18130,6.1,10220,4.1,8820,4.0
53,2,6,1,12,2,学校給食,654,0.2,671,0.2,2283,0.8,2421,0.7,1123,0.3,1476,0.3,401,0.1,-,-,-,-,-,-
54,2,4,2,0,0,住居,23429,7.5,66554,23.9,22903,8.4,13719,4.1,19878,5.6,46568,10.2,24861,6.2,16255,5.5,15804,6.3,10966,5.0
55,2,5,2,1,0,家賃地代,14273,4.5,62301,22.4,21290,7.8,13638,4.1,19512,5.5,16901,3.7,15800,3.9,1685,0.6,7670,3.0,4982,2.3
56,2,5,2,2,0,設備修繕・維持,9156,2.9,4253,1.5,1613,0.6,81,0.0,366,0.1,29668,6.5,9061,2.3,14570,4.9,8134,3.2,5983,2.7
57,2,6,2,2,1,設備材料,1876,0.6,363,0.1,1180,0.4,81,0.0,68,0.0,682,0.1,534,0.1,340,0.1,4165,1.7,3092,1.4
58,2,6,2,2,2,工事その他のサービス,7280,2.3,3890,1.4,432,0.2,-,-,298,0.1,28986,6.3,8527,2.1,14230,4.8,3970,1.6,2892,1.3
59,2,4,3,0,0,光熱・水道,22891,7.3,17398,6.3,19487,7.2,23440,7.1,20186,5.7,28065,6.1,22818,5.7,25913,8.7,22568,9.0,21847,10.0
60,2,5,3,1,0,電気代,10628,3.4,8403,3.0,7901,2.9,10151,3.1,8699,2.4,13032,2.8,11706,2.9,11660,3.9,10721,4.3,11383,5.2
61,2,5,3,2,0,ガス代,6919,2.2,5661,2.0,6429,2.4,8365,2.5,6372,1.8,8210,1.8,7322,1.8,7618,2.6,6391,2.5,5836,2.7
62,2,5,3,3,0,他の光熱,59,0.0,4,0.0,19,0.0,57,0.0,15,0.0,66,0.0,17,0.0,44,0.0,99,0.0,90,0.0
63,2,5,3,4,0,上下水道料,5285,1.7,3329,1.2,5138,1.9,4867,1.5,5100,1.4,6757,1.5,3774,0.9,6591,2.2,5356,2.1,4538,2.1
64,2,4,4,0,0,家具・家事用品,12672,4.0,22475,8.1,10379,3.8,19020,5.7,9537,2.7,25341,5.5,11437,2.8,10237,3.4,8938,3.5,8300,3.8
65,2,5,4,1,0,家庭用耐久財,4500,1.4,12147,4.4,703,0.3,12011,3.6,1391,0.4,13556,3.0,3532,0.9,944,0.3,2242,0.9,2649,1.2
66,2,6,4,1,1,家事用耐久財,2109,0.7,1098,0.4,-,-,651,0.2,1328,0.4,8969,2.0,2401,0.6,944,0.3,1451,0.6,1218,0.6
67,2,6,4,1,2,冷暖房用器具,1143,0.4,4072,1.5,161,0.1,3870,1.2,63,0.0,3145,0.7,155,0.0,-,-,709,0.3,1431,0.7
68,2,6,4,1,3,一般家具,1248,0.4,6977,2.5,543,0.2,7490,2.3,-,-,1443,0.3,976,0.2,-,-,82,0.0,-,-
69,2,5,4,2,0,室内装備・装飾品,394,0.1,3251,1.2,342,0.1,120,0.0,230,0.1,620,0.1,138,0.0,144,0.0,180,0.1,117,0.1
