1,"東京都生計分析調査　令和 5年 8月","","","","","","","","","","","","","","",""
2,"","","","","","","第１３表　住居所有形態別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―","","","","","","","","",""
3,"","","","","","","注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　2：生計支出）","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","持家／実数（円）","持家／構成比（％）","民営借家／実数（円）","民営借家／構成比（％）","公営借家／実数（円）","公営借家／構成比（％）","給与住宅／実数（円）","給与住宅／構成比（％）"
6,"0","0","0","0","0","世帯数分布",10000,-,8277,-,1166,-,360,-,196,-
7,"0","0","0","0","0","調査世帯数",617,-,514,-,69,-,23,-,11,-
8,"0","0","0","0","0","世帯人員",2.97,-,2.99,-,2.85,-,2.61,-,3.67,-
9,"0","0","0","0","0","有業人員",1.39,-,1.40,-,1.50,-,0.79,-,1.50,-
10,"0","0","0","0","0","世帯主平均年齢",58.9,-,60.5,-,48.1,-,63.3,-,46.3,-
11,"2","2","0","0","0","生計支出",368654,-,345636,-,528567,-,268672,-,572573,-
12,"2","3","0","0","0","消費支出",348758,100.0,345260,100.0,360661,100.0,268672,100.0,572573,100.0
13,"2","4","1","0","0","食料",99669,28.6,102772,29.8,86553,24.0,83646,31.1,76095,13.3
14,"2","5","1","1","0","穀類",6752,1.9,6964,2.0,5692,1.6,6596,2.5,4363,0.8
15,"2","6","1","1","1","米類",1587,0.5,1637,0.5,1455,0.4,1162,0.4,1028,0.2
16,"2","6","1","1","2","パン",2993,0.9,3114,0.9,2410,0.7,3124,1.2,1123,0.2
17,"2","6","1","1","3","麺類",1771,0.5,1791,0.5,1572,0.4,2133,0.8,1422,0.2
18,"2","6","1","1","4","他の穀類",401,0.1,422,0.1,255,0.1,177,0.1,789,0.1
19,"2","5","1","2","0","魚介類",5781,1.7,5934,1.7,4417,1.2,7109,2.6,4953,0.9
20,"2","6","1","2","1","生鮮魚介",3189,0.9,3241,0.9,2336,0.6,4669,1.7,3346,0.6
21,"2","6","1","2","2","塩干魚介",1062,0.3,1093,0.3,837,0.2,1165,0.4,899,0.2
22,"2","6","1","2","3","魚肉練製品",561,0.2,582,0.2,487,0.1,454,0.2,303,0.1
23,"2","6","1","2","4","他の魚介加工品",968,0.3,1018,0.3,757,0.2,821,0.3,405,0.1
24,"2","5","1","3","0","肉類",8572,2.5,8882,2.6,6839,1.9,6757,2.5,9125,1.6
25,"2","6","1","3","1","生鮮肉",6951,2.0,7243,2.1,5465,1.5,4779,1.8,7456,1.3
26,"2","6","1","3","2","加工肉",1621,0.5,1639,0.5,1374,0.4,1978,0.7,1669,0.3
27,"2","5","1","4","0","乳卵類",5068,1.5,5332,1.5,3721,1.0,3658,1.4,4538,0.8
28,"2","6","1","4","1","牛乳",1656,0.5,1755,0.5,1285,0.4,1087,0.4,759,0.1
29,"2","6","1","4","2","乳製品",2308,0.7,2442,0.7,1498,0.4,1546,0.6,2836,0.5
30,"2","6","1","4","3","卵",1104,0.3,1135,0.3,938,0.3,1025,0.4,943,0.2
31,"2","5","1","5","0","野菜・海藻",10612,3.0,11073,3.2,7748,2.1,10675,4.0,8063,1.4
32,"2","6","1","5","1","生鮮野菜",7401,2.1,7709,2.2,5426,1.5,7405,2.8,6156,1.1
33,"2","6","1","5","2","乾物・海藻",738,0.2,773,0.2,493,0.1,815,0.3,584,0.1
34,"2","6","1","5","3","大豆加工品",1244,0.4,1305,0.4,925,0.3,1192,0.4,632,0.1
35,"2","6","1","5","4","他の野菜・海藻加工品",1229,0.4,1286,0.4,904,0.3,1264,0.5,692,0.1
36,"2","5","1","6","0","果物",4210,1.2,4467,1.3,2743,0.8,4242,1.6,2043,0.4
37,"2","6","1","6","1","生鮮果物",3881,1.1,4107,1.2,2539,0.7,4039,1.5,2034,0.4
38,"2","6","1","6","2","果物加工品",329,0.1,360,0.1,205,0.1,203,0.1,9,0.0
39,"2","5","1","7","0","油脂・調味料",4099,1.2,4236,1.2,3459,1.0,3220,1.2,3718,0.6
40,"2","6","1","7","1","油脂",478,0.1,503,0.1,414,0.1,351,0.1,46,0.0
41,"2","6","1","7","2","調味料",3621,1.0,3733,1.1,3046,0.8,2870,1.1,3672,0.6
42,"2","5","1","8","0","菓子類",8087,2.3,8369,2.4,6919,1.9,7798,2.9,3633,0.6
43,"2","5","1","9","0","調理食品",14523,4.2,14927,4.3,13126,3.6,13353,5.0,7964,1.4
44,"2","6","1","9","1","主食的調理食品",6472,1.9,6542,1.9,6349,1.8,6352,2.4,4447,0.8
45,"2","6","1","9","2","他の調理食品",8052,2.3,8385,2.4,6777,1.9,7001,2.6,3517,0.6
46,"2","5","1","10","0","飲料",6617,1.9,6712,1.9,6101,1.7,7246,2.7,4529,0.8
47,"2","6","1","10","1","茶類",1395,0.4,1421,0.4,1336,0.4,1255,0.5,924,0.2
48,"2","6","1","10","2","コーヒー・ココア",1084,0.3,1078,0.3,1146,0.3,1122,0.4,882,0.2
49,"2","6","1","10","3","他の飲料",4138,1.2,4213,1.2,3618,1.0,4869,1.8,2723,0.5
50,"2","5","1","11","0","酒類",4582,1.3,4767,1.4,3542,1.0,3004,1.1,5846,1.0
51,"2","5","1","12","0","外食",20766,6.0,21108,6.1,22245,6.2,9988,3.7,17320,3.0
52,"2","6","1","12","1","一般外食",20160,5.8,20436,5.9,21864,6.1,9988,3.7,17049,3.0
53,"2","6","1","12","2","学校給食",606,0.2,672,0.2,381,0.1,-,-,271,0.0
54,"2","4","2","0","0","住居",37582,10.8,27087,7.8,94903,26.3,48617,18.1,119347,20.8
55,"2","5","2","1","0","家賃地代",13487,3.9,122,0.0,94042,26.1,48316,18.0,34562,6.0
56,"2","5","2","2","0","設備修繕・維持",24094,6.9,26965,7.8,861,0.2,301,0.1,84785,14.8
57,"2","6","2","2","1","設備材料",14286,4.1,16114,4.7,22,0.0,87,0.0,48041,8.4
58,"2","6","2","2","2","工事その他のサービス",9808,2.8,10851,3.1,840,0.2,214,0.1,36743,6.4
59,"2","4","3","0","0","光熱・水道",17684,5.1,17945,5.2,16072,4.5,18035,6.7,15623,2.7
60,"2","5","3","1","0","電気代",9368,2.7,9816,2.8,7332,2.0,6657,2.5,7524,1.3
61,"2","5","3","2","0","ガス代",3225,0.9,3109,0.9,3716,1.0,4383,1.6,3055,0.5
62,"2","5","3","3","0","他の光熱",27,0.0,32,0.0,3,0.0,-,-,27,0.0
63,"2","5","3","4","0","上下水道料",5064,1.5,4988,1.4,5021,1.4,6995,2.6,5018,0.9
64,"2","4","4","0","0","家具・家事用品",16113,4.6,13447,3.9,21775,6.0,7106,2.6,111465,19.5
65,"2","5","4","1","0","家庭用耐久財",7554,2.2,5429,1.6,9179,2.5,503,0.2,100508,17.6
66,"2","6","4","1","1","家事用耐久財",2119,0.6,1424,0.4,7738,2.1,-,-,1896,0.3
67,"2","6","4","1","2","冷暖房用器具",3133,0.9,3600,1.0,1158,0.3,503,0.2,-,-
68,"2","6","4","1","3","一般家具",2302,0.7,405,0.1,282,0.1,-,-,98612,17.2
69,"2","5","4","2","0","室内装備・装飾品",917,0.3,539,0.2,3948,1.1,256,0.1,56,0.0
70,"2","5","4","3","0","寝具類",950,0.3,763,0.2,2649,0.7,121,0.0,287,0.1
71,"2","5","4","4","0","家事雑貨",2325,0.7,2283,0.7,2207,0.6,1878,0.7,5634,1.0
72,"2","5","4","5","0","家事用消耗品",3470,1.0,3501,1.0,2785,0.8,4157,1.5,4980,0.9
73,"2","5","4","6","0","家事サービス",896,0.3,933,0.3,1008,0.3,193,0.1,-,-
74,"2","4","5","0","0","被服及び履物",8695,2.5,9135,2.6,7592,2.1,4147,1.5,5044,0.9
75,"2","5","5","1","0","和服",9,0.0,11,0.0,-,-,-,-,-,-
76,"2","5","5","2","0","洋服",3180,0.9,3436,1.0,2071,0.6,1254,0.5,2501,0.4
77,"2","6","5","2","1","男子用洋服",1523,0.4,1669,0.5,948,0.3,349,0.1,962,0.2
78,"2","6","5","2","2","婦人用洋服",1321,0.4,1475,0.4,530,0.1,760,0.3,556,0.1
79,"2","6","5","2","3","子供用洋服",336,0.1,293,0.1,593,0.2,145,0.1,983,0.2
80,"2","5","5","3","0","シャツ・セーター類",1915,0.5,1849,0.5,2838,0.8,1220,0.5,483,0.1
81,"2","6","5","3","1","男子用シャツ・セーター類",793,0.2,616,0.2,2125,0.6,714,0.3,483,0.1
82,"2","6","5","3","2","婦人用シャツ・セーター類",1023,0.3,1133,0.3,571,0.2,506,0.2,-,-
83,"2","6","5","3","3","子供用シャツ・セーター類",99,0.0,100,0.0,142,0.0,-,-,-,-
84,"2","5","5","4","0","下着類",656,0.2,706,0.2,441,0.1,215,0.1,641,0.1
85,"2","6","5","4","1","男子用下着類",150,0.0,165,0.0,68,0.0,67,0.0,144,0.0
86,"2","6","5","4","2","婦人用下着類",453,0.1,484,0.1,323,0.1,148,0.1,498,0.1
87,"2","6","5","4","3","子供用下着類",53,0.0,57,0.0,49,0.0,-,-,-,-
88,"2","5","5","5","0","生地・糸類",67,0.0,76,0.0,34,0.0,-,-,-,-
89,"2","5","5","6","0","他の被服",519,0.1,520,0.2,445,0.1,787,0.3,401,0.1
90,"2","5","5","7","0","履物類",1558,0.4,1655,0.5,1309,0.4,637,0.2,652,0.1
91,"2","5","5","8","0","被服関連サービス",793,0.2,883,0.3,454,0.1,33,0.0,365,0.1
92,"2","4","6","0","0","保健医療",17077,4.9,17505,5.1,16994,4.7,12523,4.7,7871,1.4
93,"2","5","6","1","0","医薬品",2559,0.7,2671,0.8,1931,0.5,2510,0.9,1660,0.3
94,"2","5","6","2","0","健康保持用摂取品",1102,0.3,1204,0.3,736,0.2,542,0.2,-,-
95,"2","5","6","3","0","保健医療用品・器具",3934,1.1,4031,1.2,3697,1.0,3501,1.3,2020,0.4
96,"2","5","6","4","0","保健医療サービス",9482,2.7,9598,2.8,10629,2.9,5970,2.2,4192,0.7
97,"2","4","7","0","0","交通・通信",38813,11.1,38581,11.2,38229,10.6,38757,14.4,52190,9.1
98,"2","5","7","1","0","交通",13197,3.8,13627,3.9,13243,3.7,4866,1.8,10085,1.8
99,"2","5","7","2","0","自動車等関係費",12417,3.6,12768,3.7,7977,2.2,16812,6.3,15938,2.8
100,"2","6","7","2","1","自動車等購入",-,-,-,-,-,-,-,-,-,-
101,"2","6","7","2","2","自転車購入",1374,0.4,1201,0.3,-,-,10558,3.9,-,-
102,"2","6","7","2","3","自動車等維持",11043,3.2,11567,3.4,7977,2.2,6254,2.3,15938,2.8
103,"2","5","7","3","0","通信",13199,3.8,12187,3.5,17010,4.7,17079,6.4,26167,4.6
104,"2","4","8","0","0","教育",7693,2.2,8525,2.5,4766,1.3,179,0.1,3797,0.7
105,"2","5","8","1","0","授業料等",4373,1.3,4822,1.4,2962,0.8,30,0.0,1808,0.3
106,"2","5","8","2","0","教科書・学習参考教材",40,0.0,30,0.0,36,0.0,149,0.1,280,0.0
107,"2","5","8","3","0","補習教育",3280,0.9,3673,1.1,1769,0.5,-,-,1709,0.3
108,"2","4","9","0","0","教養娯楽",45493,13.0,46570,13.5,32017,8.9,20335,7.6,126375,22.1
109,"2","5","9","1","0","教養娯楽用耐久財",5113,1.5,3704,1.1,185,0.1,174,0.1,102969,18.0
110,"2","5","9","2","0","教養娯楽用品",7756,2.2,8212,2.4,6213,1.7,5579,2.1,1662,0.3
111,"2","5","9","3","0","書籍・他の印刷物",3237,0.9,3500,1.0,1927,0.5,1698,0.6,2746,0.5
112,"2","5","9","4","0","教養娯楽サービス",29388,8.4,31154,9.0,23691,6.6,12885,4.8,18998,3.3
113,"2","6","9","4","1","宿泊料",6662,1.9,6856,2.0,6203,1.7,3956,1.5,6140,1.1
114,"2","6","9","4","2","パック旅行費",5175,1.5,5712,1.7,3832,1.1,-,-,-,-
115,"2","6","9","4","3","月謝類",3368,1.0,3523,1.0,2924,0.8,1495,0.6,2912,0.5
116,"2","6","9","4","4","他の教養娯楽サービス",14182,4.1,15062,4.4,10732,3.0,7434,2.8,9946,1.7
117,"2","4","10","0","0","その他の消費支出",59939,17.2,63693,18.4,41760,11.6,35327,13.1,54766,9.6
118,"2","5","10","1","0","諸雑費",30611,8.8,31880,9.2,23391,6.5,17826,6.6,43464,7.6
119,"2","6","10","1","1","理美容サービス",4368,1.3,4372,1.3,4768,1.3,1501,0.6,7105,1.2
120,"2","6","10","1","2","理美容用品",5136,1.5,5030,1.5,6486,1.8,4675,1.7,2458,0.4
121,"2","6","10","1","3","身の回り用品",2678,0.8,2970,0.9,970,0.3,1310,0.5,3016,0.5
122,"2","6","10","1","4","たばこ",1161,0.3,978,0.3,1941,0.5,2611,1.0,1571,0.3
123,"2","6","10","1","5","他の諸雑費",17268,5.0,18530,5.4,9227,2.6,7729,2.9,29314,5.1
124,"2","5","10","2","0","こづかい",5832,1.7,6182,1.8,4415,1.2,5561,2.1,-,-
125,"2","5","10","3","0","交際費",20972,6.0,22730,6.6,13124,3.6,11240,4.2,11302,2.0
126,"2","6","10","3","0","食料",5691,1.6,5963,1.7,5027,1.4,2552,0.9,3927,0.7
127,"2","6","10","3","0","家具・家事用品",385,0.1,93,0.0,2570,0.7,78,0.0,263,0.0
128,"2","6","10","3","0","被服及び履物",244,0.1,258,0.1,257,0.1,-,-,-,-
129,"2","6","10","3","0","教養娯楽",2450,0.7,2845,0.8,466,0.1,774,0.3,648,0.1
130,"2","6","10","3","0","他の物品サービス",661,0.2,740,0.2,259,0.1,40,0.0,888,0.2
131,"2","6","10","3","6","贈与金",7342,2.1,8235,2.4,2166,0.6,6187,2.3,2561,0.4
132,"2","6","10","3","7","他の交際費",4199,1.2,4597,1.3,2379,0.7,1608,0.6,3015,0.5
133,"2","5","10","4","0","仕送り金",2523,0.7,2901,0.8,831,0.2,700,0.3,-,-
134,"2","3","0","0","0","土地家屋購入",19896,-,376,-,167906,-,-,-,-,-
135,"2","3","0","0","0","（再掲）教育関係費",9951,2.9,11082,3.2,5729,1.6,723,0.3,4271,0.7
136,"2","3","0","0","0","（再掲）教養娯楽関係費",56714,16.3,58357,16.9,42518,11.8,23188,8.6,133357,23.3
