1,東京都生計分析調査　令和 5年 2月,,,,,,,,,,,,,,,
2,,,,,,,第５表　世帯人員別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,2人／実数（円）,2人／構成比（％）,3人／実数（円）,3人／構成比（％）,4人／実数（円）,4人／構成比（％）,5人以上／実数（円）,5人以上／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,4403,-,2760,-,2223,-,615,-
7,0,0,0,0,0,調査世帯数,601,-,268,-,166,-,128,-,39,-
8,0,0,0,0,0,世帯人員,2.92,-,2.00,-,3.00,-,4.00,-,5.16,-
9,0,0,0,0,0,有業人員,1.41,-,0.84,-,1.74,-,2.01,-,1.85,-
10,0,0,0,0,0,世帯主平均年齢,59.8,-,67.3,-,58.3,-,49.5,-,49.6,-
11,2,2,0,0,0,生計支出,296643,-,257729,-,313750,-,317765,-,422165,-
12,2,3,0,0,0,消費支出,296643,100.0,257729,100.0,313750,100.0,317765,100.0,422165,100.0
13,2,4,1,0,0,食料,84615,28.5,73797,28.6,91415,29.1,88743,27.9,116636,27.6
14,2,5,1,1,0,穀類,6495,2.2,5068,2.0,7239,2.3,7480,2.4,9812,2.3
15,2,6,1,1,1,米類,1526,0.5,1086,0.4,1793,0.6,1965,0.6,1899,0.4
16,2,6,1,1,2,パン,3030,1.0,2425,0.9,3356,1.1,3365,1.1,4690,1.1
17,2,6,1,1,3,麺類,1474,0.5,1206,0.5,1574,0.5,1666,0.5,2251,0.5
18,2,6,1,1,4,他の穀類,464,0.2,351,0.1,516,0.2,484,0.2,972,0.2
19,2,5,1,2,0,魚介類,5563,1.9,5385,2.1,6032,1.9,5051,1.6,6581,1.6
20,2,6,1,2,1,生鮮魚介,3079,1.0,2907,1.1,3440,1.1,2838,0.9,3569,0.8
21,2,6,1,2,2,塩干魚介,1037,0.3,1105,0.4,1032,0.3,860,0.3,1210,0.3
22,2,6,1,2,3,魚肉練製品,601,0.2,577,0.2,629,0.2,585,0.2,694,0.2
23,2,6,1,2,4,他の魚介加工品,846,0.3,796,0.3,931,0.3,768,0.2,1107,0.3
24,2,5,1,3,0,肉類,8125,2.7,6342,2.5,8780,2.8,9575,3.0,12709,3.0
25,2,6,1,3,1,生鮮肉,6683,2.3,5197,2.0,7127,2.3,7961,2.5,10713,2.5
26,2,6,1,3,2,加工肉,1442,0.5,1145,0.4,1653,0.5,1614,0.5,1997,0.5
27,2,5,1,4,0,乳卵類,4258,1.4,3647,1.4,4648,1.5,4638,1.5,5508,1.3
28,2,6,1,4,1,牛乳,1269,0.4,1014,0.4,1419,0.5,1506,0.5,1566,0.4
29,2,6,1,4,2,乳製品,2070,0.7,1831,0.7,2348,0.7,2084,0.7,2489,0.6
30,2,6,1,4,3,卵,919,0.3,802,0.3,881,0.3,1049,0.3,1454,0.3
31,2,5,1,5,0,野菜・海藻,9227,3.1,8673,3.4,10235,3.3,8545,2.7,11138,2.6
32,2,6,1,5,1,生鮮野菜,6392,2.2,5944,2.3,7035,2.2,6099,1.9,7771,1.8
33,2,6,1,5,2,乾物・海藻,691,0.2,593,0.2,915,0.3,588,0.2,769,0.2
34,2,6,1,5,3,大豆加工品,1042,0.4,1030,0.4,1132,0.4,943,0.3,1078,0.3
35,2,6,1,5,4,他の野菜・海藻加工品,1102,0.4,1106,0.4,1152,0.4,915,0.3,1520,0.4
36,2,5,1,6,0,果物,3471,1.2,3804,1.5,3536,1.1,2536,0.8,4173,1.0
37,2,6,1,6,1,生鮮果物,3085,1.0,3396,1.3,3172,1.0,2176,0.7,3746,0.9
38,2,6,1,6,2,果物加工品,386,0.1,408,0.2,363,0.1,360,0.1,426,0.1
39,2,5,1,7,0,油脂・調味料,3812,1.3,3225,1.3,4129,1.3,4182,1.3,5250,1.2
40,2,6,1,7,1,油脂,372,0.1,315,0.1,432,0.1,355,0.1,568,0.1
41,2,6,1,7,2,調味料,3440,1.2,2910,1.1,3697,1.2,3827,1.2,4682,1.1
42,2,5,1,8,0,菓子類,7701,2.6,6135,2.4,7543,2.4,9376,3.0,13567,3.2
43,2,5,1,9,0,調理食品,12821,4.3,11137,4.3,14639,4.7,12713,4.0,17108,4.1
44,2,6,1,9,1,主食的調理食品,6189,2.1,5193,2.0,7353,2.3,6124,1.9,8326,2.0
