1,東京都生計分析調査　令和 5年 5月,,,,,,,,,,,,,,,
2,,,,,,,第１３表　住居所有形態別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,持家／実数（円）,持家／構成比（％）,民営借家／実数（円）,民営借家／構成比（％）,公営借家／実数（円）,公営借家／構成比（％）,給与住宅／実数（円）,給与住宅／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,8166,-,1266,-,383,-,186,-
7,0,0,0,0,0,調査世帯数,614,-,500,-,76,-,27,-,11,-
8,0,0,0,0,0,世帯人員,2.95,-,2.94,-,3.07,-,2.60,-,3.35,-
9,0,0,0,0,0,有業人員,1.43,-,1.45,-,1.47,-,0.74,-,1.59,-
10,0,0,0,0,0,世帯主平均年齢,59.3,-,60.9,-,48.5,-,65.3,-,51.4,-
11,2,2,0,0,0,生計支出,316448,-,315253,-,344010,-,235996,-,346906,-
12,2,3,0,0,0,消費支出,314270,100.0,312585,100.0,344010,100.0,235996,100.0,346906,100.0
13,2,4,1,0,0,食料,96374,30.7,98808,31.6,84657,24.6,79775,33.8,103457,29.8
14,2,5,1,1,0,穀類,7257,2.3,7439,2.4,6370,1.9,6830,2.9,6181,1.8
15,2,6,1,1,1,米類,1702,0.5,1722,0.6,1391,0.4,2109,0.9,2094,0.6
16,2,6,1,1,2,パン,3358,1.1,3506,1.1,2768,0.8,2683,1.1,2241,0.6
17,2,6,1,1,3,麺類,1764,0.6,1776,0.6,1778,0.5,1643,0.7,1378,0.4
18,2,6,1,1,4,他の穀類,434,0.1,435,0.1,434,0.1,395,0.2,467,0.1
19,2,5,1,2,0,魚介類,6264,2.0,6427,2.1,4578,1.3,7985,3.4,7066,2.0
20,2,6,1,2,1,生鮮魚介,3647,1.2,3701,1.2,2607,0.8,5260,2.2,5067,1.5
21,2,6,1,2,2,塩干魚介,1138,0.4,1188,0.4,800,0.2,1232,0.5,1027,0.3
22,2,6,1,2,3,魚肉練製品,597,0.2,610,0.2,475,0.1,877,0.4,261,0.1
23,2,6,1,2,4,他の魚介加工品,882,0.3,927,0.3,696,0.2,616,0.3,711,0.2
24,2,5,1,3,0,肉類,9053,2.9,9236,3.0,8287,2.4,6126,2.6,12250,3.5
25,2,6,1,3,1,生鮮肉,7275,2.3,7407,2.4,6743,2.0,4593,1.9,10619,3.1
26,2,6,1,3,2,加工肉,1778,0.6,1829,0.6,1544,0.4,1533,0.6,1631,0.5
27,2,5,1,4,0,乳卵類,4935,1.6,5064,1.6,4098,1.2,4671,2.0,5534,1.6
28,2,6,1,4,1,牛乳,1380,0.4,1410,0.5,1127,0.3,1776,0.8,972,0.3
29,2,6,1,4,2,乳製品,2410,0.8,2490,0.8,1960,0.6,1788,0.8,3272,0.9
30,2,6,1,4,3,卵,1145,0.4,1164,0.4,1010,0.3,1107,0.5,1291,0.4
31,2,5,1,5,0,野菜・海藻,10864,3.5,11244,3.6,8414,2.4,10088,4.3,12455,3.6
32,2,6,1,5,1,生鮮野菜,7646,2.4,7904,2.5,5877,1.7,6874,2.9,9972,2.9
33,2,6,1,5,2,乾物・海藻,706,0.2,703,0.2,658,0.2,967,0.4,632,0.2
34,2,6,1,5,3,大豆加工品,1232,0.4,1284,0.4,913,0.3,1226,0.5,1124,0.3
35,2,6,1,5,4,他の野菜・海藻加工品,1280,0.4,1354,0.4,965,0.3,1021,0.4,726,0.2
36,2,5,1,6,0,果物,3483,1.1,3703,1.2,2136,0.6,3779,1.6,2393,0.7
37,2,6,1,6,1,生鮮果物,3104,1.0,3290,1.1,1867,0.5,3598,1.5,2342,0.7
38,2,6,1,6,2,果物加工品,379,0.1,412,0.1,269,0.1,181,0.1,51,0.0
39,2,5,1,7,0,油脂・調味料,4319,1.4,4427,1.4,4020,1.2,3084,1.3,4142,1.2
40,2,6,1,7,1,油脂,493,0.2,502,0.2,432,0.1,458,0.2,584,0.2
41,2,6,1,7,2,調味料,3826,1.2,3925,1.3,3587,1.0,2626,1.1,3558,1.0
42,2,5,1,8,0,菓子類,8269,2.6,8620,2.8,6896,2.0,6464,2.7,5881,1.7
43,2,5,1,9,0,調理食品,14037,4.5,14517,4.6,11974,3.5,11684,5.0,11811,3.4
44,2,6,1,9,1,主食的調理食品,6244,2.0,6384,2.0,5557,1.6,4958,2.1,7416,2.1
45,2,6,1,9,2,他の調理食品,7793,2.5,8133,2.6,6417,1.9,6727,2.9,4395,1.3
46,2,5,1,10,0,飲料,6193,2.0,6266,2.0,5698,1.7,5786,2.5,7199,2.1
47,2,6,1,10,1,茶類,1448,0.5,1462,0.5,1379,0.4,1373,0.6,1467,0.4
48,2,6,1,10,2,コーヒー・ココア,1118,0.4,1125,0.4,991,0.3,626,0.3,2708,0.8
49,2,6,1,10,3,他の飲料,3627,1.2,3679,1.2,3328,1.0,3787,1.6,3024,0.9
50,2,5,1,11,0,酒類,4234,1.3,4274,1.4,3181,0.9,4503,1.9,9135,2.6
51,2,5,1,12,0,外食,17467,5.6,17591,5.6,19006,5.5,8775,3.7,19410,5.6
52,2,6,1,12,1,一般外食,16813,5.3,17009,5.4,17720,5.2,8366,3.5,19410,5.6
53,2,6,1,12,2,学校給食,654,0.2,582,0.2,1286,0.4,409,0.2,-,-
54,2,4,2,0,0,住居,23429,7.5,11585,3.7,93165,27.1,40030,17.0,34559,10.0
55,2,5,2,1,0,家賃地代,14273,4.5,689,0.2,91455,26.6,39010,16.5,34435,9.9
56,2,5,2,2,0,設備修繕・維持,9156,2.9,10896,3.5,1710,0.5,1020,0.4,125,0.0
57,2,6,2,2,1,設備材料,1876,0.6,2286,0.7,33,0.0,80,0.0,125,0.0
58,2,6,2,2,2,工事その他のサービス,7280,2.3,8611,2.8,1677,0.5,940,0.4,-,-
59,2,4,3,0,0,光熱・水道,22891,7.3,23728,7.6,19696,5.7,20882,8.8,11961,3.4
60,2,5,3,1,0,電気代,10628,3.4,11225,3.6,8488,2.5,7687,3.3,5008,1.4
61,2,5,3,2,0,ガス代,6919,2.2,7057,2.3,6659,1.9,6190,2.6,4132,1.2
62,2,5,3,3,0,他の光熱,59,0.0,62,0.0,67,0.0,-,-,-,-
63,2,5,3,4,0,上下水道料,5285,1.7,5384,1.7,4481,1.3,7005,3.0,2822,0.8
64,2,4,4,0,0,家具・家事用品,12672,4.0,12117,3.9,14726,4.3,12013,5.1,24434,7.0
65,2,5,4,1,0,家庭用耐久財,4500,1.4,4069,1.3,5863,1.7,3896,1.7,15398,4.4
66,2,6,4,1,1,家事用耐久財,2109,0.7,2286,0.7,692,0.2,3717,1.6,648,0.2
67,2,6,4,1,2,冷暖房用器具,1143,0.4,788,0.3,1726,0.5,179,0.1,14750,4.3
68,2,6,4,1,3,一般家具,1248,0.4,994,0.3,3444,1.0,-,-,-,-
69,2,5,4,2,0,室内装備・装飾品,394,0.1,239,0.1,1517,0.4,6,0.0,365,0.1
70,2,5,4,3,0,寝具類,583,0.2,588,0.2,614,0.2,340,0.1,654,0.2
71,2,5,4,4,0,家事雑貨,2245,0.7,2179,0.7,2528,0.7,2078,0.9,3593,1.0
72,2,5,4,5,0,家事用消耗品,3747,1.2,3695,1.2,3774,1.1,4503,1.9,4289,1.2
73,2,5,4,6,0,家事サービス,1203,0.4,1347,0.4,430,0.1,1189,0.5,136,0.0
74,2,4,5,0,0,被服及び履物,10726,3.4,11241,3.6,9253,2.7,4928,2.1,10048,2.9
75,2,5,5,1,0,和服,17,0.0,5,0.0,104,0.0,-,-,-,-
76,2,5,5,2,0,洋服,4007,1.3,4175,1.3,4159,1.2,1053,0.4,1643,0.5
77,2,6,5,2,1,男子用洋服,1623,0.5,1777,0.6,1269,0.4,124,0.1,353,0.1
78,2,6,5,2,2,婦人用洋服,1909,0.6,1975,0.6,2127,0.6,706,0.3,-,-
79,2,6,5,2,3,子供用洋服,475,0.2,423,0.1,764,0.2,223,0.1,1289,0.4
80,2,5,5,3,0,シャツ・セーター類,2375,0.8,2569,0.8,1801,0.5,556,0.2,1509,0.4
81,2,6,5,3,1,男子用シャツ・セーター類,884,0.3,969,0.3,539,0.2,219,0.1,894,0.3
82,2,6,5,3,2,婦人用シャツ・セーター類,1347,0.4,1498,0.5,830,0.2,202,0.1,614,0.2
83,2,6,5,3,3,子供用シャツ・セーター類,143,0.0,102,0.0,432,0.1,135,0.1,-,-
84,2,5,5,4,0,下着類,1183,0.4,1242,0.4,789,0.2,827,0.4,2041,0.6
85,2,6,5,4,1,男子用下着類,303,0.1,295,0.1,113,0.0,545,0.2,1503,0.4
86,2,6,5,4,2,婦人用下着類,787,0.3,860,0.3,520,0.2,229,0.1,538,0.2
87,2,6,5,4,3,子供用下着類,93,0.0,87,0.0,156,0.0,53,0.0,-,-
88,2,5,5,5,0,生地・糸類,152,0.0,168,0.1,88,0.0,86,0.0,-,-
89,2,5,5,6,0,他の被服,770,0.2,845,0.3,374,0.1,479,0.2,727,0.2
90,2,5,5,7,0,履物類,1285,0.4,1208,0.4,1511,0.4,1548,0.7,2548,0.7
91,2,5,5,8,0,被服関連サービス,938,0.3,1028,0.3,427,0.1,380,0.2,1580,0.5
92,2,4,6,0,0,保健医療,14371,4.6,15279,4.9,10013,2.9,10961,4.6,11193,3.2
