1,東京都生計分析調査　令和 5年 1月,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第７表　世帯主年齢階層別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　,,,,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,514,-,491,-,857,-,926,-,1143,-,1108,-,880,-,4081,-,2103,-
7,0,0,0,0,0,調査世帯数,590,-,30,-,29,-,49,-,56,-,67,-,64,-,50,-,245,-,128,-
8,0,0,0,0,0,世帯人員,2.93,-,3,-,3.46,-,3.71,-,3.56,-,3.35,-,3.14,-,2.96,-,2.36,-,2.3,-
9,0,0,0,0,0,有業人員,1.45,-,1.73,-,1.53,-,1.59,-,1.78,-,1.89,-,1.96,-,2.13,-,0.88,-,0.64,-
10,0,0,0,0,0,世帯主平均年齢,59.7,-,31.1,-,37.2,-,42.2,-,47,-,51.6,-,57.1,-,61.8,-,75,-,80.5,-
11,2,2,0,0,0,生計支出,342467,-,403920,-,284289,-,362776,-,405750,-,401547,-,443149,-,309277,-,286368,-,248695,-
12,2,3,0,0,0,消費支出,342467,100,403920,100,284289,100,362776,100,405750,100,401547,100,443149,100,309277,100,286368,100,248695,100
13,2,4,1,0,0,食料,91487,26.7,87475,21.7,81227,28.6,101729,28,97070,23.9,97348,24.2,110816,25,102803,33.2,80479,28.1,71681,28.8
14,2,5,1,1,0,穀類,6845,2,6007,1.5,4994,1.8,8340,2.3,7418,1.8,6854,1.7,8884,2,7216,2.3,6093,2.1,5522,2.2
15,2,6,1,1,1,米類,1601,0.5,1399,0.3,841,0.3,1284,0.4,1622,0.4,1611,0.4,2650,0.6,1599,0.5,1493,0.5,1247,0.5
16,2,6,1,1,2,パン,3054,0.9,2591,0.6,2282,0.8,4078,1.1,3370,0.8,2712,0.7,3728,0.8,3231,1,2794,1,2560,1
17,2,6,1,1,3,麺類,1611,0.5,1163,0.3,1489,0.5,2119,0.6,1894,0.5,2055,0.5,1790,0.4,1728,0.6,1312,0.5,1207,0.5
18,2,6,1,1,4,他の穀類,579,0.2,854,0.2,383,0.1,859,0.2,531,0.1,476,0.1,716,0.2,658,0.2,494,0.2,507,0.2
19,2,5,1,2,0,魚介類,5940,1.7,3166,0.8,4010,1.4,5310,1.5,4159,1,4834,1.2,6362,1.4,6678,2.2,7095,2.5,6941,2.8
20,2,6,1,2,1,生鮮魚介,3256,1,1759,0.4,2610,0.9,2855,0.8,1953,0.5,2712,0.7,3422,0.8,3845,1.2,3883,1.4,3857,1.6
21,2,6,1,2,2,塩干魚介,1117,0.3,469,0.1,681,0.2,1111,0.3,842,0.2,815,0.2,951,0.2,1241,0.4,1417,0.5,1405,0.6
22,2,6,1,2,3,魚肉練製品,692,0.2,350,0.1,238,0.1,562,0.2,505,0.1,639,0.2,913,0.2,720,0.2,809,0.3,766,0.3
23,2,6,1,2,4,他の魚介加工品,876,0.3,588,0.1,480,0.2,782,0.2,858,0.2,669,0.2,1076,0.2,872,0.3,987,0.3,913,0.4
24,2,5,1,3,0,肉類,8770,2.6,6047,1.5,7830,2.8,9995,2.8,10470,2.6,10628,2.6,10152,2.3,11367,3.7,7129,2.5,6607,2.7
25,2,6,1,3,1,生鮮肉,7296,2.1,5246,1.3,6357,2.2,8372,2.3,8849,2.2,9263,2.3,8127,1.8,9474,3.1,5842,2,5384,2.2
26,2,6,1,3,2,加工肉,1475,0.4,802,0.2,1472,0.5,1623,0.4,1621,0.4,1365,0.3,2024,0.5,1892,0.6,1286,0.4,1223,0.5
27,2,5,1,4,0,乳卵類,4482,1.3,3734,0.9,3614,1.3,5198,1.4,4209,1,4538,1.1,4956,1.1,4555,1.5,4432,1.5,4357,1.8
28,2,6,1,4,1,牛乳,1350,0.4,1022,0.3,1126,0.4,1573,0.4,1358,0.3,1231,0.3,1663,0.4,1388,0.4,1310,0.5,1327,0.5
29,2,6,1,4,2,乳製品,2213,0.6,2097,0.5,1797,0.6,2595,0.7,1936,0.5,2311,0.6,2318,0.5,2267,0.7,2193,0.8,2103,0.8
30,2,6,1,4,3,卵,919,0.3,615,0.2,691,0.2,1031,0.3,914,0.2,995,0.2,976,0.2,901,0.3,928,0.3,926,0.4
31,2,5,1,5,0,野菜・海藻,9652,2.8,6196,1.5,5953,2.1,9980,2.8,8244,2,9743,2.4,10759,2.4,11114,3.6,10142,3.5,9827,4
32,2,6,1,5,1,生鮮野菜,6709,2,4258,1.1,4246,1.5,7091,2,5849,1.4,6827,1.7,7601,1.7,7770,2.5,6925,2.4,6617,2.7
33,2,6,1,5,2,乾物・海藻,653,0.2,469,0.1,483,0.2,719,0.2,589,0.1,577,0.1,650,0.1,715,0.2,707,0.2,705,0.3
34,2,6,1,5,3,大豆加工品,1129,0.3,818,0.2,678,0.2,1127,0.3,941,0.2,1148,0.3,1261,0.3,1190,0.4,1212,0.4,1113,0.4
35,2,6,1,5,4,他の野菜・海藻加工品,1160,0.3,650,0.2,547,0.2,1042,0.3,864,0.2,1191,0.3,1246,0.3,1439,0.5,1298,0.5,1391,0.6
36,2,5,1,6,0,果物,3587,1,2110,0.5,2474,0.9,2808,0.8,2592,0.6,3201,0.8,3550,0.8,3517,1.1,4430,1.5,4807,1.9
37,2,6,1,6,1,生鮮果物,3148,0.9,1913,0.5,2272,0.8,2660,0.7,2328,0.6,2690,0.7,2990,0.7,3119,1,3876,1.4,4164,1.7
38,2,6,1,6,2,果物加工品,439,0.1,197,0,201,0.1,148,0,264,0.1,511,0.1,560,0.1,398,0.1,555,0.2,643,0.3
39,2,5,1,7,0,油脂・調味料,4016,1.2,3648,0.9,3503,1.2,4253,1.2,3823,0.9,4268,1.1,5158,1.2,4559,1.5,3620,1.3,3202,1.3
40,2,6,1,7,1,油脂,362,0.1,303,0.1,263,0.1,457,0.1,284,0.1,425,0.1,351,0.1,387,0.1,360,0.1,314,0.1
41,2,6,1,7,2,調味料,3654,1.1,3345,0.8,3240,1.1,3796,1,3539,0.9,3843,1,4806,1.1,4172,1.3,3261,1.1,2888,1.2
42,2,5,1,8,0,菓子類,7429,2.2,6691,1.7,6957,2.4,8748,2.4,9854,2.4,8580,2.1,8592,1.9,7534,2.4,6091,2.1,5380,2.2
43,2,5,1,9,0,調理食品,13836,4,11777,2.9,11923,4.2,12311,3.4,14000,3.5,13025,3.2,16675,3.8,17878,5.8,13193,4.6,11162,4.5
44,2,6,1,9,1,主食的調理食品,6111,1.8,5751,1.4,3816,1.3,5291,1.5,6748,1.7,5335,1.3,7130,1.6,8841,2.9,5814,2,5424,2.2
