1,東京都生計分析調査　令和 5年 4月,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,第１表　生計支出７分位階層別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―,,,,,,,,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
6,0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
7,0,0,0,0,0,調査世帯数,602,-,-,88,-,87,-,86,-,87,-,82,-,84,-,88,-
8,0,0,0,0,0,世帯人員,2.94,-,-,2.59,-,2.73,-,2.98,-,2.98,-,2.96,-,3.10,-,3.24,-
9,0,0,0,0,0,有業人員,1.43,-,-,1.05,-,1.21,-,1.44,-,1.52,-,1.55,-,1.60,-,1.65,-
10,0,0,0,0,0,世帯主平均年齢,59.4,-,-,66.2,-,61.8,-,58.9,-,60.9,-,57.3,-,54.5,-,56.1,-
11,2,2,0,0,0,生計支出,369068,-,4.4,110503,-,175713,-,226397,-,278398,-,340623,-,437968,-,1004952,-
12,2,3,0,0,0,消費支出,369068,100.0,6.8,110503,100.0,175713,100.0,226397,100.0,278398,100.0,340623,100.0,437968,100.0,1004952,100.0
13,2,4,1,0,0,食料,93678,25.4,14.9,57615,52.1,72065,41.0,84430,37.3,89363,32.1,101153,29.7,116684,26.6,133883,13.3
14,2,5,1,1,0,穀類,7032,1.9,6.7,4857,4.4,5614,3.2,7077,3.1,7162,2.6,7184,2.1,8016,1.8,9284,0.9
15,2,6,1,1,1,米類,1635,0.4,-5.9,1207,1.1,1296,0.7,1546,0.7,1781,0.6,1771,0.5,1867,0.4,1972,0.2
16,2,6,1,1,2,パン,3263,0.9,9.7,2099,1.9,2644,1.5,3248,1.4,3138,1.1,3219,0.9,3844,0.9,4636,0.5
17,2,6,1,1,3,麺類,1683,0.5,17.5,1254,1.1,1254,0.7,1790,0.8,1817,0.7,1805,0.5,1801,0.4,2051,0.2
18,2,6,1,1,4,他の穀類,451,0.1,1.3,297,0.3,420,0.2,493,0.2,426,0.2,389,0.1,503,0.1,625,0.1
19,2,5,1,2,0,魚介類,6200,1.7,5.0,4896,4.4,4821,2.7,6424,2.8,6224,2.2,6939,2.0,6882,1.6,7193,0.7
20,2,6,1,2,1,生鮮魚介,3624,1.0,5.2,2826,2.6,2606,1.5,3934,1.7,3626,1.3,4141,1.2,3991,0.9,4233,0.4
21,2,6,1,2,2,塩干魚介,1129,0.3,11.6,834,0.8,950,0.5,1370,0.6,1221,0.4,1028,0.3,1274,0.3,1231,0.1
22,2,6,1,2,3,魚肉練製品,597,0.2,8.2,620,0.6,513,0.3,420,0.2,527,0.2,667,0.2,629,0.1,800,0.1
23,2,6,1,2,4,他の魚介加工品,849,0.2,-5.2,615,0.6,751,0.4,700,0.3,851,0.3,1103,0.3,989,0.2,930,0.1
24,2,5,1,3,0,肉類,8906,2.4,16.9,5597,5.1,7085,4.0,8767,3.9,9344,3.4,9385,2.8,9344,2.1,12753,1.3
25,2,6,1,3,1,生鮮肉,7286,2.0,18.8,4407,4.0,5923,3.4,7216,3.2,7641,2.7,7534,2.2,7486,1.7,10737,1.1
26,2,6,1,3,2,加工肉,1620,0.4,8.9,1190,1.1,1162,0.7,1552,0.7,1703,0.6,1851,0.5,1858,0.4,2016,0.2
27,2,5,1,4,0,乳卵類,4773,1.3,14.5,3214,2.9,4277,2.4,4371,1.9,4956,1.8,5187,1.5,5319,1.2,6062,0.6
28,2,6,1,4,1,牛乳,1381,0.4,9.1,789,0.7,1354,0.8,1256,0.6,1540,0.6,1831,0.5,1497,0.3,1394,0.1
29,2,6,1,4,2,乳製品,2289,0.6,8.7,1517,1.4,1963,1.1,2124,0.9,2151,0.8,2317,0.7,2644,0.6,3293,0.3
30,2,6,1,4,3,卵,1103,0.3,38.2,909,0.8,961,0.5,991,0.4,1266,0.5,1038,0.3,1179,0.3,1375,0.1
31,2,5,1,5,0,野菜・海藻,10499,2.8,5.6,8526,7.7,8519,4.8,10304,4.6,10513,3.8,11028,3.2,11284,2.6,13277,1.3
32,2,6,1,5,1,生鮮野菜,7402,2.0,4.3,6001,5.4,5941,3.4,7419,3.3,7300,2.6,7648,2.2,7847,1.8,9622,1.0
33,2,6,1,5,2,乾物・海藻,711,0.2,9.2,535,0.5,687,0.4,589,0.3,678,0.2,873,0.3,783,0.2,832,0.1
34,2,6,1,5,3,大豆加工品,1165,0.3,2.2,930,0.8,1000,0.6,1207,0.5,1218,0.4,1142,0.3,1263,0.3,1396,0.1
35,2,6,1,5,4,他の野菜・海藻加工品,1221,0.3,15.2,1060,1.0,892,0.5,1089,0.5,1318,0.5,1365,0.4,1391,0.3,1427,0.1
