1,"東京都生計分析調査　令和 5年12月","","","","","","","","","","","","","","",""
2,"","","","","","","第１３表　住居所有形態別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―","","","","","","","","",""
3,"","","","","","","注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。","","","","","","","","",""
4,"","","","","","","項目（0：世帯数等　2：生計支出）","","","","","","","","",""
5,"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","持家／実数（円）","持家／構成比（％）","民営借家／実数（円）","民営借家／構成比（％）","公営借家／実数（円）","公営借家／構成比（％）","給与住宅／実数（円）","給与住宅／構成比（％）"
6,"0","0","0","0","0","世帯数分布",10000,-,8671,-,1045,-,142,-,142,-
7,"0","0","0","0","0","調査世帯数",614,-,535,-,62,-,9,-,8,-
8,"0","0","0","0","0","世帯人員",2.90,-,2.91,-,2.75,-,2.54,-,3.77,-
9,"0","0","0","0","0","有業人員",1.33,-,1.29,-,1.66,-,0.85,-,1.92,-
10,"0","0","0","0","0","世帯主平均年齢",60.4,-,62.0,-,48.7,-,63.3,-,41.4,-
11,"2","2","0","0","0","生計支出",370847,-,370945,-,371929,-,279148,-,448616,-
12,"2","3","0","0","0","消費支出",370847,100.0,370945,100.0,371929,100.0,279148,100.0,448616,100.0
13,"2","4","1","0","0","食料",114074,30.8,115882,31.2,97864,26.3,103556,37.1,133597,29.8
14,"2","5","1","1","0","穀類",8360,2.3,8533,2.3,6729,1.8,9188,3.3,8993,2.0
15,"2","6","1","1","1","米類",1634,0.4,1711,0.5,1197,0.3,1347,0.5,391,0.1
16,"2","6","1","1","2","パン",3407,0.9,3432,0.9,2893,0.8,4629,1.7,4410,1.0
17,"2","6","1","1","3","麺類",2043,0.6,2031,0.5,1946,0.5,2398,0.9,3189,0.7
18,"2","6","1","1","4","他の穀類",1276,0.3,1358,0.4,693,0.2,813,0.3,1003,0.2
19,"2","5","1","2","0","魚介類",10549,2.8,11137,3.0,5996,1.6,11193,4.0,7473,1.7
20,"2","6","1","2","1","生鮮魚介",5537,1.5,5865,1.6,3171,0.9,5564,2.0,2900,0.6
21,"2","6","1","2","2","塩干魚介",1616,0.4,1675,0.5,1009,0.3,2303,0.8,1797,0.4
22,"2","6","1","2","3","魚肉練製品",1712,0.5,1820,0.5,863,0.2,1754,0.6,1310,0.3
23,"2","6","1","2","4","他の魚介加工品",1683,0.5,1776,0.5,953,0.3,1571,0.6,1465,0.3
24,"2","5","1","3","0","肉類",10715,2.9,11082,3.0,8074,2.2,10023,3.6,8390,1.9
25,"2","6","1","3","1","生鮮肉",8950,2.4,9256,2.5,6891,1.9,8339,3.0,5986,1.3
26,"2","6","1","3","2","加工肉",1765,0.5,1826,0.5,1183,0.3,1684,0.6,2404,0.5
27,"2","5","1","4","0","乳卵類",5182,1.4,5350,1.4,3944,1.1,2407,0.9,6783,1.5
28,"2","6","1","4","1","牛乳",1445,0.4,1486,0.4,1196,0.3,450,0.2,1800,0.4
29,"2","6","1","4","2","乳製品",2677,0.7,2761,0.7,1946,0.5,1190,0.4,4429,1.0
30,"2","6","1","4","3","卵",1060,0.3,1104,0.3,801,0.2,767,0.3,555,0.1
31,"2","5","1","5","0","野菜・海藻",11949,3.2,12476,3.4,8111,2.2,11105,4.0,8869,2.0
32,"2","6","1","5","1","生鮮野菜",8051,2.2,8370,2.3,5700,1.5,7773,2.8,6159,1.4
33,"2","6","1","5","2","乾物・海藻",1221,0.3,1288,0.3,665,0.2,1658,0.6,730,0.2
34,"2","6","1","5","3","大豆加工品",1265,0.3,1332,0.4,844,0.2,794,0.3,755,0.2
35,"2","6","1","5","4","他の野菜・海藻加工品",1412,0.4,1485,0.4,902,0.2,880,0.3,1225,0.3
36,"2","5","1","6","0","果物",3974,1.1,4178,1.1,2539,0.7,3723,1.3,2329,0.5
37,"2","6","1","6","1","生鮮果物",3399,0.9,3575,1.0,2152,0.6,3253,1.2,1978,0.4
38,"2","6","1","6","2","果物加工品",575,0.2,603,0.2,387,0.1,470,0.2,351,0.1
39,"2","5","1","7","0","油脂・調味料",5241,1.4,5334,1.4,4659,1.3,4816,1.7,4276,1.0
40,"2","6","1","7","1","油脂",546,0.1,557,0.2,473,0.1,719,0.3,241,0.1
41,"2","6","1","7","2","調味料",4695,1.3,4777,1.3,4186,1.1,4097,1.5,4035,0.9
42,"2","5","1","8","0","菓子類",9267,2.5,9318,2.5,8795,2.4,9763,3.5,9099,2.0
43,"2","5","1","9","0","調理食品",18580,5.0,18771,5.1,18149,4.9,14334,5.1,14283,3.2
44,"2","6","1","9","1","主食的調理食品",7134,1.9,7008,1.9,8193,2.2,6360,2.3,7809,1.7
45,"2","6","1","9","2","他の調理食品",11446,3.1,11763,3.2,9956,2.7,7974,2.9,6474,1.4
46,"2","5","1","10","0","飲料",5561,1.5,5467,1.5,5896,1.6,7972,2.9,6446,1.4
47,"2","6","1","10","1","茶類",1276,0.3,1280,0.3,1235,0.3,1344,0.5,1281,0.3
48,"2","6","1","10","2","コーヒー・ココア",1223,0.3,1160,0.3,1651,0.4,1451,0.5,1729,0.4
49,"2","6","1","10","3","他の飲料",3061,0.8,3027,0.8,3010,0.8,5177,1.9,3436,0.8
50,"2","5","1","11","0","酒類",4621,1.2,4509,1.2,5243,1.4,5266,1.9,6205,1.4
51,"2","5","1","12","0","外食",20076,5.4,19726,5.3,19729,5.3,13767,4.9,50452,11.2
52,"2","6","1","12","1","一般外食",19705,5.3,19330,5.2,19561,5.3,13767,4.9,49680,11.1
53,"2","6","1","12","2","学校給食",372,0.1,396,0.1,168,0.0,-,-,771,0.2
54,"2","4","2","0","0","住居",24540,6.6,15817,4.3,90599,24.4,38470,13.8,57142,12.7
55,"2","5","2","1","0","家賃地代",11823,3.2,1205,0.3,90178,24.2,38347,13.7,57058,12.7
56,"2","5","2","2","0","設備修繕・維持",12717,3.4,14612,3.9,422,0.1,123,0.0,83,0.0
57,"2","6","2","2","1","設備材料",6633,1.8,7596,2.0,422,0.1,123,0.0,83,0.0
58,"2","6","2","2","2","工事その他のサービス",6084,1.6,7016,1.9,-,-,-,-,-,-
59,"2","4","3","0","0","光熱・水道",19332,5.2,19962,5.4,14592,3.9,19742,7.1,15329,3.4
60,"2","5","3","1","0","電気代",8712,2.3,9043,2.4,6497,1.7,7023,2.5,6525,1.5
61,"2","5","3","2","0","ガス代",4978,1.3,5000,1.3,4854,1.3,4136,1.5,5403,1.2
62,"2","5","3","3","0","他の光熱",649,0.2,714,0.2,245,0.1,0,0.0,347,0.1
63,"2","5","3","4","0","上下水道料",4993,1.3,5206,1.4,2996,0.8,8582,3.1,3055,0.7
64,"2","4","4","0","0","家具・家事用品",17833,4.8,18260,4.9,13043,3.5,11642,4.2,33254,7.4
65,"2","5","4","1","0","家庭用耐久財",5390,1.5,5265,1.4,4730,1.3,1492,0.5,21816,4.9
66,"2","6","4","1","1","家事用耐久財",3780,1.0,3465,0.9,4382,1.2,1478,0.5,20897,4.7
67,"2","6","4","1","2","冷暖房用器具",810,0.2,876,0.2,348,0.1,14,0.0,919,0.2
68,"2","6","4","1","3","一般家具",800,0.2,923,0.2,-,-,-,-,-,-
69,"2","5","4","2","0","室内装備・装飾品",945,0.3,976,0.3,942,0.3,34,0.0,-,-
70,"2","5","4","3","0","寝具類",3114,0.8,3424,0.9,473,0.1,3096,1.1,3657,0.8
71,"2","5","4","4","0","家事雑貨",3320,0.9,3311,0.9,3513,0.9,2281,0.8,3516,0.8
72,"2","5","4","5","0","家事用消耗品",4188,1.1,4284,1.2,3341,0.9,4670,1.7,4079,0.9
73,"2","5","4","6","0","家事サービス",876,0.2,1001,0.3,44,0.0,70,0.0,186,0.0
74,"2","4","5","0","0","被服及び履物",14075,3.8,13424,3.6,19021,5.1,6113,2.2,25357,5.7
75,"2","5","5","1","0","和服",-,-,-,-,-,-,-,-,-,-
76,"2","5","5","2","0","洋服",5670,1.5,5017,1.4,10452,2.8,1247,0.4,14738,3.3
77,"2","6","5","2","1","男子用洋服",2110,0.6,1611,0.4,5130,1.4,154,0.1,12274,2.7
78,"2","6","5","2","2","婦人用洋服",3010,0.8,2893,0.8,4594,1.2,1093,0.4,372,0.1
79,"2","6","5","2","3","子供用洋服",550,0.1,513,0.1,728,0.2,-,-,2093,0.5
80,"2","5","5","3","0","シャツ・セーター類",2429,0.7,2517,0.7,1817,0.5,153,0.1,3822,0.9
81,"2","6","5","3","1","男子用シャツ・セーター類",946,0.3,987,0.3,425,0.1,-,-,3246,0.7
82,"2","6","5","3","2","婦人用シャツ・セーター類",1384,0.4,1425,0.4,1322,0.4,153,0.1,577,0.1
83,"2","6","5","3","3","子供用シャツ・セーター類",99,0.0,105,0.0,70,0.0,-,-,-,-
84,"2","5","5","4","0","下着類",1282,0.3,1325,0.4,1073,0.3,259,0.1,1233,0.3
85,"2","6","5","4","1","男子用下着類",424,0.1,436,0.1,377,0.1,92,0.0,385,0.1
86,"2","6","5","4","2","婦人用下着類",756,0.2,789,0.2,616,0.2,167,0.1,385,0.1
87,"2","6","5","4","3","子供用下着類",102,0.0,100,0.0,80,0.0,-,-,462,0.1
88,"2","5","5","5","0","生地・糸類",128,0.0,139,0.0,69,0.0,8,0.0,9,0.0
89,"2","5","5","6","0","他の被服",1276,0.3,1282,0.3,1239,0.3,1655,0.6,769,0.2
90,"2","5","5","7","0","履物類",2111,0.6,1881,0.5,3744,1.0,2448,0.9,3794,0.8
91,"2","5","5","8","0","被服関連サービス",1180,0.3,1263,0.3,628,0.2,343,0.1,992,0.2
92,"2","4","6","0","0","保健医療",19018,5.1,19827,5.3,12434,3.3,26419,9.5,10682,2.4
93,"2","5","6","1","0","医薬品",3178,0.9,3245,0.9,2833,0.8,3761,1.3,1033,0.2
94,"2","5","6","2","0","健康保持用摂取品",1278,0.3,1324,0.4,1069,0.3,342,0.1,899,0.2
95,"2","5","6","3","0","保健医療用品・器具",4700,1.3,4945,1.3,2614,0.7,7883,2.8,1949,0.4
96,"2","5","6","4","0","保健医療サービス",9862,2.7,10313,2.8,5918,1.6,14434,5.2,6801,1.5
97,"2","4","7","0","0","交通・通信",32616,8.8,33096,8.9,27660,7.4,18011,6.5,54476,12.1
98,"2","5","7","1","0","交通",9090,2.5,9439,2.5,6868,1.8,7358,2.6,5827,1.3
99,"2","5","7","2","0","自動車等関係費",11662,3.1,12186,3.3,5587,1.5,63,0.0,36030,8.0
100,"2","6","7","2","1","自動車等購入",-,-,-,-,-,-,-,-,-,-
101,"2","6","7","2","2","自転車購入",285,0.1,298,0.1,251,0.1,-,-,-,-
102,"2","6","7","2","3","自動車等維持",11377,3.1,11888,3.2,5336,1.4,63,0.0,36030,8.0
103,"2","5","7","3","0","通信",11865,3.2,11471,3.1,15204,4.1,10589,3.8,12619,2.8
104,"2","4","8","0","0","教育",25002,6.7,26597,7.2,17653,4.7,-,-,6554,1.5
105,"2","5","8","1","0","授業料等",17997,4.9,19106,5.2,12846,3.5,-,-,6096,1.4
106,"2","5","8","2","0","教科書・学習参考教材",93,0.0,92,0.0,57,0.0,-,-,458,0.1
107,"2","5","8","3","0","補習教育",6913,1.9,7399,2.0,4750,1.3,-,-,-,-
108,"2","4","9","0","0","教養娯楽",41978,11.3,42452,11.4,39212,10.5,16706,6.0,58644,13.1
109,"2","5","9","1","0","教養娯楽用耐久財",3011,0.8,3054,0.8,3345,0.9,444,0.2,425,0.1
110,"2","5","9","2","0","教養娯楽用品",10666,2.9,10969,3.0,8122,2.2,3368,1.2,18222,4.1
111,"2","5","9","3","0","書籍・他の印刷物",3909,1.1,4075,1.1,2719,0.7,1776,0.6,4653,1.0
112,"2","5","9","4","0","教養娯楽サービス",24392,6.6,24354,6.6,25025,6.7,11119,4.0,35343,7.9
113,"2","6","9","4","1","宿泊料",3426,0.9,3314,0.9,5289,1.4,-,-,-,-
114,"2","6","9","4","2","パック旅行費",2770,0.7,3195,0.9,-,-,-,-,-,-
115,"2","6","9","4","3","月謝類",5057,1.4,3951,1.1,12988,3.5,2870,1.0,16458,3.7
116,"2","6","9","4","4","他の教養娯楽サービス",13138,3.5,13894,3.7,6749,1.8,8249,3.0,18886,4.2
117,"2","4","10","0","0","その他の消費支出",62378,16.8,65628,17.7,39849,10.7,38488,13.8,53582,11.9
118,"2","5","10","1","0","諸雑費",28978,7.8,29966,8.1,21676,5.8,23225,8.3,28142,6.3
119,"2","6","10","1","1","理美容サービス",4783,1.3,4985,1.3,3121,0.8,3245,1.2,6219,1.4
120,"2","6","10","1","2","理美容用品",6948,1.9,7097,1.9,6407,1.7,4814,1.7,3937,0.9
121,"2","6","10","1","3","身の回り用品",2418,0.7,2472,0.7,1733,0.5,4704,1.7,1881,0.4
122,"2","6","10","1","4","たばこ",1175,0.3,1024,0.3,2286,0.6,2956,1.1,469,0.1
123,"2","6","10","1","5","他の諸雑費",13654,3.7,14388,3.9,8129,2.2,7506,2.7,15636,3.5
124,"2","5","10","2","0","こづかい",7513,2.0,7614,2.1,7474,2.0,5275,1.9,3865,0.9
125,"2","5","10","3","0","交際費",22839,6.2,24705,6.7,9273,2.5,9988,3.6,21574,4.8
126,"2","6","10","3","0","食料",7696,2.1,8219,2.2,3415,0.9,6551,2.3,8391,1.9
127,"2","6","10","3","0","家具・家事用品",230,0.1,261,0.1,2,0.0,-,-,256,0.1
128,"2","6","10","3","0","被服及び履物",474,0.1,507,0.1,249,0.1,614,0.2,-,-
129,"2","6","10","3","0","教養娯楽",2787,0.8,3126,0.8,179,0.0,1166,0.4,2931,0.7
130,"2","6","10","3","0","他の物品サービス",659,0.2,755,0.2,46,0.0,-,-,-,-
131,"2","6","10","3","6","贈与金",6820,1.8,7453,2.0,2458,0.7,921,0.3,6175,1.4
132,"2","6","10","3","7","他の交際費",4172,1.1,4384,1.2,2924,0.8,737,0.3,3822,0.9
133,"2","5","10","4","0","仕送り金",3048,0.8,3344,0.9,1427,0.4,-,-,-,-
134,"2","3","0","0","0","土地家屋購入",-,-,-,-,-,-,-,-,-,-
135,"2","3","0","0","0","（再掲）教育関係費",26252,7.1,27893,7.5,18338,4.9,1223,0.4,9245,2.1
136,"2","3","0","0","0","（再掲）教養娯楽関係費",51164,13.8,52153,14.1,45005,12.1,24047,8.6,63224,14.1
