1,東京都生計分析調査　令和 5年 6月,,,,,,,,,,,,,,,
2,,,,,,,第５表　世帯人員別１世帯当たり１か月間の用途別生計支出　―　全　世　帯　―　,,,,,,,,,
3,,,,,,,注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。,,,,,,,,,
4,,,,,,,項目（0：世帯数等　2：生計支出）　※令和５年の調整係数に遡及改定しました。（令和５年10月24日）,,,,,,,,,
5,項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,2人／実数（円）,2人／構成比（％）,3人／実数（円）,3人／構成比（％）,4人／実数（円）,4人／構成比（％）,5人以上／実数（円）,5人以上／構成比（％）
51,2,5,1,12,0,外食,16057,5.1,13222,4.4,16135,5.2,21486,6.3,13404,3.9
52,2,6,1,12,1,一般外食,15464,4.9,13222,4.4,15704,5.1,20165,5.9,10788,3.1
53,2,6,1,12,2,学校給食,593,0.2,-,-,432,0.1,1322,0.4,2615,0.8
54,2,4,2,0,0,住居,29384,9.3,33454,11.1,31469,10.2,21862,6.4,21582,6.2
55,2,5,2,1,0,家賃地代,14169,4.5,13238,4.4,17397,5.6,10631,3.1,20756,6.0
56,2,5,2,2,0,設備修繕・維持,15215,4.8,20216,6.7,14072,4.6,11231,3.3,827,0.2
57,2,6,2,2,1,設備材料,1882,0.6,2319,0.8,2049,0.7,1336,0.4,201,0.1
58,2,6,2,2,2,工事その他のサービス,13333,4.2,17897,5.9,12023,3.9,9895,2.9,626,0.2
59,2,4,3,0,0,光熱・水道,19347,6.1,17648,5.8,20363,6.6,20747,6.1,21059,6.1
60,2,5,3,1,0,電気代,8775,2.8,8263,2.7,9232,3.0,9377,2.8,7805,2.2
61,2,5,3,2,0,ガス代,5466,1.7,5070,1.7,6086,2.0,5391,1.6,5755,1.7
62,2,5,3,3,0,他の光熱,50,0.0,64,0.0,39,0.0,31,0.0,75,0.0
63,2,5,3,4,0,上下水道料,5057,1.6,4251,1.4,5006,1.6,5949,1.8,7425,2.1
64,2,4,4,0,0,家具・家事用品,13375,4.2,10704,3.5,18183,5.9,12533,3.7,13764,4.0
65,2,5,4,1,0,家庭用耐久財,4878,1.5,3366,1.1,9476,3.1,2808,0.8,2973,0.9
66,2,6,4,1,1,家事用耐久財,2351,0.7,2206,0.7,3851,1.2,1478,0.4,15,0.0
67,2,6,4,1,2,冷暖房用器具,2501,0.8,1153,0.4,5626,1.8,1238,0.4,2958,0.9
68,2,6,4,1,3,一般家具,25,0.0,6,0.0,-,-,92,0.0,-,-
69,2,5,4,2,0,室内装備・装飾品,551,0.2,471,0.2,784,0.3,480,0.1,328,0.1
70,2,5,4,3,0,寝具類,840,0.3,428,0.1,1129,0.4,1300,0.4,533,0.2
71,2,5,4,4,0,家事雑貨,2373,0.8,2117,0.7,2066,0.7,2619,0.8,4673,1.3
72,2,5,4,5,0,家事用消耗品,3839,1.2,3057,1.0,4327,1.4,4389,1.3,4926,1.4
73,2,5,4,6,0,家事サービス,894,0.3,1265,0.4,400,0.1,937,0.3,330,0.1
74,2,4,5,0,0,被服及び履物,11703,3.7,10910,3.6,10001,3.2,14645,4.3,13088,3.8
75,2,5,5,1,0,和服,35,0.0,-,-,42,0.0,98,0.0,-,-
76,2,5,5,2,0,洋服,5011,1.6,5266,1.7,3866,1.3,5876,1.7,4883,1.4
77,2,6,5,2,1,男子用洋服,1564,0.5,1585,0.5,1330,0.4,2069,0.6,372,0.1
78,2,6,5,2,2,婦人用洋服,3112,1.0,3681,1.2,2221,0.7,2950,0.9,3853,1.1
79,2,6,5,2,3,子供用洋服,334,0.1,-,-,315,0.1,857,0.3,658,0.2
80,2,5,5,3,0,シャツ・セーター類,2549,0.8,2261,0.7,2635,0.9,2952,0.9,2544,0.7
81,2,6,5,3,1,男子用シャツ・セーター類,864,0.3,493,0.2,1077,0.3,1333,0.4,578,0.2
82,2,6,5,3,2,婦人用シャツ・セーター類,1529,0.5,1768,0.6,1446,0.5,1167,0.3,1710,0.5
83,2,6,5,3,3,子供用シャツ・セーター類,157,0.0,-,-,112,0.0,453,0.1,257,0.1
84,2,5,5,4,0,下着類,1074,0.3,860,0.3,779,0.3,1796,0.5,970,0.3
85,2,6,5,4,1,男子用下着類,251,0.1,256,0.1,220,0.1,301,0.1,148,0.0
86,2,6,5,4,2,婦人用下着類,729,0.2,604,0.2,488,0.2,1215,0.4,727,0.2
87,2,6,5,4,3,子供用下着類,94,0.0,-,-,72,0.0,280,0.1,95,0.0
88,2,5,5,5,0,生地・糸類,127,0.0,193,0.1,64,0.0,103,0.0,39,0.0
89,2,5,5,6,0,他の被服,600,0.2,355,0.1,487,0.2,1065,0.3,967,0.3
90,2,5,5,7,0,履物類,1432,0.5,1060,0.4,1156,0.4,1985,0.6,3131,0.9
91,2,5,5,8,0,被服関連サービス,874,0.3,915,0.3,971,0.3,771,0.2,554,0.2
92,2,4,6,0,0,保健医療,16743,5.3,19913,6.6,14622,4.7,14213,4.2,14283,4.1
93,2,5,6,1,0,医薬品,2950,0.9,3558,1.2,2347,0.8,2436,0.7,3538,1.0
94,2,5,6,2,0,健康保持用摂取品,1569,0.5,2363,0.8,1187,0.4,811,0.2,765,0.2
95,2,5,6,3,0,保健医療用品・器具,2370,0.8,2072,0.7,2011,0.7,2828,0.8,4306,1.2
96,2,5,6,4,0,保健医療サービス,9855,3.1,11920,4.0,9077,2.9,8138,2.4,5675,1.6
97,2,4,7,0,0,交通・通信,34703,11.0,39589,13.1,27256,8.8,35861,10.6,29197,8.4
98,2,5,7,1,0,交通,8703,2.8,9948,3.3,7246,2.3,8619,2.5,6823,2.0
99,2,5,7,2,0,自動車等関係費,14518,4.6,20387,6.8,7759,2.5,14289,4.2,4419,1.3
100,2,6,7,2,1,自動車等購入,3827,1.2,9036,3.0,-,-,-,-,-,-
101,2,6,7,2,2,自転車購入,491,0.2,-,-,774,0.3,1138,0.3,-,-
102,2,6,7,2,3,自動車等維持,10199,3.2,11351,3.8,6985,2.3,13151,3.9,4419,1.3
103,2,5,7,3,0,通信,11482,3.6,9255,3.1,12252,4.0,12953,3.8,17956,5.2
104,2,4,8,0,0,教育,14824,4.7,265,0.1,7015,2.3,43538,12.8,36664,10.6
105,2,5,8,1,0,授業料等,11188,3.5,265,0.1,3637,1.2,35899,10.6,22112,6.4
106,2,5,8,2,0,教科書・学習参考教材,72,0.0,-,-,-,-,282,0.1,47,0.0
107,2,5,8,3,0,補習教育,3564,1.1,-,-,3378,1.1,7357,2.2,14504,4.2
108,2,4,9,0,0,教養娯楽,35437,11.2,34451,11.4,38076,12.3,34865,10.3,32590,9.4
109,2,5,9,1,0,教養娯楽用耐久財,1936,0.6,897,0.3,2753,0.9,1465,0.4,7708,2.2
110,2,5,9,2,0,教養娯楽用品,7726,2.4,8108,2.7,6456,2.1,8988,2.6,5563,1.6
111,2,5,9,3,0,書籍・他の印刷物,3158,1.0,3373,1.1,3091,1.0,2682,0.8,3924,1.1
112,2,5,9,4,0,教養娯楽サービス,22618,7.2,22073,7.3,25776,8.3,21730,6.4,15395,4.4
113,2,6,9,4,1,宿泊料,2270,0.7,2995,1.0,2416,0.8,1057,0.3,1416,0.4
114,2,6,9,4,2,パック旅行費,4818,1.5,3921,1.3,9952,3.2,1772,0.5,-,-
115,2,6,9,4,3,月謝類,3732,1.2,1516,0.5,2781,0.9,7978,2.3,6456,1.9
116,2,6,9,4,4,他の教養娯楽サービス,11798,3.7,13641,4.5,10628,3.4,10923,3.2,7523,2.2
117,2,4,10,0,0,その他の消費支出,47871,15.2,55098,18.3,44712,14.5,39465,11.6,45535,13.1
118,2,5,10,1,0,諸雑費,25788,8.2,25511,8.5,26023,8.4,24381,7.2,32705,9.4
119,2,6,10,1,1,理美容サービス,3733,1.2,4286,1.4,3435,1.1,3408,1.0,2466,0.7
120,2,6,10,1,2,理美容用品,5987,1.9,4445,1.5,5039,1.6,6529,1.9,19525,5.6
121,2,6,10,1,3,身の回り用品,2779,0.9,3802,1.3,841,0.3,3010,0.9,3479,1.0
122,2,6,10,1,4,たばこ,1204,0.4,1162,0.4,1466,0.5,1256,0.4,44,0.0
123,2,6,10,1,5,他の諸雑費,12085,3.8,11815,3.9,15242,4.9,10180,3.0,7192,2.1
124,2,5,10,2,0,こづかい,5768,1.8,6593,2.2,5174,1.7,4516,1.3,7860,2.3
125,2,5,10,3,0,交際費,14439,4.6,19559,6.5,12857,4.2,9583,2.8,4970,1.4
126,2,6,10,3,0,食料,4944,1.6,7355,2.4,3877,1.3,2677,0.8,1937,0.6
127,2,6,10,3,0,家具・家事用品,191,0.1,176,0.1,163,0.1,293,0.1,-,-
128,2,6,10,3,0,被服及び履物,262,0.1,351,0.1,286,0.1,145,0.0,-,-
129,2,6,10,3,0,教養娯楽,1214,0.4,2270,0.8,285,0.1,714,0.2,-,-
130,2,6,10,3,0,他の物品サービス,241,0.1,275,0.1,274,0.1,200,0.1,-,-
131,2,6,10,3,6,贈与金,3939,1.2,5766,1.9,3711,1.2,1655,0.5,1312,0.4
132,2,6,10,3,7,他の交際費,3647,1.2,3367,1.1,4262,1.4,3898,1.1,1721,0.5
133,2,5,10,4,0,仕送り金,1877,0.6,3436,1.1,657,0.2,985,0.3,-,-
134,2,3,0,0,0,土地家屋購入,-,-,-,-,-,-,-,-,-,-
135,2,3,0,0,0,（再掲）教育関係費,16603,5.3,2237,0.7,8042,2.6,45344,13.3,40490,11.7
136,2,3,0,0,0,（再掲）教養娯楽関係費,43080,13.6,43946,14.6,43341,14.0,42690,12.6,37122,10.7
137,2,3,0,0,0,（再掲）移転支出（贈与金＋仕送り金）,5816,1.8,9202,3.1,4368,1.4,2640,0.8,1312,0.4
138,2,3,0,0,0,（再掲）経常消費支出,223027,70.7,207871,68.9,228249,73.9,231890,68.3,271973,78.4
139,2,3,0,0,0,（再掲）情報通信関係費,15823,5.0,13962,4.6,17440,5.6,15650,4.6,22566,6.5
140,2,3,0,0,0,（再掲）消費支出（除く住居等）　1）,276621,87.6,250011,82.9,273221,88.4,315203,92.8,324148,93.4
