"町丁目","調査区域面積[平方メートル]","総合支所","樹木被覆地[平方メートル]","草地[平方メートル]","屋上緑地[平方メートル]","裸地[平方メートル]","水面[平方メートル]","緑被地[平方メートル]","オープンスペース[平方メートル]","樹木被覆率[％]","草地率[％]","屋上緑地率[％]","裸地率[％]","水面率[％]","緑被率[％]","オープンスペース率[％]"
"芝一丁目","66,856 ","芝地区","6,141 ","106 ","71 ","0 ","0 ","6,318 ","6,318 ","9.19 ","0.16 ","0.11 ","0.00 ","0.00 ","9.45 ","9.45 "
"芝二丁目","165,807 ","芝地区","13,030 ","230 ","982 ","0 ","123 ","14,242 ","14,365 ","7.86 ","0.14 ","0.59 ","0.00 ","0.07 ","8.59 ","8.66 "
"芝三丁目","153,827 ","芝地区","10,840 ","348 ","926 ","0 ","0 ","12,114 ","12,114 ","7.05 ","0.23 ","0.60 ","0.00 ","0.00 ","7.88 ","7.88 "
"芝四丁目","94,317 ","芝地区","8,603 ","170 ","518 ","0 ","0 ","9,292 ","9,292 ","9.12 ","0.18 ","0.55 ","0.00 ","0.00 ","9.85 ","9.85 "
"芝五丁目","215,031 ","芝地区","18,186 ","749 ","3,116 ","0 ","0 ","22,050 ","22,050 ","8.46 ","0.35 ","1.45 ","0.00 ","0.00 ","10.25 ","10.25 "
"海岸一丁目","389,731 ","芝地区","64,382 ","9,063 ","2,000 ","9,387 ","12,935 ","75,444 ","97,767 ","16.52 ","2.33 ","0.51 ","2.41 ","3.32 ","19.36 ","25.09 "
"東新橋一丁目","236,037 ","芝地区","26,379 ","2,716 ","7,572 ","0 ","0 ","36,667 ","36,667 ","11.18 ","1.15 ","3.21 ","0.00 ","0.00 ","15.53 ","15.53 "
"東新橋二丁目","72,915 ","芝地区","2,975 ","291 ","992 ","0 ","0 ","4,259 ","4,259 ","4.08 ","0.40 ","1.36 ","0.00 ","0.00 ","5.84 ","5.84 "
"新橋一丁目","74,543 ","芝地区","2,180 ","10 ","428 ","0 ","0 ","2,618 ","2,618 ","2.92 ","0.01 ","0.57 ","0.00 ","0.00 ","3.51 ","3.51 "
"新橋二丁目","99,558 ","芝地区","2,260 ","0 ","196 ","0 ","0 ","2,456 ","2,456 ","2.27 ","0.00 ","0.20 ","0.00 ","0.00 ","2.47 ","2.47 "
"新橋三丁目","64,089 ","芝地区","1,887 ","0 ","247 ","988 ","0 ","2,134 ","3,122 ","2.94 ","0.00 ","0.39 ","1.54 ","0.00 ","3.33 ","4.87 "
"新橋四丁目","66,735 ","芝地区","2,664 ","0 ","270 ","2,091 ","0 ","2,934 ","5,025 ","3.99 ","0.00 ","0.40 ","3.13 ","0.00 ","4.40 ","7.53 "
"新橋五丁目","74,374 ","芝地区","3,491 ","0 ","668 ","193 ","0 ","4,159 ","4,351 ","4.69 ","0.00 ","0.90 ","0.26 ","0.00 ","5.59 ","5.85 "
"新橋六丁目","78,507 ","芝地区","3,854 ","0 ","515 ","0 ","0 ","4,369 ","4,369 ","4.91 ","0.00 ","0.66 ","0.00 ","0.00 ","5.57 ","5.57 "
"西新橋一丁目","104,037 ","芝地区","5,089 ","0 ","441 ","0 ","0 ","5,530 ","5,530 ","4.89 ","0.00 ","0.42 ","0.00 ","0.00 ","5.32 ","5.32 "
"西新橋二丁目","93,209 ","芝地区","7,196 ","794 ","435 ","358 ","0 ","8,425 ","8,783 ","7.72 ","0.85 ","0.47 ","0.38 ","0.00 ","9.04 ","9.42 "
"西新橋三丁目","114,270 ","芝地区","6,058 ","35 ","699 ","5,120 ","0 ","6,793 ","11,913 ","5.30 ","0.03 ","0.61 ","4.48 ","0.00 ","5.94 ","10.43 "
