区分１,区分２,(n),増加(％),横ばい(％),減少(％),いない(％),無回答(％)
今回調査,全体,1504,23.7,55.1,14,4.5,2.7
業種別 ,情報・コンテンツ業,411,31.4,50.4,14.6,1.9,1.7
業種別 ,専門サービス業,527,16.7,59.4,13.5,6.6,3.8
業種別 ,技術サービス業,222,22.5,57.2,13.1,5,2.3
業種別 ,事業サービス業,338,26.3,52.1,14.8,4.1,2.7
特定10業種別,税理士事務所,179,10.1,66.5,12.8,6.7,3.9
特定10業種別,ソフトウェア業,222,39.6,43.7,13.5,1.8,1.4
特定10業種別,建築設計業,103,19.4,65,5.8,6.8,2.9
特定10業種別,デザイン業,76,21.1,56.6,18.4,1.3,2.6
特定10業種別,経営コンサルタント業,53,30.2,50.9,9.4,9.4,0
特定10業種別,建物サービス業,76,25,47.4,18.4,6.6,2.6
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",38,2.6,71.1,7.9,10.5,7.9
特定10業種別,自動車整備業,38,26.3,57.9,10.5,2.6,2.6
特定10業種別,法律事務所,43,11.6,65.1,14,7,2.3
特定10業種別,映像情報制作・配給業,43,25.6,60.5,11.6,0,2.3
従業者規模別,１～２人,154,1.3,52.6,11,24.7,10.4
従業者規模別,３～５人,438,14.2,63.5,13.5,5.9,3
従業者規模別,６～９人,297,19.2,62,16.2,1,1.7
従業者規模別,10～29人,332,32.5,50.9,15.7,0.3,0.6
従業者規模別,30人以上,250,47.2,38.8,13.2,0,0.8
年間売上高増減別（３年前）,大幅（10％以上）増加,234,55.1,38.9,2.6,2.1,1.3
年間売上高増減別（３年前）,やや（10％未満）増加,279,36.9,53.4,7.5,0.7,1.4
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,505,12.5,67.3,11.7,5.7,2.8
年間売上高増減別（３年前）,やや（10％未満）減少,243,9.1,56.8,24.3,6.2,3.7
年間売上高増減別（３年前）,大幅（10％以上）減少,215,15.3,46,27.9,7,3.7
売上高経常利益率別,黒字,1144,26.3,55.4,12.2,3.7,2.4
売上高経常利益率別,赤字,296,13.2,54.7,20.9,7.4,3.7
経常損益の変化別（３年前）,増益,374,36.6,46.8,11.5,2.9,2.1
経常損益の変化別（３年前）,横ばい,628,18.5,63.2,10.2,5.6,2.5
経常損益の変化別（３年前）,減益,470,20.2,51.3,21.1,4.3,3.2
代表者の年齢別,40歳未満,39,46.2,46.2,2.6,2.6,2.6
代表者の年齢別,40歳代,226,38.5,41.6,15,3.5,1.3
代表者の年齢別,50歳代,422,29.1,48.3,15.2,4.5,2.8
代表者の年齢別,60～64歳,238,22.7,58.8,13,3.8,1.7
代表者の年齢別,65～69歳,214,14.5,61.7,13.1,7.5,3.3
代表者の年齢別,70歳以上,336,11,65.8,15.2,4.5,3.6
