区分１,区分２,(n),20% 未満（％）,20～40% 未満（％）,40～60% 未満（％）,60～80% 未満（％）,80% 以上（％）,無回答（％）
今回調査,全体,147,46.9,23.8,10.2,3.4,4.8,10.9
業種別,情報・コンテンツ業,63,57.1,15.9,12.7,1.6,4.8,7.9
業種別,専門サービス業,51,37.3,33.3,11.8,2,2,13.7
業種別,技術サービス業,14,28.6,42.9,0,0,14.3,14.3
業種別,事業サービス業,18,50,11.1,5.6,16.7,5.6,11.1
従業者規模別,１～２人,35,31.4,34.3,14.3,5.7,5.7,8.6
従業者規模別,３～５人,25,40,32,4,4,0,20
従業者規模別,６～９人,17,47.1,29.4,11.8,0,5.9,5.9
従業者規模別,10～29人,30,46.7,16.7,16.7,3.3,3.3,13.3
従業者規模別,30人以上,34,73.5,5.9,2.9,2.9,5.9,8.8
