区分１,区分２,(n),０～５％未満(％),５～10％未満(％),10～20％未満(％),20～30％未満(％),30～40％未満(％),40％以上(％),無回答(％)
今回調査,全体,2263,54.1,19.1,9.1,5.3,3.4,6.1,2.7
前回調査,全体,3096,57,8.8,17.4,3,5.6,6.4,1.8
業種別 ,情報・コンテンツ業,520,48.7,18.1,11.3,7.1,4.8,6.7,3.3
業種別 ,専門サービス業,851,51.5,22.1,9.6,4.9,3.9,4.9,3.1
業種別 ,技術サービス業,388,58.5,16.2,6.7,4.9,3.6,8.2,1.8
業種別 ,事業サービス業,493,60.4,17.2,7.9,4.7,1.2,6.1,2.4
特定10業種別,税理士事務所,267,65.2,20.2,7.5,1.5,1.5,1.1,3
特定10業種別,ソフトウェア業,262,46.9,18.7,11.8,9.2,3.8,7.3,2.3
特定10業種別,建築設計業,186,50.5,17.7,7.5,5.4,4.8,11.8,2.2
特定10業種別,デザイン業,123,56.9,21.1,4.9,6.5,6.5,0.8,3.3
特定10業種別,経営コンサルタント業,106,44.3,17,10.4,6.6,7.5,11.3,2.8
特定10業種別,建物サービス業,95,68.4,16.8,6.3,2.1,1.1,2.1,3.2
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,45.1,26.8,12.7,5.6,2.8,7,0
特定10業種別,自動車整備業,68,63.2,17.6,10.3,2.9,0,4.4,1.5
特定10業種別,法律事務所,58,24.1,32.8,10.3,13.8,3.4,10.3,5.2
特定10業種別,映像情報制作・配給業,57,59.6,22.8,3.5,3.5,3.5,5.3,1.8
従業者規模別,１～２人,753,61.9,15.5,7.4,3.6,2.5,6.8,2.3
従業者規模別,３～５人,560,55.9,16.1,8.6,5.7,3.8,6.6,3.4
従業者規模別,６～９人,308,50.6,23.4,9.4,4.5,3.2,7.5,1.3
従業者規模別,10～29人,341,44.3,24.6,12.6,5.9,4.1,4.4,4.1
従業者規模別,30人以上,251,45.8,23.1,11.2,9.2,4,4.4,2.4
年間売上高増減別（３年前）,大幅（10％以上）増加,290,25.9,20.3,15.5,11.4,7.2,19.3,0.3
年間売上高増減別（３年前）,やや（10％未満）増加,360,42.2,27.2,11.7,6.1,4.4,6.7,1.7
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,62.2,20.7,6.8,3.5,1.8,3.4,1.6
年間売上高増減別（３年前）,やや（10％未満）減少,374,66.3,14.7,8.8,4,2.9,2.1,1.1
年間売上高増減別（３年前）,大幅（10％以上）減少,398,61.8,13.6,7.5,5,4,5.5,2.5
売上高経常利益率別,黒字,1602,52.9,20.7,10,5.9,3.7,5.6,1.1
売上高経常利益率別,赤字,557,60.9,15.8,7.2,4.5,2.3,7.5,1.8
経常損益の変化別（３年前）,増益,518,41.9,19.1,13.7,7.1,6.2,11,1
経常損益の変化別（３年前）,横ばい,987,59.2,20.7,7.9,5.1,2.2,3.5,1.4
経常損益の変化別（３年前）,減益,697,58.5,17.4,8.2,4.9,3.2,6.3,1.6
