区分１,区分２,(n),仕入・外注先(％),販売先（顧客）(％),大学・研究機関(％),その他(％),無回答(％)
今回調査,全体,379,59.4,50.9,26.1,21.1,2.4
業種別 ,情報・コンテンツ業,122,71.3,60.7,29.5,13.1,0
業種別 ,専門サービス業,121,47.9,47.1,22.3,28.9,5.8
業種別 ,技術サービス業,69,55.1,44.9,40.6,20.3,2.9
業種別 ,事業サービス業,66,63.6,47,12.1,21.2,0
特定10業種別,税理士事務所,23,13,30.4,8.7,52.2,13
特定10業種別,ソフトウェア業,67,67.2,61.2,31.3,13.4,0
特定10業種別,建築設計業,38,52.6,44.7,39.5,18.4,2.6
特定10業種別,デザイン業,16,68.8,62.5,18.8,25,0
特定10業種別,経営コンサルタント業,30,46.7,60,33.3,26.7,0
特定10業種別,建物サービス業,15,73.3,46.7,6.7,20,0
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",8,50,25,0,12.5,25
特定10業種別,自動車整備業,5,100,60,0,0,0
特定10業種別,法律事務所,9,44.4,55.6,44.4,22.2,0
特定10業種別,映像情報制作・配給業,14,78.6,57.1,21.4,14.3,0
従業者規模別,１～２人,80,46.3,36.3,27.5,28.8,3.8
従業者規模別,３～５人,84,57.1,46.4,22.6,19,2.4
従業者規模別,６～９人,56,60.7,57.1,23.2,21.4,5.4
従業者規模別,10～29人,72,65.3,61.1,25,16.7,1.4
従業者規模別,30人以上,76,69.7,59.2,30.3,21.1,0
年間売上高増減別（３年前）,大幅（10％以上）増加,88,70.5,59.1,31.8,15.9,0
年間売上高増減別（３年前）,やや（10％未満）増加,89,55.1,57.3,24.7,21.3,2.2
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,104,61.5,44.2,26.9,23.1,2.9
年間売上高増減別（３年前）,やや（10％未満）減少,33,42.4,42.4,24.2,21.2,9.1
年間売上高増減別（３年前）,大幅（10％以上）減少,51,56.9,47.1,17.6,23.5,2
売上高経常利益率別,黒字,287,59.2,54.4,26.5,22.3,1.7
売上高経常利益率別,赤字,72,63.9,41.7,25,13.9,4.2
経常損益の変化別（３年前）,増益,130,64.6,61.5,30.8,17.7,1.5
経常損益の変化別（３年前）,横ばい,134,52.2,44.8,24.6,26.9,1.5
経常損益の変化別（３年前）,減益,99,63.6,47.5,23.2,16.2,5.1
