区分１,区分２,(n),相談事は経営者が従業員から直接受ける(％),相談事は上司を通じて経営者に伝わる(％),相談事は経営者に伝わらない(％),相談事を受けるのは上司以外の従業員が多い(％),従業員は相談をあまりしない(％),その他(％),無回答(％)
今回調査,全体,1504,62.3,23.1,1,1.7,8.9,0.8,2.2
業種別 ,情報・コンテンツ業,411,56.9,29.7,1.5,3.2,5.8,1.7,1.2
業種別 ,専門サービス業,527,74,13.1,0.6,0.9,8.9,0.4,2.1
業種別 ,技術サービス業,222,61.3,21.2,0.5,0.5,13.5,0.5,2.7
業種別 ,事業サービス業,338,50.9,32.2,1.5,1.8,9.8,0.6,3.3
特定10業種別,税理士事務所,179,77.7,7.3,0.6,0,11.7,0,2.8
特定10業種別,ソフトウェア業,222,54.1,34.7,1.8,2.3,5.4,0.5,1.4
特定10業種別,建築設計業,103,68,19.4,0,0,10.7,1,1
特定10業種別,デザイン業,76,75,13.2,0,1.3,9.2,1.3,0
特定10業種別,経営コンサルタント業,53,69.8,26.4,0,0,0,1.9,1.9
特定10業種別,建物サービス業,76,46.1,32.9,2.6,1.3,13.2,1.3,2.6
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",38,81.6,2.6,2.6,0,13.2,0,0
特定10業種別,自動車整備業,38,57.9,23.7,2.6,0,10.5,0,5.3
特定10業種別,法律事務所,43,81.4,11.6,2.3,0,4.7,0,0
特定10業種別,映像情報制作・配給業,43,55.8,27.9,0,7,7,0,2.3
従業者規模別,１～２人,154,80.5,1.3,0.6,0.6,9.7,0.6,6.5
従業者規模別,３～５人,438,77.2,7.1,0.7,0.5,12.8,0.7,1.1
従業者規模別,６～９人,297,74.1,11.8,1,0.3,9.1,1,2.7
従業者規模別,10～29人,332,55.7,32.5,0.9,2.4,6.6,0.9,0.9
従業者規模別,30人以上,250,20.4,64.4,1.6,5.2,5.2,0.8,2.4
年間売上高増減別（３年前）,大幅（10％以上）増加,234,56,35,0.9,0.9,5.6,0,1.7
年間売上高増減別（３年前）,やや（10％未満）増加,279,64.2,24.7,0.7,1.8,6.5,0.4,1.8
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,505,63.6,21.8,0.8,1,9.3,1,2.6
年間売上高増減別（３年前）,やや（10％未満）減少,243,67.1,14.4,1.2,1.6,12.8,1.6,1.2
年間売上高増減別（３年前）,大幅（10％以上）減少,215,60,19.1,1.4,4.2,11.6,0.9,2.8
売上高経常利益率別,黒字,1144,61,25,1,1.5,9.3,0.7,1.6
売上高経常利益率別,赤字,296,66.9,16.2,1.4,2.4,8.1,1.4,3.7
経常損益の変化別（３年前）,増益,374,59.9,28.6,0.8,2.4,5.3,0.5,2.4
経常損益の変化別（３年前）,横ばい,628,65.4,20.4,1,1.1,9.4,0.5,2.2
経常損益の変化別（３年前）,減益,470,59.8,22.3,1.3,1.9,11.7,1.5,1.5
代表者の年齢別,40歳未満,39,51.3,35.9,2.6,0,5.1,0,5.1
代表者の年齢別,40歳代,226,63.7,23.5,1.8,2.2,6.6,0.9,1.3
代表者の年齢別,50歳代,422,60.7,27,1.2,1.9,5.7,1.7,1.9
代表者の年齢別,60～64歳,238,63,21,0,1.7,11.3,0.8,2.1
代表者の年齢別,65～69歳,214,58.9,24.3,0.5,1.9,12.6,0.5,1.4
代表者の年齢別,70歳以上,336,65.8,17.6,1.2,1.2,10.7,0,3.6
従業者の平均年齢別,20歳代,27,51.9,40.7,0,0,7.4,0,0
従業者の平均年齢別,30歳代,273,47.6,39.9,0.7,3.7,5.1,1.1,1.8
従業者の平均年齢別,40歳代,563,63.4,25.4,1.1,1.1,6.6,0.7,1.8
従業者の平均年齢別,50歳代,428,69.6,13.6,0.9,1.4,11,1.2,2.3
従業者の平均年齢別,60歳代,140,65.7,10.7,1.4,0.7,17.9,0,3.6
従業者の平均年齢別,70歳以上,23,78.3,4.3,0,0,13,0,4.3
