大分類,中分類,個人（％）,(法人)会社（％）,(法人)会社以外の法人（％）,法人でない団体（％）
情報通信業,通信業,0.2,98.1,1.5,0.2
情報通信業,放送業,0.3,98.4,1.3,0
情報通信業,情報サービス業,0.6,98.4,0.9,0.1
情報通信業,インターネット附随サービス業,1.2,97.6,1.1,0.1
情報通信業,映像・音声・文字情報制作業,2.9,95.4,1.5,0.2
不動産業、物品賃貸業,不動産取引業,5.7,94,0.3,0
不動産業、物品賃貸業,不動産賃貸業・管理業,36.4,62.4,1,0.2
不動産業、物品賃貸業,物品賃貸業,3.4,95.6,0.9,0
学術研究、専門技術・サービス業,学術・開発研究機関,2.8,53.4,40.2,3.5
学術研究、専門技術・サービス業,専門サービス業（他に分類されないもの）,51.1,41.5,7.2,0.2
学術研究、専門技術・サービス業,広告業,0.9,98.8,0.3,0
学術研究、専門技術・サービス業,技術サービス業（他に分類されないもの）,18.2,79.6,2.1,0.1
サービス（他に分類されないもの）,廃棄物処理業,2.3,95.6,2.1,0
サービス（他に分類されないもの）,自動車整備業,29.2,69.6,1.2,0
サービス（他に分類されないもの）,機械等修理業（別掲を除く）,21,78.6,0.4,0
サービス（他に分類されないもの）,職業紹介・労働者派遣業,1.2,93.1,5.5,0.1
サービス（他に分類されないもの）,その他の事業サービス業,2.8,93.6,3.1,0.6
