区分１,区分２,(n),500万円未満(％),500万円～１千万円未満(％),１～３千万円未満(％),３～５千万円未満(％),５千万円～１億円未満(％),１～３億円未満(％),３～５億円未満(％),５～１０億円未満(％),１０億円以上(％),無回答(％)
今回調査,全体,2263,10,12.4,21.3,12.5,13.9,15,4.6,5.2,3.7,1.5
業種別 ,情報・コンテンツ業,520,5.6,9.2,11.5,11.5,18.1,19,8.3,10,5.4,1.3
業種別 ,専門サービス業,851,10.9,12.9,30.1,15,13.4,10.9,1.9,1.8,0.8,2.2
業種別 ,技術サービス業,388,14.9,16.5,22.2,11.3,10.8,14.2,4.1,2.6,2.8,0.5
業種別 ,事業サービス業,493,9.1,11.4,16,10.1,12.8,18.5,6.1,7.9,7.3,0.8
特定10業種別,税理士事務所,267,6.4,7.9,38.2,20.6,16.9,6.7,0.4,0.4,0,2.6
特定10業種別,ソフトウェア業,262,3.4,6.9,11.5,11.5,19.1,21.4,9.5,10.3,5.3,1.1
特定10業種別,建築設計業,186,14,21,24.7,7.5,7.5,14,3.2,3.8,3.8,0.5
特定10業種別,デザイン業,123,14.6,10.6,26,13.8,11.4,17.9,4.9,0,0.8,0
特定10業種別,経営コンサルタント業,106,11.3,20.8,25.5,12.3,11.3,10.4,0,4.7,0,3.8
特定10業種別,建物サービス業,95,4.2,9.5,15.8,11.6,15.8,18.9,5.3,10.5,7.4,1.1
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,16.9,25.4,33.8,12.7,5.6,4.2,0,0,0,1.4
特定10業種別,自動車整備業,68,8.8,22.1,14.7,13.2,22.1,13.2,0,2.9,2.9,0
特定10業種別,法律事務所,58,3.4,12.1,27.6,13.8,20.7,12.1,3.4,0,1.7,5.2
特定10業種別,映像情報制作・配給業,57,10.5,12.3,8.8,5.3,12.3,22.8,10.5,8.8,8.8,0
従業者規模別,１～２人,753,26.8,28.7,31.9,6.9,3.2,1.1,0,0,0,1.5
従業者規模別,３～５人,560,3.2,9.3,36.8,28,15.7,4.6,0.4,0.5,0,1.4
従業者規模別,６～９人,308,0,2.6,6.8,15.6,44.2,26.6,2.3,1,0,1
従業者規模別,10～29人,341,0,0.3,2.3,3.5,15.5,50.1,15.5,7.3,3.5,1.8
従業者規模別,30人以上,251,0,0.4,0.4,0.4,2.8,17.9,15.5,33.5,27.1,2
年間売上高増減別（３年前）,大幅（10％以上）増加,290,3.1,4.8,15.5,12.4,12.1,21.7,11.4,11,7.6,0.3
年間売上高増減別（３年前）,やや（10％未満）増加,360,3.9,7.2,15.8,12.8,17.2,23.1,5.8,8.3,5.8,0
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,10.6,12.4,24.1,12.2,14.9,14.3,4.8,4,2.3,0.4
年間売上高増減別（３年前）,やや（10％未満）減少,374,8,16.8,28.9,13.1,15,11.5,1.9,2.7,1.9,0.3
年間売上高増減別（３年前）,大幅（10％以上）減少,398,21.9,19.6,18.8,13.3,10.3,7.5,1.5,3,3.3,0.8
売上高経常利益率別,黒字,1602,5.1,10,21.5,12.9,14.7,18.4,5.7,6.6,4.8,0.2
売上高経常利益率別,赤字,557,24.2,19.2,21.4,11.8,12.6,6.8,1.6,1.6,0.4,0.4
経常損益の変化別（３年前）,増益,518,6,10,17.8,13.3,13.5,17.4,6.8,7.5,7.5,0.2
経常損益の変化別（３年前）,横ばい,987,10.7,14.7,23.2,11.3,14.5,13.9,4.4,4.2,2.8,0.3
経常損益の変化別（３年前）,減益,697,11.9,11.5,22.1,14.1,13.8,15.5,3.6,5,2,0.6
