区分１,区分２,(n),"農業，林業, 漁業(％)",建設業(％),製造業(％),情報通信業(％),運輸業，郵便業(％),卸売業，小売業(％),金融業，保険業(％),不動産業，物品賃貸業(％),学術研究  ，専門・技術サービス業(％),宿泊業，飲食サービス業(％),生活関連サービス業，娯楽業(％),教育，学習支援業(％),医療，福祉(％),官公庁(％),その他(％),無回答(％)
今回調査,全体,2263,0.2,11.3,12.2,15.7,2,9.1,3,6.7,9.5,2.3,5.2,2.4,3.4,3.3,10.2,3.4
業種別 ,情報・コンテンツ業,520,0.2,2.7,11.2,46,1.5,6.5,4,1.2,6.5,1,4.6,2.5,2.7,1.7,5.2,2.5
業種別 ,専門サービス業,851,0.5,7.2,15.6,9.8,1.3,11.9,3.9,8.6,11.8,3.1,5.8,2.8,4.9,1.8,7.5,3.8
業種別 ,技術サービス業,388,0,27.6,9.3,2.8,1.5,3.4,0.3,9.8,15.5,1.3,3.1,1.3,1.5,8.5,12.1,2.1
業種別 ,事業サービス業,493,0,15,9.9,4.3,4.1,11.2,2,6.9,4.5,3.4,6.3,2.4,3.2,3.7,18.1,5.1
特定10業種別,税理士事務所,267,0.4,10.5,16.5,5.2,0.7,18,0.4,9.7,11.2,3.4,5.6,1.5,6.4,0.4,5.6,4.5
特定10業種別,ソフトウェア業,262,0,3.4,12.2,59.9,1.9,4.2,5,0.8,2.3,0.4,1.9,0.8,3.1,0.8,1.9,1.5
特定10業種別,建築設計業,186,0,33.3,3.8,1.1,0.5,3.2,0.5,14.5,15.6,1.6,0.5,0.5,2.2,9.7,11.8,1.1
特定10業種別,デザイン業,123,0,1.6,22,22,0.8,11.4,0.8,3.3,11.4,0.8,10.6,6.5,0.8,1.6,5.7,0.8
特定10業種別,経営コンサルタント業,106,0,2.8,17,7.5,2.8,17,5.7,3.8,10.4,4.7,6.6,1.9,6.6,0,9.4,3.8
特定10業種別,建物サービス業,95,0,17.9,3.2,1.1,0,4.2,2.1,21.1,0,4.2,8.4,3.2,1.1,7.4,22.1,4.2
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,0,5.6,4.2,1.4,2.8,0,11.3,33.8,15.5,1.4,0,0,0,1.4,16.9,5.6
特定10業種別,自動車整備業,68,0,8.8,2.9,1.5,16.2,19.1,1.5,2.9,1.5,0,10.3,0,1.5,0,22.1,11.8
特定10業種別,法律事務所,58,1.7,10.3,10.3,3.4,0,10.3,17.2,10.3,10.3,1.7,1.7,3.4,3.4,1.7,8.6,5.2
特定10業種別,映像情報制作・配給業,57,0,0,3.5,57.9,0,1.8,3.5,0,3.5,1.8,14,5.3,1.8,1.8,5.3,0
従業者規模別,１～２人,753,0.1,12.9,11.3,11.6,1.1,9.3,2.3,7,12.6,2.3,4.9,3.1,3.3,2.5,12,3.9
従業者規模別,３～５人,560,0.4,10.7,15,10.9,2.1,9.3,2.7,8.4,10.4,3.4,5.9,1.6,4.8,2.5,8.9,3
従業者規模別,６～９人,308,0,11,9.7,17.9,2.6,9.4,3.6,7.1,9.7,2.9,4.2,1.6,4.2,2.6,9.7,3.6
従業者規模別,10～29人,341,0.3,10.6,12.3,22,2.9,9.1,3.8,4.4,6.2,2.1,5.3,2.6,1.8,4.4,8.2,4.1
従業者規模別,30人以上,251,0,10,10.8,29.1,2.8,6.8,4,5.2,3.6,0.4,5.2,3.2,1.2,5.6,10.4,2
年間売上高増減別（３年前）,大幅（10％以上）増加,290,0,7.9,10.7,27.2,2.8,7.9,2.8,4.8,9,1.7,6.6,2.8,3.1,3.4,9,0.3
年間売上高増減別（３年前）,やや（10％未満）増加,360,0,10.3,13.1,18.6,2.8,9.7,3.1,7.2,8.1,1.7,4.7,2.8,4.2,3.3,7.8,2.8
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,0.4,12.9,12.6,13.1,2,9,3,7.4,9.7,2.9,4.4,2.4,3.5,3.9,10.6,2.3
年間売上高増減別（３年前）,やや（10％未満）減少,374,0.3,13.1,12.6,10.4,1.6,12,3.2,7.8,8.6,2.9,5.6,2.1,4,1.9,11.2,2.7
年間売上高増減別（３年前）,大幅（10％以上）減少,398,0.3,10.3,12.6,15.6,1.3,7.3,2.8,5.8,12.1,2,5.8,2.3,2.8,3.8,11.8,3.8
売上高経常利益率別,黒字,1602,0.2,11.5,13.2,16,2.2,9.4,3.1,7.2,9.1,2.4,5,2.2,3.6,3.7,9,1.9
売上高経常利益率別,赤字,557,0.2,11.7,10.6,16.2,1.1,8.1,2.5,5.2,11.1,2.3,5.7,3.1,3.1,2.7,13.6,2.9
経常損益の変化別（３年前）,増益,518,0.2,9.8,12.4,22.6,2.9,8.7,3.1,5.6,8.5,2.1,6.2,2.1,3.3,3.1,9.3,0.2
経常損益の変化別（３年前）,横ばい,987,0.3,13.2,12.7,14.1,1.3,8.1,2.8,7.9,10.2,2.7,4.4,2.9,4,3.1,9.4,2.8
経常損益の変化別（３年前）,減益,697,0.1,10.5,12.3,13.9,2.4,10.9,3.2,6,9.6,1.9,5.6,2,3.2,3.9,11.8,2.7
