項目,2012年,2014年,2016年
全　体事業所数（所） ,"627,357","653,819","621,671"
全　体対前回比（％）,-8.4,4.2,-4.9
第１次産業事業所数（所）,462,504,467
第１次産業対前回比（％）,-5.9,9.1,-7.3
第２次産業事業所数（所）,"92,667","91,679","83,661"
第２次産業対前回比（％）,-1.1,-8.7,
第３次産業事業所数（所）,"534,228","561,636","537,543"
第３次産業対前回比（％）,-7.5,5.1,-4.3
