年,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
サービス業（％）,111,104,100,97.6,101.2,101.7,101.7,101.5,103,105.2,106.1
対個人サービス業（％）,102.2,101.1,100,93.4,100.3,99.5,98.9,96.3,94.8,95.1,94.2
対事業所サービス業（％）,113.5,104.9,100,98.8,101.4,102.3,102.5,102.9,105.3,108.1,109.5
