区分１,区分２,(n),思う(％),やや思う(％),あまり思わない(％),思わない(％),わからない(％),無回答(％)
今回調査,全体,2263,9.6,18.9,37.3,19.8,10.8,3.6
業種別 ,情報・コンテンツ業,520,13.5,25.2,38.1,14.6,6.7,1.9
業種別 ,専門サービス業,851,10.1,17,40.5,20.3,8.8,3.2
業種別 ,技術サービス業,388,7.2,14.9,36.6,23.2,13.4,4.6
業種別 ,事業サービス業,493,6.5,18.5,31.4,22.1,16.4,5.1
特定10業種別,税理士事務所,267,8.6,14.2,40.4,24.7,7.1,4.9
特定10業種別,ソフトウェア業,262,14.5,26.3,38.9,14.1,5.7,0.4
特定10業種別,建築設計業,186,5.4,16.1,40.3,18.3,16.1,3.8
特定10業種別,デザイン業,123,6.5,23.6,41.5,18.7,9.8,0
特定10業種別,経営コンサルタント業,106,11.3,20.8,42.5,17.9,6.6,0.9
特定10業種別,建物サービス業,95,4.2,21.1,27.4,25.3,17.9,4.2
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,5.6,14.1,39.4,22.5,14.1,4.2
特定10業種別,自動車整備業,68,2.9,27.9,16.2,23.5,22.1,7.4
特定10業種別,法律事務所,58,8.6,17.2,43.1,17.2,10.3,3.4
特定10業種別,映像情報制作・配給業,57,5.3,21.1,45.6,19.3,8.8,0
従業者規模別,１～２人,753,8,14.7,34,24.7,14.6,4
従業者規模別,３～５人,560,9.3,18,37.9,19.8,10.7,4.3
従業者規模別,６～９人,308,10.7,22.7,36,17.5,8.8,4.2
従業者規模別,10～29人,341,10.3,23.2,41.3,15.5,7.3,2.3
従業者規模別,30人以上,251,13.1,22.7,43.4,13.5,6,1.2
年間売上高増減別（３年前）,大幅（10％以上）増加,290,20,26.9,35.5,9.7,6.2,1.7
年間売上高増減別（３年前）,やや（10％未満）増加,360,12.8,27.5,38.1,12.2,6.9,2.5
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,8.4,14.4,37.9,22.1,13.9,3.1
年間売上高増減別（３年前）,やや（10％未満）減少,374,6.1,16.8,38.5,24.1,10.7,3.7
年間売上高増減別（３年前）,大幅（10％以上）減少,398,5.5,16.6,35.2,25.1,12.3,5.3
売上高経常利益率別,黒字,1602,9.9,20,37.8,19.2,10,3.1
売上高経常利益率別,赤字,557,8.1,16.3,36.8,21.7,13.3,3.8
経常損益の変化別（３年前）,増益,518,15.4,22,37.8,13.3,7.9,3.5
経常損益の変化別（３年前）,横ばい,987,7.8,18.2,38.3,20.3,13,2.4
経常損益の変化別（３年前）,減益,697,8,17.4,36.6,23.8,10,4.2
