大分類,中分類,男（％）,女（％）
情報通信業,通信業,73.9,26.1
情報通信業,放送業,73,27
情報通信業,情報サービス業,77.6,22.4
情報通信業,インターネット附随サービス業,66.8,33.2
情報通信業,映像・音声・文字情報制作業,65.4,34.6
不動産業、物品賃貸業,不動産取引業,65.5,34.5
不動産業、物品賃貸業,不動産賃貸業・管理業,59.5,40.5
不動産業、物品賃貸業,物品賃貸業,65,35
学術研究、専門技術・サービス業,学術・開発研究機関,70.2,29.8
学術研究、専門技術・サービス業,専門サービス業（他に分類されないもの）,62.5,37.5
学術研究、専門技術・サービス業,広告業,65.8,34.2
学術研究、専門技術・サービス業,技術サービス業（他に分類されないもの）,74.4,25.6
サービス（他に分類されないもの）,廃棄物処理業,87,13
サービス（他に分類されないもの）,自動車整備業,82.1,17.9
サービス（他に分類されないもの）,機械等修理業（別掲を除く）,84.4,15.6
サービス（他に分類されないもの）,職業紹介・労働者派遣業,40.7,59.3
サービス（他に分類されないもの）,その他の事業サービス業,59.4,40.6
