区分１,区分２,(n),従業員を雇用している(％),家族従業員のみ(％),従業員は雇用していない(％),無回答（％)
今回調査,全体,2263,66.5,13.6,17.8,2.2
業種別 ,情報・コンテンツ業,520,79,7.3,12.1,1.5
業種別 ,専門サービス業,851,61.9,15.5,20.7,1.9
業種別 ,技術サービス業,388,57.2,18.3,22.4,2.1
業種別 ,事業サービス業,493,68.6,13,15.2,3.2
特定10業種別,税理士事務所,267,67,16.9,13.9,2.2
特定10業種別,ソフトウェア業,262,84.7,5,9.9,0.4
特定10業種別,建築設計業,186,55.4,18.3,24.2,2.2
特定10業種別,デザイン業,123,61.8,13,25.2,0
特定10業種別,経営コンサルタント業,106,50,20.8,28.3,0.9
特定10業種別,建物サービス業,95,80,7.4,10.5,2.1
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,53.5,25.4,16.9,4.2
特定10業種別,自動車整備業,68,55.9,17.6,19.1,7.4
特定10業種別,法律事務所,58,74.1,10.3,13.8,1.7
特定10業種別,映像情報制作・配給業,57,75.4,8.8,14,1.8
従業者規模別,１～２人,753,20.5,28,48.3,3.2
従業者規模別,３～５人,560,78.2,14.8,4.5,2.5
従業者規模別,６～９人,308,96.4,1,1.3,1.3
従業者規模別,10～29人,341,97.4,0.3,0.9,1.5
従業者規模別,30人以上,251,99.6,0,0,0.4
