区分１,区分２,(n),決まっている(％),候補がいない(％),候補はいるが決まっていない(％),まだ決める必要がない(％),その他(％),無回答(％)
今回調査,全体,788,32.1,10.7,25.5,13.1,0.4,18.3
業種別 ,情報・コンテンツ業,180,19.4,16.1,33.3,15,0,16.1
業種別 ,専門サービス業,302,37.1,11.3,21.5,12.9,0,17.2
業種別 ,技術サービス業,135,24.4,8.1,29.6,12.6,1.5,23.7
業種別 ,事業サービス業,168,43.5,6,21.4,11.3,0.6,17.3
特定10業種別,税理士事務所,132,48.5,9.8,14.4,8.3,0,18.9
特定10業種別,ソフトウェア業,100,15,18,37,17,0,13
特定10業種別,建築設計業,58,24.1,6.9,27.6,13.8,0,27.6
特定10業種別,デザイン業,26,26.9,11.5,26.9,11.5,0,23.1
特定10業種別,経営コンサルタント業,27,22.2,11.1,44.4,7.4,0,14.8
特定10業種別,建物サービス業,32,43.8,3.1,25,6.3,0,21.9
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",21,33.3,23.8,19,14.3,0,9.5
特定10業種別,自動車整備業,23,56.5,4.3,17.4,4.3,4.3,13
特定10業種別,法律事務所,18,44.4,16.7,16.7,11.1,0,11.1
特定10業種別,映像情報制作・配給業,21,14.3,28.6,23.8,9.5,0,23.8
従業者規模別,１～２人,129,25.6,14,23.3,23.3,0.8,13.2
従業者規模別,３～５人,222,38.7,10.8,15.3,13.5,0,21.6
従業者規模別,６～９人,169,34.3,9.5,30.8,8.3,0,17.2
従業者規模別,10～29人,156,26.3,10.9,30.8,10.9,0.6,20.5
従業者規模別,30人以上,95,30.5,8.4,35.8,10.5,0,14.7
年間売上高増減別（３年前）,大幅（10％以上）増加,114,19.3,14,29.8,21.9,0,14.9
年間売上高増減別（３年前）,やや（10％未満）増加,149,26.8,6.7,32.2,14.8,1.3,18.1
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,289,34.9,12.1,21.5,10.7,0,20.8
年間売上高増減別（３年前）,やや（10％未満）減少,126,46,11.9,19,7.9,0,15.1
年間売上高増減別（３年前）,大幅（10％以上）減少,99,28.3,8.1,29.3,14.1,1,19.2
売上高経常利益率別,黒字,616,32,10.1,25.5,13.3,0.5,18.7
売上高経常利益率別,赤字,142,33.1,14.8,25.4,12,0,14.8
経常損益の変化別（３年前）,増益,191,28.8,8.9,29.8,18.3,0.5,13.6
経常損益の変化別（３年前）,横ばい,339,31.9,10.9,25.7,11.8,0.6,19.2
経常損益の変化別（３年前）,減益,246,35.4,11.4,22,11.4,0,19.9
代表者の年齢別,40歳未満,7,0,14.3,0,57.1,0,28.6
代表者の年齢別,40歳代,62,12.9,19.4,25.8,30.6,0,11.3
代表者の年齢別,50歳代,189,14.8,16.4,33.3,16.9,0.5,18
代表者の年齢別,60～64歳,135,21.5,11.1,31.9,18.5,0.7,16.3
代表者の年齢別,65～69歳,127,38.6,9.4,22,6.3,0.8,22.8
代表者の年齢別,70歳以上,252,53.2,4.8,18.7,4.8,0,18.7
事業承継予定別,子・子の配偶者に継がせたい,280,62.1,2.5,24.6,7.5,0.7,2.5
事業承継予定別,配偶者に継がせたい,13,15.4,0,15.4,15.4,0,53.8
事業承継予定別,子・配偶者以外の親族に継がせたい（1.2.を除く）,19,36.8,5.3,26.3,10.5,0,21.1
事業承継予定別,従業員に継がせたい,351,16.8,10,30.5,13.4,0,29.3
事業承継予定別,外部の人間に継がせたい,64,14.1,21.9,9.4,20.3,0,34.4
事業承継予定別,誰でもよいから継がせたい,61,3.3,44.3,19.7,29.5,1.6,1.6
