経営比率,売上高増加率（%）,売上高増加率（%）,売上高増加率（%）,売上総利益対人件費比率（%）,売上総利益対人件費比率（%）,売上総利益対人件費比率（%）,自己資本比率（%）,自己資本比率（%）,自己資本比率（%）
調査年度 ,2016,2017,2018,2016,2017,2018,2016,2017,2018
中央値（14業種）,0.8,-0.1,1.2,73.2,72.2,72.7,36.2,36.5,38.1
ソフトウェア業,2.9,1.8,4.3,80.7,80.4,79.8,35,40,37.1
情報処理・提供サービス業,5.9,-0.3,3.8,73.8,74.5,73.9,55.7,57.7,54.2
インターネット附随サービス業,4.7,-4.4,1.4,75.7,71.7,38.9,26.7,-3.9,36.8
映像情報制作・配給業,1,-3.5,0.1,74,74.6,77.2,15.1,30,21.5
出版業,-0.7,-1.2,-1.2,48.1,47.4,57.4,34,28.1,33
運送業,0.5,2.1,1.7,77.6,81,76.3,24.2,20.7,20.9
建設機械器具賃貸業,3.4,-1.1,0.9,54.6,60.7,54.9,56.6,50.7,39.7
デザイン業,-5.3,3.7,1.4,64.2,65.1,67.3,31.1,40.8,41
広告業,0.3,-5.1,-2.9,63.5,67.3,71.7,26.9,32.1,36.4
廃棄物処理業,2.1,-0.1,1.2,69,67.4,63.3,37.6,30.4,29.4
自動車整備業,0.7,-3,-4.8,55.3,56.7,73.5,28.2,30.6,42.3
職業紹介業,24.4,-3.4,-2.1,69.5,71.5,73,57.7,48.9,60.9
人材派遣業,-0.4,0.3,5.7,89.1,82.5,75.7,59.4,42.7,40.7
ビルメンテナンス業,0.2,1.2,2.9,86.1,86.8,86.1,60.7,53.2,59.3
従業者規模（1 ～ 10 人）,-4.5,-1.8,-6,67.6,64.6,63.8,30.5,31.1,33.4
従業者規模（11 ～ 30 人）,1,-1.2,0,65.6,67,66.1,34,41.1,34.4
従業者規模（31 ～ 50 人）,2.9,0.2,2.5,72.9,75.8,70,39.9,34.8,38.3
従業者規模（51 ～ 100 人）,5,1.9,2.5,77.1,72.8,75.5,36.9,39.3,40.8
従業者規模（101 人以上）,0.8,0.5,4.1,84.3,86.2,82,60.4,41.7,44
