区分１,区分２,(n),増加(％),横ばい(％),減少(％),無回答(％)
今回調査,全体,1504,23.5,53.4,13.5,9.6
業種別 ,情報・コンテンツ業,411,29.4,52.1,12.2,6.3
業種別 ,専門サービス業,527,17.6,57.5,11.6,13.3
業種別 ,技術サービス業,222,21.2,55.4,13.1,10.4
業種別 ,事業サービス業,338,27.2,47.3,18.6,6.8
特定10業種別,税理士事務所,179,11.2,63.1,11.2,14.5
特定10業種別,ソフトウェア業,222,37.8,45,11.3,5.9
特定10業種別,建築設計業,103,20.4,60.2,7.8,11.7
特定10業種別,デザイン業,76,18.4,52.6,17.1,11.8
特定10業種別,経営コンサルタント業,53,28.3,52.8,9.4,9.4
特定10業種別,建物サービス業,76,23.7,43.4,30.3,2.6
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",38,2.6,71.1,5.3,21.1
特定10業種別,自動車整備業,38,15.8,63.2,10.5,10.5
特定10業種別,法律事務所,43,18.6,60.5,2.3,18.6
特定10業種別,映像情報制作・配給業,43,20.9,62.8,7,9.3
従業者規模別,１～２人,154,1.9,63,8.4,26.6
従業者規模別,３～５人,438,12.8,61.6,12.6,13
従業者規模別,６～９人,297,19.9,59.6,14.1,6.4
従業者規模別,10～29人,332,32.2,46.4,16.3,5.1
従業者規模別,30人以上,250,48.4,35.2,14.4,2
年間売上高増減別（３年前）,大幅（10％以上）増加,234,56.8,33.3,4.7,5.1
年間売上高増減別（３年前）,やや（10％未満）増加,279,36.2,47.7,6.8,9.3
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,505,12.1,66.1,11.1,10.7
年間売上高増減別（３年前）,やや（10％未満）減少,243,7.8,61.3,21.4,9.5
年間売上高増減別（３年前）,大幅（10％以上）減少,215,14,47.4,27.9,10.7
売上高経常利益率別,黒字,1144,26,53.3,11.9,8.8
売上高経常利益率別,赤字,296,13.5,56.8,19.6,10.1
経常損益の変化別（３年前）,増益,374,37.7,42,12.6,7.8
経常損益の変化別（３年前）,横ばい,628,18.3,61.3,10,10.4
経常損益の変化別（３年前）,減益,470,19.6,52.1,19.1,9.1
代表者の年齢別,40歳未満,39,46.2,41,5.1,7.7
代表者の年齢別,40歳代,226,33.6,44.2,14.2,8
代表者の年齢別,50歳代,422,29.6,47.9,14,8.5
代表者の年齢別,60～64歳,238,21.4,55.9,14.3,8.4
代表者の年齢別,65～69歳,214,15.9,62.1,13.6,8.4
代表者の年齢別,70歳以上,336,12.8,60.1,13.4,13.7
