区分１,区分２,(n),40歳未満(％),40歳代(％),50歳代(％),60～64歳(％),65～69歳(％),70歳以上(％),無回答(％)
今回調査,全体,2263,2.5,13.5,25.9,15.8,15.1,25.3,1.9
業種別 ,情報・コンテンツ業,520,4,16.9,35.2,16.3,11.3,13.5,2.7
業種別 ,専門サービス業,851,2,12.9,23.1,14.8,15,30.3,1.8
業種別 ,技術サービス業,388,0.8,10.3,19.8,16.5,22.2,28.9,1.5
業種別 ,事業サービス業,493,3.2,13.6,25.6,16.8,13.2,26,1.6
特定10業種別,税理士事務所,267,0.7,4.5,17.2,13.1,16.9,44.9,2.6
特定10業種別,ソフトウェア業,262,5,18.7,37,18.7,8.4,11.1,1.1
特定10業種別,建築設計業,186,0.5,8.1,21,16.7,26.3,25.8,1.6
特定10業種別,デザイン業,123,4.1,15.4,35.8,20.3,9.8,12.2,2.4
特定10業種別,経営コンサルタント業,106,2.8,19.8,24.5,16,14.2,20.8,1.9
特定10業種別,建物サービス業,95,3.2,15.8,27.4,13.7,16.8,23.2,0
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,4.2,14.1,15.5,19.7,16.9,28.2,1.4
特定10業種別,自動車整備業,68,0,13.2,20.6,10.3,11.8,41.2,2.9
特定10業種別,法律事務所,58,1.7,12.1,22.4,3.4,15.5,43.1,1.7
特定10業種別,映像情報制作・配給業,57,1.8,15.8,40.4,10.5,15.8,8.8,7
従業者規模別,１～２人,753,2.1,10.9,24.3,15.1,17.8,28.7,1.1
従業者規模別,３～５人,560,2.9,14.1,23.6,15.2,15.4,28.2,0.7
従業者規模別,６～９人,308,2.6,15.3,26.3,13.3,13,27.9,1.6
従業者規模別,10～29人,341,2.9,15.8,28.2,18.2,14.4,19.6,0.9
従業者規模別,30人以上,251,2.4,16.7,34.7,19.9,11.6,14.3,0.4
