大分類,中分類,男（％）,女（％）
情報通信業,通信業,73.1,26.9
情報通信業,放送業,70.5,29.5
情報通信業,情報サービス業,77.1,22.9
情報通信業,インターネット附随サービス業,65.1,34.9
情報通信業,映像・音声・文字情報制作業,65.1,34.9
不動産業、物品賃貸業,不動産取引業,62.9,37.1
不動産業、物品賃貸業,不動産賃貸業・管理業,55.9,44.1
不動産業、物品賃貸業,物品賃貸業,65.5,34.5
学術研究、専門技術・サービス業,学術・開発研究機関,75.8,24.2
学術研究、専門技術・サービス業,専門サービス業（他に分類されないもの）,58.3,41.7
学術研究、専門技術・サービス業,広告業,64.2,35.8
学術研究、専門技術・サービス業,技術サービス業（他に分類されないもの）,73.7,26.3
サービス（他に分類されないもの）,廃棄物処理業,82.7,17.3
サービス（他に分類されないもの）,自動車整備業,79,21
サービス（他に分類されないもの）,機械等修理業（別掲を除く）,82.4,17.6
サービス（他に分類されないもの）,職業紹介・労働者派遣業,48.2,51.8
サービス（他に分類されないもの）,その他の事業サービス業,56.3,43.7
