区分１,区分２,(n),20歳代(％),30歳代(％),40歳代(％),50歳代(％),60歳代(％),70歳以上(％),無回答(％)
今回調査,全体,2263,1.2,13,29.2,28.2,17,6.9,4.5
業種別 ,情報・コンテンツ業,520,2.5,28.1,34.4,20.8,8.8,1.5,3.8
業種別 ,専門サービス業,851,0.8,8.3,28.9,30.2,17.9,8.8,5.1
業種別 ,技術サービス業,388,0.8,7.7,26.3,28.6,22.4,11.1,3.1
業種別 ,事業サービス業,493,0.8,9.1,27,32.3,19.7,5.9,5.3
特定10業種別,税理士事務所,267,0,3.7,25.1,33,19.9,12.7,5.6
特定10業種別,ソフトウェア業,262,3.1,35.5,34.7,18.3,5,1.1,2.3
特定10業種別,建築設計業,186,0.5,11.3,22.6,27.4,24.7,11.3,2.2
特定10業種別,デザイン業,123,2.4,16.3,27.6,28.5,14.6,4.1,6.5
特定10業種別,経営コンサルタント業,106,0.9,9.4,30.2,22.6,23.6,10.4,2.8
特定10業種別,建物サービス業,95,0,6.3,18.9,38.9,27.4,3.2,5.3
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,0,7,22.5,32.4,22.5,7,8.5
特定10業種別,自動車整備業,68,0,4.4,26.5,32.4,19.1,11.8,5.9
特定10業種別,法律事務所,58,1.7,12.1,39.7,27.6,5.2,6.9,6.9
特定10業種別,映像情報制作・配給業,57,3.5,31.6,28.1,22.8,5.3,1.8,7
従業者規模別,１～２人,753,0.3,3.1,13.8,28.7,31.1,17.9,5.2
従業者規模別,３～５人,560,1.1,8.9,31.3,37,18,2.7,1.1
従業者規模別,６～９人,308,1.3,14.6,40.9,32.8,6.2,0,4.2
従業者規模別,10～29人,341,1.8,26.1,47.5,19.4,3.2,0.3,1.8
従業者規模別,30人以上,251,3.2,33.5,36.7,17.1,7.2,0,2.4
