項目,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,(年度)
対全国比(％),20.3,19.7,19.6,20.3,20.2,20,19.6,19.6,19.6,19.4,(％)
都内総生産(兆円),103.4,97,98.1,100.4,99.8,101.3,101.8,104.5,105.2,106.2,(兆円)
