大分類,中分類,0人（％）,1～4人（％）,5～9人（％）,10～19人（％）,20～29人（％）,30人以上（％）
情報通信業,通信業,8.1,28.1,15.8,13.1,7.1,27.9
情報通信業,放送業,4.6,23.1,19.2,20.8,6.2,26.1
情報通信業,情報サービス業,12.5,25.8,14.8,14.4,8.1,24.4
情報通信業,インターネット付随サービス業,16.3,34.2,15.2,12.7,5.4,16.1
情報通信業,映像・音声・文字情報制作業,18.7,38,16.2,11.8,4.9,10.5
不動産業、物品賃貸業,不動産取引業,22.9,49.4,16.4,6.9,1.8,2.6
不動産業、物品賃貸業,不動産賃貸業・管理業,54.9,37.5,3.9,1.8,0.6,1.4
不動産業、物品賃貸業,物品賃貸業,11.4,30.7,21.8,17.7,7.8,10.7
学術研究、専門技術・サービス業,学術・開発研究機関,13.9,31.3,16.2,12.1,7.2,19.3
学術研究、専門技術・サービス業,専門サービス業（他に分類されないもの）,28.1,48.2,12.9,5.7,1.7,3.3
学術研究、専門技術・サービス業,広告業,14.3,39.8,17.9,12.8,3.8,11.4
学術研究、専門技術・サービス業,技術サービス業（他に分類されないもの）,27,42.1,13.8,8.1,2.9,6
サービス（他に分類されないもの）,廃棄物処理業,9,32.3,19.1,15.8,8.4,15.4
サービス（他に分類されないもの）,自動車整備業,27.9,46.6,15.1,6.6,2,1.9
サービス（他に分類されないもの）,機械等修理業（別掲を除く）,24,37.4,12.7,12.4,4.8,8.8
サービス（他に分類されないもの）,職業紹介・労働者派遣業,8.9,27.2,14.5,12.2,6.2,31
サービス（他に分類されないもの）,その他の事業サービス業,10.5,32.5,16.6,13.6,6.7,20.1
