項目,日本（％）,アメリカ（％）,ドイツ（％）,イギリス（％）,フランス（％）,欧州連合（％）
Services,69.5,80.2,68.6,79.6,78.9,73.5
Construction,5.8,4.1,4.7,6.2,5.6,5.4
"Industry,including energy",23.5,14.7,25.8,13.5,13.7,19.5
"Agliculture,forestry,fishing",1.2,0.9,0.9,0.7,1.7,1.7
