区分１,区分２,(n),中国(％),香港(％),台湾(％),韓国(％),アメリカ(％),イギリス(％),フランス(％),ドイツ(％),その他(％),無回答(％)
今回調査,全体,267,17.2,3,7.5,8.2,17.2,2.6,2.6,2.6,25.5,13.5
業種別 ,情報・コンテンツ業,99,17.2,2,12.1,12.1,15.2,1,5.1,3,22.2,10.1
業種別 ,専門サービス業,110,17.3,3.6,6.4,3.6,22.7,4.5,1.8,2.7,20.9,16.4
業種別 ,技術サービス業,26,26.9,0,0,15.4,11.5,3.8,0,3.8,30.8,7.7
業種別 ,事業サービス業,31,9.7,6.5,3.2,6.5,9.7,0,0,0,45.2,19.4
特定10業種別,税理士事務所,17,17.6,0,17.6,5.9,5.9,0,11.8,0,23.5,17.6
特定10業種別,ソフトウェア業,43,16.3,2.3,9.3,9.3,14,0,0,7,34.9,7
特定10業種別,建築設計業,17,35.3,0,0,11.8,5.9,0,0,5.9,35.3,5.9
特定10業種別,デザイン業,12,16.7,0,8.3,8.3,33.3,8.3,0,0,8.3,16.7
特定10業種別,経営コンサルタント業,16,6.3,6.3,0,6.3,18.8,6.3,0,0,37.5,18.8
特定10業種別,建物サービス業,4,25,0,0,0,0,0,0,0,50,25
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",5,60,20,0,0,0,0,0,0,0,20
特定10業種別,自動車整備業,2,0,0,0,0,0,0,0,0,50,50
特定10業種別,法律事務所,10,20,10,0,0,20,20,0,0,20,10
特定10業種別,映像情報制作・配給業,17,11.8,0,17.6,11.8,23.5,0,17.6,0,5.9,11.8
従業者規模別,１～２人,51,17.6,2,9.8,5.9,25.5,3.9,0,0,17.6,17.6
従業者規模別,３～５人,55,18.2,7.3,7.3,3.6,14.5,3.6,3.6,5.5,25.5,10.9
従業者規模別,６～９人,49,16.3,0,8.2,8.2,20.4,2,4.1,2,18.4,20.4
従業者規模別,10～29人,60,11.7,5,6.7,11.7,16.7,3.3,5,1.7,30,8.3
従業者規模別,30人以上,46,23.9,0,4.3,13,8.7,0,0,4.3,34.8,10.9
年間売上高増減別（３年前）,大幅（10％以上）増加,62,17.7,3.2,9.7,4.8,16.1,0,3.2,4.8,30.6,9.7
年間売上高増減別（３年前）,やや（10％未満）増加,58,20.7,1.7,3.4,8.6,19,0,0,1.7,31,13.8
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,74,18.9,1.4,5.4,10.8,13.5,5.4,5.4,1.4,25.7,12.2
年間売上高増減別（３年前）,やや（10％未満）減少,33,12.1,12.1,12.1,12.1,18.2,3,3,0,15.2,12.1
年間売上高増減別（３年前）,大幅（10％以上）減少,32,12.5,0,9.4,3.1,28.1,3.1,0,6.3,12.5,25
売上高経常利益率別,黒字,196,18.4,3.6,7.1,8.2,16.3,2.6,3.6,3.1,24.5,12.8
売上高経常利益率別,赤字,58,13.8,1.7,10.3,6.9,20.7,3.4,0,1.7,25.9,15.5
経常損益の変化別（３年前）,増益,84,23.8,1.2,8.3,7.1,15.5,0,1.2,2.4,25,15.5
経常損益の変化別（３年前）,横ばい,102,12.7,4.9,6.9,11.8,13.7,4.9,5.9,2,24.5,12.7
経常損益の変化別（３年前）,減益,72,16.7,2.8,8.3,4.2,23.6,2.8,0,4.2,25,12.5
