大分類,中分類,個人（％）,(法人)会社（％）,(法人)会社以外の法人（％）,法人でない団体（％）
情報通信業,通信業,3.3,93.9,2.6,0.2
情報通信業,放送業,0.4,93.4,5.9,0.3
情報通信業,情報サービス業,1.7,96.9,1.2,0.2
情報通信業,インターネット附随サービス業,5.6,92.7,1.5,0.2
情報通信業,映像・音声・文字情報制作業,6.8,90.4,2.4,0.4
不動産業、物品賃貸業,不動産取引業,13.1,86,0.9,0
不動産業、物品賃貸業,不動産賃貸業・管理業,49.4,49,1.4,0.2
不動産業、物品賃貸業,物品賃貸業,7.5,91.6,0.8,0.1
学術研究、専門技術・サービス業,学術・開発研究機関,2.3,59.4,36.7,1.5
学術研究、専門技術・サービス業,専門サービス業（他に分類されないもの）,63.4,29.3,7.1,0.2
学術研究、専門技術・サービス業,広告業,3.7,96,0.3,0.1
学術研究、専門技術・サービス業,技術サービス業（他に分類されないもの）,29.6,66.8,3.4,0.1
サービス（他に分類されないもの）,廃棄物処理業,6.4,89.8,3.6,0.2
サービス（他に分類されないもの）,自動車整備業,54.7,44,1.3,0
サービス（他に分類されないもの）,機械等修理業（別掲を除く）,31.7,67.5,0.7,0
サービス（他に分類されないもの）,職業紹介・労働者派遣業,2.8,82.9,13.5,0.8
サービス（他に分類されないもの）,その他の事業サービス業,6.4,87.6,5,1.1
