項　目,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,（年度）
農林水産業（％）,2.6,-8.4,5.4,-3.4,2.8,-0.3,0.6,5.8,0,-6.7,
鉱業（％）,-3.1,-10.9,8.5,0.2,7.3,11.8,11.5,-4,-6.9,4.2,
製造業（％）,-8.7,-10.1,-1.1,4.3,-2.5,0.5,3.4,1.5,0.4,0,
電気・ガス・水道・廃棄物処理業（％）,4,0.9,-1.6,-5.7,-0.4,5.5,5.4,-0.7,1.9,1.2,
建設業（％）,5.6,-5.4,9.2,-4.4,-1.2,5.5,3.7,4.6,8.6,13,
卸売・小売業（％）,-2.6,-11.1,1.6,7.1,-1.4,-0.5,-8.1,7.5,-1.2,-0.6,
運輸・郵便業（％）,-3.5,-8.7,-0.8,0,2.6,0.9,3.3,3.1,-0.6,2.3,
宿泊・飲食サービス業（％）,-0.4,-3.7,7.3,-3.4,-1.2,-1.7,6.8,-1.4,-0.5,-0.7,
情報通信業（％）,-2.2,-4.4,-2.6,1,2.6,2.1,3.9,1.9,0.3,-1.1,
金融・保険業（％）,-13,-2.2,-3.8,-4.1,-2.5,2.8,0,1.8,-3.2,1.7,
不動産業（％）,2,1.7,2.3,2,0.2,-0.1,1.8,1.5,3.4,1.8,
専門・科学技術、業務支援サービス業（％）,6.9,-12.1,5,4.9,-1.5,5.2,2.9,1.7,2,0.2,
公務（％）,-0.5,1.3,-11,-0.3,-2.1,-0.5,4.9,2.7,2.1,-2.1,
教育（％）,-0.9,-0.8,0.6,2.1,-0.8,0.8,6.3,-2,1.1,1.9,
保健衛生・社会事業（％）,1.2,7.2,6.1,1.9,5,2.7,0.6,3.2,2.3,1.4,
その他のサービス（％）,2.1,-12.8,11.2,4.7,-1,1.2,0.3,-1.9,-3.4,1.5,
産業全体（％）,-1.9,-6.2,1.1,2.3,-0.5,1.5,0.5,2.7,0.6,1,
