区分１,区分２,(n),あり(％),なし(％),無回答(％)
今回調査,全体,2263,12.6,85.9,1.5
前回調査,全体,3096,11.7,87,1.4
業種別 ,情報・コンテンツ業,520,14,84.2,1.7
業種別 ,専門サービス業,851,5.8,93.1,1.2
業種別 ,技術サービス業,388,13.7,84.5,1.8
業種別 ,事業サービス業,493,22.3,76.3,1.4
特定10業種別,税理士事務所,267,1.5,96.6,1.9
特定10業種別,ソフトウェア業,262,19.1,80.2,0.8
特定10業種別,建築設計業,186,12.4,85.5,2.2
特定10業種別,デザイン業,123,6.5,91.1,2.4
特定10業種別,経営コンサルタント業,106,11.3,87.7,0.9
特定10業種別,建物サービス業,95,23.2,76.8,0
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,2.8,97.2,0
特定10業種別,自動車整備業,68,10.3,85.3,4.4
特定10業種別,法律事務所,58,0,100,0
特定10業種別,映像情報制作・配給業,57,10.5,87.7,1.8
従業者規模別,１～２人,753,3.6,95.5,0.9
従業者規模別,３～５人,560,4.1,95.4,0.5
従業者規模別,６～９人,308,10.1,89.6,0.3
従業者規模別,10～29人,341,22.3,77.4,0.3
従業者規模別,30人以上,251,49.4,50.2,0.4
