区分１,区分２,(n),20%未満（％）,20～40%未満（％）,40～60%未満（％）,60～80%未満（％）,80%以上（％）,無回答（％）
今回調査,全体,67,59.7,17.9,6,3,4.5,9
業種別,情報・コンテンツ業,20,65,15,10,0,0,10
業種別,専門サービス業,22,54.5,13.6,4.5,4.5,9.1,13.6
業種別,技術サービス業,10,40,20,10,10,10,10
業種別,事業サービス業,15,73.3,26.7,0,0,0,0
従業者規模別,１～２人,18,50,16.7,11.1,5.6,11.1,5.6
従業者規模別,３～５人,12,58.3,25,0,8.3,0,8.3
従業者規模別,６～９人,14,71.4,7.1,7.1,0,0,14.3
従業者規模別,10～29人,12,50,33.3,8.3,0,8.3,0
従業者規模別,30人以上,10,80,10,0,0,0,10
