区分１,区分２,(n),４件以下(％),５～９件(％),10～19件(％),20～49件(％),50～99件(％),100～199件(％),200～499件(％),500件以上(％),無回答(％)
今回調査,全体,2263,18.9,17.8,16.6,17.1,11.4,7.1,5.1,4.4,1.7
前回調査,全体,3096,21.2,16,17.4,16.3,11.6,7.3,4.3,4.5,1.4
業種別 ,情報・コンテンツ業,520,22.5,25.2,16.2,12.7,7.5,3.1,4,6.9,1.9
業種別 ,専門サービス業,851,12.8,12.8,17.2,22.4,16.7,8.2,4.9,3.1,1.9
業種別 ,技術サービス業,388,32.2,24,19.3,11.9,3.6,4.4,1.8,2.1,0.8
業種別 ,事業サービス業,493,15,13.8,13.6,16.6,12.6,11.8,9.1,5.7,1.8
特定10業種別,税理士事務所,267,1.9,4.1,10.5,31.1,26.2,16.1,6.7,0.7,2.6
特定10業種別,ソフトウェア業,262,26,26.3,18.3,13,6.9,1.1,2.7,4.2,1.5
特定10業種別,建築設計業,186,36.6,26.3,21,8.6,2.7,2.7,1.6,0,0.5
特定10業種別,デザイン業,123,28.5,31.7,19.5,12.2,4.9,1.6,0.8,0,0.8
特定10業種別,経営コンサルタント業,106,31.1,17.9,13.2,17,9.4,2.8,2.8,3.8,1.9
特定10業種別,建物サービス業,95,14.7,18.9,16.8,17.9,10.5,11.6,6.3,2.1,1.1
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,8.5,9.9,21.1,21.1,12.7,9.9,8.5,8.5,0
特定10業種別,自動車整備業,68,5.9,5.9,10.3,11.8,19.1,16.2,17.6,8.8,4.4
特定10業種別,法律事務所,58,0,8.6,24.1,29.3,17.2,8.6,8.6,1.7,1.7
特定10業種別,映像情報制作・配給業,57,19.3,36.8,17.5,8.8,8.8,3.5,3.5,1.8,0
従業者規模別,１～２人,753,31.5,22.2,17.8,16.6,6.2,3.1,1.1,0.4,1.2
従業者規模別,３～５人,560,17,18.9,16.3,18.2,16.3,5.7,2.9,2.3,2.5
従業者規模別,６～９人,308,13,14.3,14.9,14,13.6,13.3,8.8,7.8,0.3
従業者規模別,10～29人,341,9.4,15.8,17.9,17.3,10.6,9.4,10,7,2.6
従業者規模別,30人以上,251,6.4,9.6,12.7,18.7,14.7,11.6,11.6,12.7,2
年間売上高増減別（３年前）,大幅（10％以上）増加,290,14.5,14.1,18.3,20,9.7,8.6,8.3,6.2,0.3
年間売上高増減別（３年前）,やや（10％未満）増加,360,12.8,16.4,15,19.7,12.5,8.1,8.3,7.2,0
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,21.2,19.2,17.5,15.7,11.7,7,4.3,2.6,0.8
年間売上高増減別（３年前）,やや（10％未満）減少,374,17.1,16.6,12.8,22.7,13.4,8.8,3.5,4.5,0.5
年間売上高増減別（３年前）,大幅（10％以上）減少,398,24.9,20.9,20.1,11.3,9.8,4.5,3.3,3.8,1.5
売上高経常利益率別,黒字,1602,16,15.8,17,19,12.6,8.3,6.4,4.7,0.2
売上高経常利益率別,赤字,557,29.3,25,16,11.8,7.9,4.7,1.8,2.9,0.7
経常損益の変化別（３年前）,増益,518,17.2,18.7,15.8,16.4,10,9.3,6.2,6.2,0.2
経常損益の変化別（３年前）,横ばい,987,19.9,17.6,17.7,18,11.2,6.9,5.4,2.9,0.3
経常損益の変化別（３年前）,減益,697,19.2,18.2,16.4,17.1,13.2,6.3,3.9,5,0.7
