区分１,区分２,(n),進むと思う(％),変わらない(％),わからない(％),無回答(％)
今回調査,全体,2263,48.6,29.7,15.6,6.1
前回調査,全体,3096,48.5,34.5,12.1,4.9
業種別 ,情報・コンテンツ業,520,59.2,28.1,9.4,3.3
業種別 ,専門サービス業,851,49.5,31.1,14.1,5.3
業種別 ,技術サービス業,388,44.3,28.9,18.6,8.2
業種別 ,事業サービス業,493,38.9,29.8,22.3,8.9
特定10業種別,税理士事務所,267,52.4,30.3,10.5,6.7
特定10業種別,ソフトウェア業,262,64.9,27.1,7.3,0.8
特定10業種別,建築設計業,186,46.2,27.4,18.3,8.1
特定10業種別,デザイン業,123,48.8,30.1,17.9,3.3
特定10業種別,経営コンサルタント業,106,50,33,14.2,2.8
特定10業種別,建物サービス業,95,35.8,28.4,27.4,8.4
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,38,42.3,15.5,4.2
特定10業種別,自動車整備業,68,25,25,35.3,14.7
特定10業種別,法律事務所,58,46.6,29.3,19,5.2
特定10業種別,映像情報制作・配給業,57,50.9,33.3,15.8,0
従業者規模別,１～２人,753,34.1,38.5,21.1,6.2
従業者規模別,３～５人,560,48.4,31.1,13.9,6.6
従業者規模別,６～９人,308,55.8,25,11.7,7.5
従業者規模別,10～29人,341,58.9,23.5,12.3,5.3
従業者規模別,30人以上,251,68.5,17.5,11.2,2.8
年間売上高増減別（３年前）,大幅（10％以上）増加,290,69.7,20.3,5.9,4.1
年間売上高増減別（３年前）,やや（10％未満）増加,360,62.2,20.6,11.1,6.1
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,44.6,32.4,17.5,5.5
年間売上高増減別（３年前）,やや（10％未満）減少,374,39.6,36.9,18.2,5.3
年間売上高増減別（３年前）,大幅（10％以上）減少,398,37.7,33.7,20.6,8
売上高経常利益率別,黒字,1602,51.4,28.8,14.5,5.3
売上高経常利益率別,赤字,557,40.2,33.8,19,7
経常損益の変化別（３年前）,増益,518,60.6,23.6,10,5.8
経常損益の変化別（３年前）,横ばい,987,44.4,33.6,17.1,4.9
経常損益の変化別（３年前）,減益,697,45.9,29.7,17.5,6.9
