区分１,区分２,(n),進んだ(％),変わらない(％),わからない(％),無回答(％)
今回調査,全体,2263,35.3,53,7.3,4.4
前回調査,全体,3096,39,54.3,4.7,2.1
業種別 ,情報・コンテンツ業,520,40.2,54,3.3,2.5
業種別 ,専門サービス業,851,38.2,53.3,4.7,3.8
業種別 ,技術サービス業,388,30.7,53.6,10.6,5.2
業種別 ,事業サービス業,493,28.6,51.1,13.6,6.7
特定10業種別,税理士事務所,267,42.3,48.7,3.4,5.6
特定10業種別,ソフトウェア業,262,38.9,57.6,2.7,0.8
特定10業種別,建築設計業,186,26.9,59.1,10.2,3.8
特定10業種別,デザイン業,123,33.3,62.6,3.3,0.8
特定10業種別,経営コンサルタント業,106,36.8,51.9,8.5,2.8
特定10業種別,建物サービス業,95,23.2,56.8,15.8,4.2
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,29.6,60.6,7,2.8
特定10業種別,自動車整備業,68,19.1,41.2,25,14.7
特定10業種別,法律事務所,58,37.9,55.2,1.7,5.2
特定10業種別,映像情報制作・配給業,57,31.6,61.4,7,0
従業者規模別,１～２人,753,25.1,59.2,10.2,5.4
従業者規模別,３～５人,560,33.8,55.2,6.3,4.8
従業者規模別,６～９人,308,39.9,48.1,7.1,4.9
従業者規模別,10～29人,341,41.9,49.6,5.9,2.6
従業者規模別,30人以上,251,53,43.4,2.4,1.2
年間売上高増減別（３年前）,大幅（10％以上）増加,290,49.7,45.9,2.8,1.7
年間売上高増減別（３年前）,やや（10％未満）増加,360,45.8,47.2,3.6,3.3
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,31.9,55.3,8.9,3.9
年間売上高増減別（３年前）,やや（10％未満）減少,374,27.3,59.9,8.3,4.5
年間売上高増減別（３年前）,大幅（10％以上）減少,398,29.1,54.8,10.3,5.8
売上高経常利益率別,黒字,1602,37,53,6.4,3.6
売上高経常利益率別,赤字,557,28.4,56.2,10.1,5.4
経常損益の変化別（３年前）,増益,518,42.3,50,3.9,3.9
経常損益の変化別（３年前）,横ばい,987,34.4,54.1,8.4,3
経常損益の変化別（３年前）,減益,697,31,55.7,8.5,4.9
