区分１,区分２,(n),経営の先行き不安、経営悪化の回避(％),経営者の高年齢化(％),後継者の不在(％),経営者の健康面( 気力･ 体力) の不安(％),借入金・個人保証の問題(％),創業時より自分の代限りでやめる予定(％),その他(％),無回答(％)
今回調査,全体,151,7.9,37.1,17.9,4,0,25.2,2.6,5.3
業種別 ,情報・コンテンツ業,18,11.1,11.1,27.8,5.6,0,27.8,11.1,5.6
業種別 ,専門サービス業,74,6.8,43.2,14.9,2.7,0,27,0,5.4
業種別 ,技術サービス業,29,10.3,48.3,17.2,3.4,0,13.8,3.4,3.4
業種別 ,事業サービス業,30,6.7,26.7,20,6.7,0,30,3.3,6.7
特定10業種別,税理士事務所,30,3.3,63.3,13.3,3.3,0,13.3,0,3.3
特定10業種別,ソフトウェア業,10,10,0,20,10,0,40,20,0
特定10業種別,建築設計業,15,0,53.3,20,0,0,13.3,6.7,6.7
特定10業種別,デザイン業,12,16.7,8.3,16.7,8.3,0,50,0,0
特定10業種別,経営コンサルタント業,6,33.3,0,33.3,0,0,33.3,0,0
特定10業種別,建物サービス業,5,0,20,40,0,0,40,0,0
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",12,0,50,16.7,0,0,16.7,0,16.7
特定10業種別,自動車整備業,7,0,28.6,14.3,14.3,0,0,14.3,28.6
特定10業種別,法律事務所,2,0,50,0,0,0,50,0,0
特定10業種別,映像情報制作・配給業,1,0,100,0,0,0,0,0,0
従業者規模別,１～２人,113,7.1,40.7,14.2,3.5,0,30.1,0.9,3.5
従業者規模別,３～５人,27,11.1,25.9,29.6,7.4,0,7.4,7.4,11.1
従業者規模別,６～９人,1,0,100,0,0,0,0,0,0
従業者規模別,10～29人,7,14.3,14.3,42.9,0,0,14.3,14.3,0
従業者規模別,30人以上,0,0,0,0,0,0,0,0,0
年間売上高増減別（３年前）,大幅（10％以上）増加,1,0,0,0,0,0,100,0,0
年間売上高増減別（３年前）,やや（10％未満）増加,6,0,16.7,50,0,0,33.3,0,0
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,50,8,38,16,4,0,28,0,6
年間売上高増減別（３年前）,やや（10％未満）減少,39,2.6,48.7,25.6,0,0,15.4,2.6,5.1
年間売上高増減別（３年前）,大幅（10％以上）減少,54,13,31.5,11.1,7.4,0,25.9,5.6,5.6
売上高経常利益率別,黒字,80,5,43.8,18.8,1.3,0,28.8,0,2.5
売上高経常利益率別,赤字,62,12.9,29,16.1,8.1,0,21,6.5,6.5
経常損益の変化別（３年前）,増益,17,5.9,17.6,23.5,0,0,41.2,5.9,5.9
経常損益の変化別（３年前）,横ばい,71,7,42.3,15.5,2.8,0,26.8,1.4,4.2
経常損益の変化別（３年前）,減益,58,10.3,37.9,20.7,6.9,0,15.5,3.4,5.2
創業時期別,1970年以前,20,10,50,15,10,0,5,0,10
創業時期別,1971～1980年,18,0,66.7,22.2,0,0,11.1,0,0
創業時期別,1981～1990年,40,7.5,25,25,5,0,30,2.5,5
創業時期別,1991～2000年,35,0,37.1,14.3,2.9,0,31.4,8.6,5.7
創業時期別,2001～2010年,26,23.1,30.8,3.8,0,0,38.5,0,3.8
創業時期別,2011年以降,4,0,50,0,0,0,50,0,0
創業時期別,無回答,8,12.5,12.5,50,12.5,0,0,0,12.5
代表者の年齢別,40歳未満,0,0,0,0,0,0,0,0,0
代表者の年齢別,40歳代,2,50,0,0,0,0,0,50,0
代表者の年齢別,50歳代,12,16.7,8.3,8.3,0,0,58.3,8.3,0
代表者の年齢別,60～64歳,20,5,15,15,0,0,55,5,5
代表者の年齢別,65～69歳,37,10.8,37.8,21.6,10.8,0,16.2,2.7,0
代表者の年齢別,70歳以上,77,5.2,48.1,18.2,2.6,0,18.2,0,7.8
