区分１,区分２,(n),大幅（１０％以上）増加(％),やや（１０％未満）増加(％),ほぼ（±５％未満）横ばい(％),やや（１０％未満）減少(％),大幅（１０％以上）減少(％),無回答(％)
今回調査,全体,2263,13.4,21.4,44.3,9.5,8.7,2.7
前回調査,全体,3096,11.8,15.3,48.2,9.7,12.7,2.4
業種別 ,情報・コンテンツ業,520,16.7,26,39,7.3,8.3,2.7
業種別 ,専門サービス業,851,11.3,20.4,46.4,9.2,9.2,3.5
業種別 ,技術サービス業,388,11.6,17,49.7,9.3,10.6,1.8
業種別 ,事業サービス業,493,15,21.9,42,12.4,6.5,2.2
特定10業種別,税理士事務所,267,9,24.7,51.3,5.2,6,3.7
特定10業種別,ソフトウェア業,262,19.8,28.6,37.4,5.7,6.1,2.3
特定10業種別,建築設計業,186,12.9,15.1,52.2,9.1,9.7,1.1
特定10業種別,デザイン業,123,8.1,23.6,40.7,13,13.8,0.8
特定10業種別,経営コンサルタント業,106,17,15.1,41.5,11.3,10.4,4.7
特定10業種別,建物サービス業,95,17.9,21.1,32.6,21.1,5.3,2.1
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,7,11.3,52.1,14.1,11.3,4.2
特定10業種別,自動車整備業,68,8.8,19.1,57.4,8.8,5.9,0
特定10業種別,法律事務所,58,6.9,25.9,44.8,12.1,3.4,6.9
特定10業種別,映像情報制作・配給業,57,12.3,26.3,36.8,10.5,12.3,1.8
従業者規模別,１～２人,753,4.4,8.6,58.8,10.6,14.6,2.9
従業者規模別,３～５人,560,11.8,23,44.1,9.3,8.9,2.9
従業者規模別,６～９人,308,14,34.4,36.7,9.4,3.9,1.6
従業者規模別,10～29人,341,22.3,29.3,32.6,8.8,3.8,3.2
従業者規模別,30人以上,251,31.1,29.1,25.5,8.4,3.2,2.8
年間売上高増減別（３年前）,大幅（10％以上）増加,290,54.8,15.9,21,4.1,3.8,0.3
年間売上高増減別（３年前）,やや（10％未満）増加,360,13.3,51.1,27.5,4.7,2.8,0.6
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,3.9,18.1,69.8,4.9,1.6,1.6
年間売上高増減別（３年前）,やや（10％未満）減少,374,7,17.6,45.7,22.7,5.9,1.1
年間売上高増減別（３年前）,大幅（10％以上）減少,398,9.3,10.8,28.1,14.8,34.9,2
売上高経常利益率別,黒字,1602,15.8,24.9,44.1,8.4,6.1,0.7
売上高経常利益率別,赤字,557,8.1,13.1,46.5,13.5,16.9,2
経常損益の変化別（３年前）,増益,518,26.4,24.3,31.1,8.9,8.5,0.8
経常損益の変化別（３年前）,横ばい,987,6.9,21.2,58.3,8.7,3.6,1.3
経常損益の変化別（３年前）,減益,697,13.8,20.8,36.7,11.5,16.1,1.1
