年,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
第３次産業総合（間接法）（％）,103.8,98.9,100,100.1,101.9,102.7,102.3,103.2,103.9,104.7,105.9
情報通信業（％）,100.9,99.8,100,100.1,102,103.6,104.8,106.7,108,109.6,110.9
物品賃貸業（自動車賃貸業を含む）（％）,102.6,101.1,100,98.1,96.4,94.3,92.7,92.7,95.5,96.5,97.7
事業者向け関連サービス（％）,114.5,105.3,100,100.2,101.7,102.5,101.5,101.6,104.3,106.8,108.7
不動産業（％）,100.4,99.7,100,99.9,102,104.1,102.5,103.2,103.8,104.4,104.9
生活娯楽関連サービス（％）,104.3,101.1,100,97.6,100.7,101.4,100.7,100.8,99,98.4,98.1
