項目,2012年,2014年,2016年
東京都従業者数（人）,"8,655,267","9,185,292","9,005,511"
東京都対前回比（％）,-4.3,6.1,-2
全　国従業者数（人）,"55,837,252","57,427,704","56,872,826"
全　国対前回比（％）,-4.5,2.8,-1
従業者数の全国比（％） ,15.5,16,15.8
