区分１,区分２,(n),大幅（10％以上）増加(％),やや（10％未満）増加(％),ほぼ（±５％未満）横ばい(％),やや（10％未満）減少(％),大幅（10％以上）減少(％),無回答(％)
今回調査,全体,2263,6.6,13.7,52.5,16.5,8.7,1.9
前回調査,全体,3096,5.3,10.8,53.8,17.3,11.9,1
業種別 ,情報・コンテンツ業,520,8.7,15.8,56.5,12.1,4.8,2.1
業種別 ,専門サービス業,851,6.8,12.7,46.8,21.3,10,2.5
業種別 ,技術サービス業,388,4.9,13.1,59.3,12.1,9.8,0.8
業種別 ,事業サービス業,493,5.3,13.8,53.3,16.4,9.3,1.8
特定10業種別,税理士事務所,267,8.2,10.5,36.7,31.1,10.9,2.6
特定10業種別,ソフトウェア業,262,9.9,17.6,59.5,6.5,4.6,1.9
特定10業種別,建築設計業,186,5.4,15.6,59.1,9.1,10.2,0.5
特定10業種別,デザイン業,123,1.6,11.4,65,15.4,5.7,0.8
特定10業種別,経営コンサルタント業,106,12.3,17,38.7,18.9,9.4,3.8
特定10業種別,建物サービス業,95,5.3,11.6,60,14.7,6.3,2.1
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,0,14.1,47.9,18.3,19.7,0
特定10業種別,自動車整備業,68,4.4,10.3,44.1,32.4,7.4,1.5
特定10業種別,法律事務所,58,3.4,6.9,51.7,25.9,5.2,6.9
特定10業種別,映像情報制作・配給業,57,3.5,12.3,66.7,14,3.5,0
従業者規模別,１～２人,753,4,9.6,51.8,19.7,13.1,1.9
従業者規模別,３～５人,560,6.6,10.7,52,18.9,9.6,2.1
従業者規模別,６～９人,308,8.4,14,52.9,18.2,5.8,0.6
従業者規模別,10～29人,341,7.3,18.8,55.1,11.7,3.8,3.2
従業者規模別,30人以上,251,10.8,25.1,52.2,6.4,3.6,2
年間売上高増減別（３年前）,大幅（10％以上）増加,290,33.1,23.8,39,2.1,2.1,0
年間売上高増減別（３年前）,やや（10％未満）増加,360,6.4,34.4,49.7,6.9,2.5,0
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,1.1,8.7,73.6,13.8,1.8,1
年間売上高増減別（３年前）,やや（10％未満）減少,374,0.3,8.3,44.4,38.8,7.5,0.8
年間売上高増減別（３年前）,大幅（10％以上）減少,398,4.5,3.3,34.9,21.6,34.4,1.3
売上高経常利益率別,黒字,1602,7.6,16,54.2,15.5,6,0.7
売上高経常利益率別,赤字,557,4.1,8.3,50.8,20.1,16.2,0.5
経常損益の変化別（３年前）,増益,518,17,20.8,50,7.1,4.8,0.2
経常損益の変化別（３年前）,横ばい,987,3.4,13.6,63,16.3,3.3,0.3
経常損益の変化別（３年前）,減益,697,3.4,8.9,42.9,24.5,19.2,1
