年,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
第３次産業総合（％）,105.4,99.2,100,99.5,101.1,102.4,101.8,103.4,104.5,105.7,107.5
情報通信業（％）,103.1,100.8,100,98.9,100.5,102.1,103.4,105,106.6,109.2,111.5
物品賃貸業（自動車賃貸業を含む）（％）,102.5,101.1,100,98.1,96.3,94.1,92.5,92.4,95.2,96.1,97.1
事業者向け関連サービス（％）,113.7,105,100,99,101.6,102.6,102.8,103.3,105.6,108.6,110
不動産業（％）,99.3,99.4,100,100.2,101.7,105.1,103.7,104.7,104.9,105.7,106.5
生活娯楽関連サービス（％）,98.7,100.2,100,95.6,100.5,102.9,99.2,101,99.8,101.3,102.6
