区分１,区分２,(n),経営者の判断(％),役員以上の会議(％),管理職以上の会議(％),家族と相談(％),その他(％),無回答(％)
今回調査,全体,794,48.6,24.6,20.3,1.9,2.3,2.4
業種別 ,情報・コンテンツ業,247,41.3,30.4,25.1,0.4,2,0.8
業種別 ,専門サービス業,242,64.5,17.4,11.2,2.9,2.5,1.7
業種別 ,技術サービス業,116,45.7,24.1,23.3,2.6,1.7,2.6
業種別 ,事業サービス業,186,39.8,26.3,23.7,2.2,2.7,5.4
特定10業種別,税理士事務所,46,71.7,8.7,6.5,6.5,4.3,2.2
特定10業種別,ソフトウェア業,139,36.7,33.1,28.8,0,1.4,0
特定10業種別,建築設計業,52,44.2,28.8,19.2,3.8,1.9,1.9
特定10業種別,デザイン業,44,56.8,20.5,13.6,2.3,4.5,2.3
特定10業種別,経営コンサルタント業,56,75,16.1,8.9,0,0,0
特定10業種別,建物サービス業,37,35.1,21.6,29.7,5.4,2.7,5.4
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",9,66.7,11.1,0,22.2,0,0
特定10業種別,自動車整備業,14,50,14.3,14.3,7.1,7.1,7.1
特定10業種別,法律事務所,13,53.8,38.5,0,0,0,7.7
特定10業種別,映像情報制作・配給業,23,60.9,21.7,17.4,0,0,0
従業者規模別,１～２人,128,84.4,3.1,1.6,6.3,1.6,3.1
従業者規模別,３～５人,177,63.3,20.9,7.3,2.8,4,1.7
従業者規模別,６～９人,112,49.1,23.2,17.9,1.8,5.4,2.7
従業者規模別,10～29人,183,34.4,29.5,32.8,0,1.1,2.2
従業者規模別,30人以上,175,21.1,40,36,0,0,2.9
年間売上高増減別（３年前）,大幅（10％以上）増加,168,54.2,25.6,17.9,0.6,0.6,1.2
年間売上高増減別（３年前）,やや（10％未満）増加,166,40.4,27.7,25.3,0,3,3.6
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,236,48.7,25.4,19.5,3,2.1,1.3
年間売上高増減別（３年前）,やや（10％未満）減少,98,51,21.4,17.3,2,2,6.1
年間売上高増減別（３年前）,大幅（10％以上）減少,107,46.7,20.6,21.5,4.7,4.7,1.9
売上高経常利益率別,黒字,600,46.5,25.7,21.8,1.5,2.3,2.2
売上高経常利益率別,赤字,158,57,20.9,13.9,3.2,1.9,3.2
経常損益の変化別（３年前）,増益,260,50.8,27.7,18.1,0.8,1.2,1.5
経常損益の変化別（３年前）,横ばい,292,47.3,22.6,21.6,2.4,2.4,3.8
経常損益の変化別（３年前）,減益,218,46.8,23.9,21.6,2.3,3.7,1.8
