区分１,区分２,(n),策定している(％),策定していない(％),無回答(％)
今回調査,全体,2263,35.1,61.6,3.3
業種別 ,情報・コンテンツ業,520,47.5,50.4,2.1
業種別 ,専門サービス業,851,28.4,68.4,3.2
業種別 ,技術サービス業,388,29.9,65.7,4.4
業種別 ,事業サービス業,493,37.7,58.8,3.4
特定10業種別,税理士事務所,267,17.2,78.7,4.1
特定10業種別,ソフトウェア業,262,53.1,45.4,1.5
特定10業種別,建築設計業,186,28,67.2,4.8
特定10業種別,デザイン業,123,35.8,61.8,2.4
特定10業種別,経営コンサルタント業,106,52.8,45.3,1.9
特定10業種別,建物サービス業,95,38.9,58.9,2.1
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,12.7,83.1,4.2
特定10業種別,自動車整備業,68,20.6,73.5,5.9
特定10業種別,法律事務所,58,22.4,75.9,1.7
特定10業種別,映像情報制作・配給業,57,40.4,56.1,3.5
従業者規模別,１～２人,753,17,78.4,4.6
従業者規模別,３～５人,560,31.6,65.5,2.9
従業者規模別,６～９人,308,36.4,59.7,3.9
従業者規模別,10～29人,341,53.7,44.3,2.1
従業者規模別,30人以上,251,69.7,29.9,0.4
年間売上高増減別（３年前）,大幅（10％以上）増加,290,57.9,41,1
年間売上高増減別（３年前）,やや（10％未満）増加,360,46.1,51.1,2.8
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,29.6,66.7,3.6
年間売上高増減別（３年前）,やや（10％未満）減少,374,26.2,70.9,2.9
年間売上高増減別（３年前）,大幅（10％以上）減少,398,26.9,68.1,5
売上高経常利益率別,黒字,1602,37.5,59.7,2.9
売上高経常利益率別,赤字,557,28.4,67,4.7
経常損益の変化別（３年前）,増益,518,50.2,48.5,1.4
経常損益の変化別（３年前）,横ばい,987,29.6,66.4,4.1
経常損益の変化別（３年前）,減益,697,31.3,65.3,3.4
