大分類,中分類,1984年以降（％）,1985年～1994年（％）,1995年～2004年（％）,2005年～2014年（％）,2015年以降（％）
情報通信業,通信業,2.9,6.2,32.1,51.5,7.3
情報通信業,放送業,15.4,20.9,26.4,35.6,1.7
情報通信業,情報サービス業,7.1,14.4,30.3,43,5.3
情報通信業,インターネット附随サービス業,1.7,4,24.8,58.1,11.5
情報通信業,映像・音声・文字情報制作業,19.6,16.9,26.6,33.5,3.4
不動産業、物品賃貸業,不動産取引業,23.1,17.4,22.4,33.2,3.9
不動産業、物品賃貸業,不動産賃貸業・管理業,45.1,25.5,15.9,12.6,0.9
不動産業、物品賃貸業,物品賃貸業,22.3,15.6,23.4,33.2,5.5
学術研究、専門技術・サービス業,学術・開発研究機関,21,12.9,24,38.3,3.7
学術研究、専門技術・サービス業,専門サービス業（他に分類されないもの）,14.7,14.9,26.4,39.9,4.1
学術研究、専門技術・サービス業,広告業,15.4,13.6,23.8,41.6,5.6
学術研究、専門技術・サービス業,技術サービス業（他に分類されないもの）,21.2,19.7,25.5,30,3.6
サービス（他に分類されないもの）,廃棄物処理業,29.9,17.1,26.5,24.6,1.8
サービス（他に分類されないもの）,自動車整備業,51.1,15.8,17.4,14.6,1
サービス（他に分類されないもの）,機械等修理業（別掲を除く）,26.6,14.9,23.3,31.6,3.6
サービス（他に分類されないもの）,職業紹介・労働者派遣業,9.8,9.4,26,47.2,7.6
サービス（他に分類されないもの）,その他の事業サービス業,17.4,15.7,25.4,37.3,4.2
