大分類,中分類,1984年以降（％）,1985年～1994年（％）,1995年～2004年（％）,2005年～2014年（％）,2015年以降（％）
情報通信業,通信業,3.9,6.9,32,52.2,5.1
情報通信業,放送業,23.5,19,22.4,33.3,1.8
情報通信業,情報サービス業,8.3,16.6,31.2,39.9,4.1
情報通信業,インターネット附随サービス業,1.6,4.1,25.7,58.2,10.5
情報通信業,映像・音声・文字情報制作業,23.2,17.4,24.6,31.8,2.9
不動産業、物品賃貸業,不動産取引業,22.2,19.8,23.3,31.3,3.4
不動産業、物品賃貸業,不動産賃貸業・管理業,40.9,26.9,18.9,12.5,0.8
不動産業、物品賃貸業,物品賃貸業,20.6,19.8,24.7,31.6,3.2
学術研究、専門技術・サービス業,学術・開発研究機関,19.6,13.5,26.5,36.9,3.5
学術研究、専門技術・サービス業,専門サービス業（他に分類されないもの）,16.5,16.8,25.7,37.2,3.7
学術研究、専門技術・サービス業,広告業,17.6,15.5,24.9,38,4
学術研究、専門技術・サービス業,技術サービス業（他に分類されないもの）,23.7,22.5,24.6,26.5,2.7
サービス（他に分類されないもの）,廃棄物処理業,30.7,20.4,26.1,21.3,1.4
サービス（他に分類されないもの）,自動車整備業,47.1,17.9,18.8,14.9,1.3
サービス（他に分類されないもの）,機械等修理業（別掲を除く）,29.5,17.7,23.6,26.5,2.8
サービス（他に分類されないもの）,職業紹介・労働者派遣業,6.7,11.8,26,49.5,6
サービス（他に分類されないもの）,その他の事業サービス業,18.2,17,26,35.2,3.6
