項目,2012年,2014年,2016年
全　体従業者数（人）,"8,655,267","9,185,292","9,005,511"
全　体対前回比（％）,-4.3,6.1,-2
第１次産業従業者数（人）,"3,585","4,128","3,684"
第１次産業対前回比（％）,-9.2,15.1,-10.8
第２次産業従業者数（人）,"1,175,322","1,181,237","1,048,642"
第２次産業対前回比（％）,-17.5,0.5,-11.2
第３次産業従業者数（人）,"7,476,360","7,999,927","7,953,185"
第３次産業対前回比（％）,-1.9,7,-0.6
