大分類,大分類,中分類,小分類,細分類,産業分類
A,農業，林業,2,11,33,第1次産業
B,漁業,2,6,21,第1次産業
C,鉱業，採石業，砂利採取業,1,7,32,第2次産業
D,建設業,3,23,55,第2次産業
E,製造業,24,177,595,第2次産業
F,電気・ガス・熱供給・水道業,4,10,17,第3次産業
G,情報通信業,5,20,45,第3次産業
H,運輸業，郵便業,8,33,62,第3次産業
I,卸売業，小売業,12,61,202,第3次産業
J,金融業，保険業,6,24,72,第3次産業
K,不動産業，物品賃貸業,3,15,28,第3次産業
L,学術研究，専門・技術サービス業,4,23,42,第3次産業
M,宿泊業，飲食サービス業,3,17,29,第3次産業
N,生活関連サービス業，娯楽業,3,23,69,第3次産業
O,教育，学習支援業,2,16,35,第3次産業
P,医療，福祉,3,18,41,第3次産業
Q,複合サービス事業,2,6,10,第3次産業
R,サービス業（他に分類されないもの）,9,34,66,第3次産業
S,公務（他に分類されるものを除く）,2,5,5,第3次産業
T,分類不能の産業,1,1,1,第3次産業
,　　　　　（計）20,99,530,"1,460",
