区分１,区分２,(n),個人(％),法人(％),無回答(％)
今回調査,全体,2263,25.4,73.9,0.7
前回調査,全体,3096,26.4,63.7,9.9
業種別 ,情報・コンテンツ業,520,0.8,99.2,0
業種別 ,専門サービス業,851,55.2,43.5,1.3
業種別 ,技術サービス業,388,12.4,87.4,0.3
業種別 ,事業サービス業,493,10.5,88.8,0.6
特定10業種別,税理士事務所,267,92.5,4.9,2.6
特定10業種別,ソフトウェア業,262,0.4,99.6,0
特定10業種別,建築設計業,186,12.4,87.1,0.5
特定10業種別,デザイン業,123,10.6,88.6,0.8
特定10業種別,経営コンサルタント業,106,1.9,97.2,0.9
特定10業種別,建物サービス業,95,3.2,96.8,0
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,95.8,4.2,0
特定10業種別,自動車整備業,68,26.5,72.1,1.5
特定10業種別,法律事務所,58,93.1,3.4,3.4
特定10業種別,映像情報制作・配給業,57,0,100,0
従業者規模別,１～２人,753,40.2,59.6,0.1
従業者規模別,３～５人,560,31.6,68.2,0.2
従業者規模別,６～９人,308,21.1,78.6,0.3
従業者規模別,10～29人,341,7,92.7,0.3
従業者規模別,30人以上,251,0.4,99.2,0.4
