区分１,区分２,(n),思う(％),やや思う(％),あまり思わない(％),思わない(％),わからない(％),無回答(％)
今回調査,全体,2263,24.3,33.9,17.8,10.2,10.1,3.7
前回調査,全体,3096,25.1,37,20.4,9.2,6.9,1.3
業種別 ,情報・コンテンツ業,520,30.8,37.3,15.4,9.2,5.6,1.7
業種別 ,専門サービス業,851,29.1,32.2,18.9,8.8,7.8,3.2
業種別 ,技術サービス業,388,15.7,33.2,18.6,14.2,13.4,4.9
業種別 ,事業サービス業,493,16,34.1,17.6,10.5,16.2,5.5
特定10業種別,税理士事務所,267,28.8,34.1,18.7,6.7,6.4,5.2
特定10業種別,ソフトウェア業,262,32.4,38.9,16,8,4.2,0.4
特定10業種別,建築設計業,186,18.3,32.8,18.8,11.3,14.5,4.3
特定10業種別,デザイン業,123,25.2,29.3,26,9.8,9.8,0
特定10業種別,経営コンサルタント業,106,29.2,37.7,17.9,6.6,7.5,0.9
特定10業種別,建物サービス業,95,10.5,34.7,22.1,12.6,14.7,5.3
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,16.9,33.8,16.9,18.3,11.3,2.8
特定10業種別,自動車整備業,68,10.3,23.5,14.7,16.2,26.5,8.8
特定10業種別,法律事務所,58,34.5,25.9,19,12.1,5.2,3.4
特定10業種別,映像情報制作・配給業,57,24.6,35.1,22.8,8.8,8.8,0
従業者規模別,１～２人,753,19.8,28.6,18.6,13.8,14.6,4.6
従業者規模別,３～５人,560,24.1,31.8,19.8,10.4,10,3.9
従業者規模別,６～９人,308,27.3,34.1,19.5,7.8,7.1,4.2
従業者規模別,10～29人,341,28.2,39.9,15,8.5,6.2,2.3
従業者規模別,30人以上,251,31.1,45.8,13.1,4,4.8,1.2
年間売上高増減別（３年前）,大幅（10％以上）増加,290,37.9,41,9.7,3.8,5.9,1.7
年間売上高増減別（３年前）,やや（10％未満）増加,360,30.8,40,16.4,5,5.6,2.2
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,22.2,30.7,19.5,11.6,12.6,3.5
年間売上高増減別（３年前）,やや（10％未満）減少,374,16.3,35.8,20.3,12.8,11.2,3.5
年間売上高増減別（３年前）,大幅（10％以上）減少,398,19.8,29.4,19.1,13.6,12.3,5.8
売上高経常利益率別,黒字,1602,25,36.9,17,9.4,8.7,3.1
売上高経常利益率別,赤字,557,20.3,28.4,20.3,12.7,14.2,4.1
経常損益の変化別（３年前）,増益,518,32.2,34.6,16.2,6.9,6.8,3.3
経常損益の変化別（３年前）,横ばい,987,21.2,35,18.1,11.1,12.1,2.5
経常損益の変化別（３年前）,減益,697,22,33.4,18.7,11.3,10,4.6
