業　種,企業支援サービス業,企業支援サービス業,企業支援サービス業,生活支援サービス業,製造業,卸売業,小売業
調査年度,2016,2017,2018,2018,2018,2018,2018
集計企業数（社）,231,277,280,89,635,322,180
従業者数（人）,27,28,27,8,23,20,8
収益性／売上高増加率（%）,0.8,-0.1,1.2,-0.3,1,0.8,-1.8
収益性／売上高経常利益率（%）,2.3,2.2,2.6,1.9,2.8,1.6,0.6
収益性／人件費比率（%）,42.7,44,43.3,40.1,30.7,11.9,19.8
生産性／従業者１人当たり年間売上高（千円）,"11,584","11,404","11,711","8,012","15,217","46,086","15,470"
生産性／売上総利益対人件費比率（%）,73.2,72.2,72.7,55.5,59（※１）,53.2,57.4
安全性／流動比率（％）,255.3,260.2,266.4,184.4,247.7,200.6,160.2
安全性／自己資本比率（％）,36.2,36.5,38.1,19.9,37.1,36.4,25.5
