年,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
サービス業（％）,109.4,103.4,100,98.8,101.3,101.6,100.2,99.4,99.6,100.1,100.5
対個人サービス業（％）,103.1,101.1,100,96.9,100.6,99.9,97.9,95.6,92.6,90.4,89
対事業所サービス業（％）,114.1,105.1,100,100.2,101.9,102.9,101.8,102.2,104.7,107.2,109
