区分１,区分２,(n),赤字（マイナス）(％)(％),０～２％未満(％),２～４％未満(％),４～１０％未満(％),１０％以上(％),無回答(％)
今回調査,全体,2263,24.6,21.5,12.4,15.1,21.8,4.6
前回調査,全体,3094,28.9,16.2,16.8,14.4,20.1,3.6
業種別 ,情報・コンテンツ業,520,24.8,27.1,14.6,17.7,12.5,3.3
業種別 ,専門サービス業,851,20.4,11.6,10.3,12.6,38.4,6.6
業種別 ,技術サービス業,388,29.1,24.7,12.6,16,14.4,3.1
業種別 ,事業サービス業,493,27.4,29.8,13.6,16.2,9.1,3.9
特定10業種別,税理士事務所,267,4.1,3.4,7.5,9.7,69.3,6
特定10業種別,ソフトウェア業,262,19.5,29.4,16,21.8,10.7,2.7
特定10業種別,建築設計業,186,29,26.3,12.9,16.7,11.3,3.8
特定10業種別,デザイン業,123,39.8,22,13,8.9,10.6,5.7
特定10業種別,経営コンサルタント業,106,36.8,12.3,8.5,16,20.8,5.7
特定10業種別,建物サービス業,95,30.5,30.5,12.6,16.8,5.3,4.2
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,22.5,16.9,7,11.3,36.6,5.6
特定10業種別,自動車整備業,68,26.5,36.8,10.3,14.7,1.5,10.3
特定10業種別,法律事務所,58,6.9,6.9,6.9,17.2,48.3,13.8
特定10業種別,映像情報制作・配給業,57,31.6,29.8,24.6,7,7,0
従業者規模別,１～２人,753,35.3,18.1,7.8,10.8,23.9,4.1
従業者規模別,３～５人,560,25.9,19.1,8.8,12.7,27.1,6.4
従業者規模別,６～９人,308,18.8,26.9,16.6,14.6,20.8,2.3
従業者規模別,10～29人,341,15.2,26.1,19.6,18.8,15,5.3
従業者規模別,30人以上,251,10,25.5,18.7,28.3,13.1,4.4
年間売上高増減別（３年前）,大幅（10％以上）増加,290,10,16.9,15.2,20.3,35.5,2.1
年間売上高増減別（３年前）,やや（10％未満）増加,360,8.1,22.5,19.4,23.3,23.6,3.1
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,19.6,25.8,14.3,15.1,21.2,4
年間売上高増減別（３年前）,やや（10％未満）減少,374,34.2,23.3,8.3,10.7,19.3,4.3
年間売上高増減別（３年前）,大幅（10％以上）減少,398,53,14.8,5.5,8.3,15.3,3
経常損益の変化別（３年前）,増益,518,15.1,16.6,14.3,19.9,32.4,1.7
経常損益の変化別（３年前）,横ばい,987,20.2,24.2,13.9,17,22.2,2.5
経常損益の変化別（３年前）,減益,697,39.3,22.7,9.6,10.2,14.5,3.7
年間売上高別,500万円未満,226,59.7,13.7,5.3,5.3,11.9,4
年間売上高別,500万円～１千万円未満,281,38.1,20.3,8.5,11.4,17.1,4.6
年間売上高別,１～３千万円未満,483,24.6,19.7,9.1,11.6,31.1,3.9
年間売上高別,３～５千万円未満,282,23.4,19.1,12.1,16,26.2,3.2
年間売上高別,５千万円～１億円未満,314,22.3,22.9,13.4,12.1,26.8,2.5
年間売上高別,１～３億円未満,339,11.2,31.9,16.5,21.5,16.8,2.1
年間売上高別,３～５億円未満,105,8.6,21,27.6,24.8,14.3,3.8
年間売上高別,５～１０億円未満,117,7.7,27.4,17.1,27.4,17.9,2.6
年間売上高別,１０億円以上,83,2.4,16.9,22.9,33.7,19.3,4.8
