区分１,区分２,(n),都心(％),副都心(％),城東(％),城南(％),城北(％),城西(％),多摩(％),無回答(％)
今回調査,全体,2263,27.5,20.7,12.8,7.5,3.2,11,17.3,0
前回調査,全体,3096,27.2,20.2,14,11.1,7.4,3.2,16.3,0.7
業種別 ,情報・コンテンツ業,520,39.8,26,7.1,5,1.5,9,11.5,0
業種別 ,専門サービス業,851,31.8,21.6,10,7.6,2.2,11.4,15.3,0
業種別 ,技術サービス業,388,14.4,21.9,16,9,5.2,11.9,21.6,0
業種別 ,事業サービス業,493,17.2,13,20.9,8.5,5.1,11.4,23.9,0
特定10業種別,税理士事務所,267,19.5,22.1,18,7.9,3,14.2,15.4,0
特定10業種別,ソフトウェア業,262,40.5,21,8.8,6.9,1.1,5.7,16,0
特定10業種別,建築設計業,186,12.9,33.3,12.9,7.5,7,11.8,14.5,0
特定10業種別,デザイン業,123,32.5,35.8,4.9,8.1,1.6,14.6,2.4,0
特定10業種別,経営コンサルタント業,106,38.7,16,7.5,7.5,2.8,6.6,20.8,0
特定10業種別,建物サービス業,95,14.7,11.6,23.2,6.3,3.2,15.8,25.3,0
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,15.5,19.7,11.3,4.2,5.6,11.3,32.4,0
特定10業種別,自動車整備業,68,2.9,2.9,26.5,8.8,2.9,11.8,44.1,0
特定10業種別,法律事務所,58,72.4,13.8,0,5.2,0,3.4,5.2,0
特定10業種別,映像情報制作・配給業,57,36.8,26.3,0,5.3,1.8,17.5,12.3,0
従業者規模別,１～２人,753,19.3,17.7,13.4,8.2,4,13.7,23.8,0
従業者規模別,３～５人,560,26.4,19.3,14.5,8.4,3.4,12.5,15.5,0
従業者規模別,６～９人,308,26.9,24,13,7.5,2.6,10.7,15.3,0
従業者規模別,10～29人,341,40.8,24.3,8.2,7,2.6,6.2,10.9,0
従業者規模別,30人以上,251,37.5,24.7,11.6,4.8,2.4,5.2,13.9,0
