区分１,区分２,(n),経営情報は全て従業員に知らせる(％),経営情報のうち従業員が活動に必要な事項は知らせる(％),経営情報は従業員には知らせない(％),その他(％),無回答(％)
今回調査,全体,1504,19.5,68.4,9.6,0.7,1.9
業種別 ,情報・コンテンツ業,411,21.4,70.1,7.3,0.5,0.7
業種別 ,専門サービス業,527,19.5,67.2,11,0.4,1.9
業種別 ,技術サービス業,222,19.4,68,8.6,0.9,3.2
業種別 ,事業サービス業,338,17.2,68.6,10.7,1.2,2.4
特定10業種別,税理士事務所,179,20.7,63.1,13.4,0,2.8
特定10業種別,ソフトウェア業,222,20.3,70.7,7.7,0.5,0.9
特定10業種別,建築設計業,103,19.4,68,10.7,1,1
特定10業種別,デザイン業,76,15.8,73.7,7.9,1.3,1.3
特定10業種別,経営コンサルタント業,53,24.5,69.8,3.8,1.9,0
特定10業種別,建物サービス業,76,15.8,69.7,10.5,1.3,2.6
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",38,13.2,73.7,13.2,0,0
特定10業種別,自動車整備業,38,10.5,78.9,5.3,2.6,2.6
特定10業種別,法律事務所,43,18.6,69.8,11.6,0,0
特定10業種別,映像情報制作・配給業,43,18.6,69.8,9.3,0,2.3
従業者規模別,１～２人,154,23.4,58.4,10.4,1.9,5.8
従業者規模別,３～５人,438,20.1,65.8,12.1,0.2,1.8
従業者規模別,６～９人,297,17.8,66.3,12.5,1,2.4
従業者規模別,10～29人,332,19,75,5.7,0,0.3
従業者規模別,30人以上,250,16.8,74.8,6.4,1.2,0.8
年間売上高増減別（３年前）,大幅（10％以上）増加,234,21.8,70.5,6.4,0,1.3
年間売上高増減別（３年前）,やや（10％未満）増加,279,17.9,71.7,7.5,0.7,2.2
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,505,18.6,67.5,10.9,0.6,2.4
年間売上高増減別（３年前）,やや（10％未満）減少,243,19.3,67.1,11.1,1.6,0.8
年間売上高増減別（３年前）,大幅（10％以上）減少,215,19.5,67,10.7,0.5,2.3
売上高経常利益率別,黒字,1144,19.1,69.8,9.4,0.3,1.5
売上高経常利益率別,赤字,296,19.3,65.5,9.8,2.4,3
経常損益の変化別（３年前）,増益,374,23.8,68.4,6.1,0.3,1.3
経常損益の変化別（３年前）,横ばい,628,17.2,68.6,11.5,0.5,2.2
経常損益の変化別（３年前）,減益,470,18.5,68.7,9.8,1.3,1.7
