区分１,区分２,(n),１年未満(％),１～３年未満(％),３～５年未満(％),５～７年未満(％),７～10年未満(％),10年以上(％),無回答(％)
今回調査,全体,2263,1.5,7.8,9,6.5,9.5,63.6,2.2
業種別 ,情報・コンテンツ業,520,0.8,9,12.7,9.2,11.3,54.8,2.1
業種別 ,専門サービス業,851,1.2,7.5,7.2,6.2,9.6,65.7,2.6
業種別 ,技術サービス業,388,3.1,10.1,8.8,5.7,8.2,63.4,0.8
業種別 ,事業サービス業,493,1.4,5.3,8.3,4.9,7.7,69.8,2.6
特定10業種別,税理士事務所,267,0,1.5,6.4,4.5,9.4,76,2.2
特定10業種別,ソフトウェア業,262,1.5,11.5,15.6,10.3,11.8,47.3,1.9
特定10業種別,建築設計業,186,4.3,15.6,10.2,5.4,9.1,54.8,0.5
特定10業種別,デザイン業,123,1.6,4.9,8.1,4.9,8.9,69.9,1.6
特定10業種別,経営コンサルタント業,106,2.8,23.6,14.2,6.6,7.5,42.5,2.8
特定10業種別,建物サービス業,95,0,4.2,6.3,7.4,6.3,73.7,2.1
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,1.4,5.6,0,4.2,18.3,69,1.4
特定10業種別,自動車整備業,68,1.5,2.9,7.4,2.9,2.9,79.4,2.9
特定10業種別,法律事務所,58,0,8.6,6.9,0,5.2,72.4,6.9
特定10業種別,映像情報制作・配給業,57,0,3.5,10.5,8.8,3.5,73.7,0
従業者規模別,１～２人,753,2.3,10.6,9.7,6.5,10.6,58.2,2.1
従業者規模別,３～５人,560,1.6,8.2,8.6,5.9,8.9,64.1,2.7
従業者規模別,６～９人,308,1.6,7.8,11,7.5,8.4,62.3,1.3
従業者規模別,10～29人,341,0.3,3.8,7.9,5.6,8.5,71.3,2.6
従業者規模別,30人以上,251,0,4.4,6,7.6,10.4,69.7,2
年間売上高増減別（３年前）,大幅（10％以上）増加,290,3.4,18.6,16.2,9,12.8,40,0
年間売上高増減別（３年前）,やや（10％未満）増加,360,1.4,10.6,10.6,9.2,13.1,54.4,0.8
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,0.8,5.3,8,5.7,9.5,69.2,1.5
年間売上高増減別（３年前）,やや（10％未満）減少,374,1.9,4.5,5.1,5.3,7.2,75.4,0.5
年間売上高増減別（３年前）,大幅（10％以上）減少,398,1.3,5.3,8,5.8,6.8,70.9,2
売上高経常利益率別,黒字,1602,1.2,7.8,9.2,6.1,10.2,64.9,0.7
売上高経常利益率別,赤字,557,2.3,7.7,9.3,8.1,8.6,62.3,1.6
経常損益の変化別（３年前）,増益,518,1.9,13.1,10.2,7.5,10,57.1,0
経常損益の変化別（３年前）,横ばい,987,1,6.3,8.6,6.3,9.6,67,1.2
経常損益の変化別（３年前）,減益,697,1.7,5.9,9.2,6.5,9.3,66.1,1.3
