区分１,区分２,(n),ある(％),ない(％),無回答(％)
今回調査,全体,2263,16.7,79.9,3.3
業種別 ,情報・コンテンツ業,520,23.5,74.6,1.9
業種別 ,専門サービス業,851,14.2,82.8,2.9
業種別 ,技術サービス業,388,17.8,78.4,3.9
業種別 ,事業サービス業,493,13.4,81.9,4.7
特定10業種別,税理士事務所,267,8.6,88,3.4
特定10業種別,ソフトウェア業,262,25.6,73.3,1.1
特定10業種別,建築設計業,186,20.4,75.3,4.3
特定10業種別,デザイン業,123,13,83.7,3.3
特定10業種別,経営コンサルタント業,106,28.3,69.8,1.9
特定10業種別,建物サービス業,95,15.8,82.1,2.1
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,11.3,81.7,7
特定10業種別,自動車整備業,68,7.4,82.4,10.3
特定10業種別,法律事務所,58,15.5,82.8,1.7
特定10業種別,映像情報制作・配給業,57,24.6,73.7,1.8
従業者規模別,１～２人,753,10.6,84.6,4.8
従業者規模別,３～５人,560,15,82.7,2.3
従業者規模別,６～９人,308,18.2,77.9,3.9
従業者規模別,10～29人,341,21.1,76.5,2.3
従業者規模別,30人以上,251,30.3,69.3,0.4
年間売上高増減別（３年前）,大幅（10％以上）増加,290,30.3,68.3,1.4
年間売上高増減別（３年前）,やや（10％未満）増加,360,24.7,72.2,3.1
年間売上高増減別（３年前）,ほぼ（±５％未満）横ばい,796,13.1,83.7,3.3
年間売上高増減別（３年前）,やや（10％未満）減少,374,8.8,88,3.2
年間売上高増減別（３年前）,大幅（10％以上）減少,398,12.8,82.2,5
売上高経常利益率別,黒字,1602,17.9,79.5,2.6
売上高経常利益率別,赤字,557,12.9,81.7,5.4
経常損益の変化別（３年前）,増益,518,25.1,72.8,2.1
経常損益の変化別（３年前）,横ばい,987,13.6,83.2,3.2
経常損益の変化別（３年前）,減益,697,14.2,81.8,4
