区分１,区分２,(n),300万円以下(％),"300万円超～1,000万円以下(％)","1,000万円超～3,000万円以下(％)","3,000万円超～5,000万円以下(％)",5000万円超(％),無回答(％)
今回調査,全体,1673,32.9,41.4,13.4,5.3,3.7,3.3
前回調査,全体,1972,31.3,45.5,13,4.9,4.3,1
業種別 ,情報・コンテンツ業,516,26.4,39,15.3,8.9,7.2,3.3
業種別 ,専門サービス業,370,41.6,40.5,9.2,2.7,3,3
業種別 ,技術サービス業,339,37.5,45.4,10,4.1,0.9,2.1
業種別 ,事業サービス業,438,29.9,42.2,17.1,4.3,2.5,3.9
特定10業種別,税理士事務所,13,53.8,46.2,0,0,0,0
特定10業種別,ソフトウェア業,261,19.5,37.2,21.1,12.3,8.4,1.5
特定10業種別,建築設計業,162,38.9,43.2,11.1,4.3,0.6,1.9
特定10業種別,デザイン業,109,43.1,45,7.3,0,0.9,3.7
特定10業種別,経営コンサルタント業,103,45.6,35.9,8.7,3.9,2.9,2.9
特定10業種別,建物サービス業,92,33.7,43.5,18.5,1.1,1.1,2.2
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",3,33.3,33.3,33.3,0,0,0
特定10業種別,自動車整備業,49,51,18.4,14.3,4.1,0,12.2
特定10業種別,法律事務所,2,0,50,50,0,0,0
特定10業種別,映像情報制作・配給業,57,31.6,40.4,19.3,1.8,1.8,5.3
従業者規模別,１～２人,449,58.8,33,2.4,0.7,0.4,4.7
従業者規模別,３～５人,382,42.1,47.1,6.8,0.8,0.8,2.4
従業者規模別,６～９人,242,26.4,51.7,15.7,3.3,1.7,1.2
従業者規模別,10～29人,316,11.1,50,22.2,7.6,7,2.2
従業者規模別,30人以上,249,8,28.1,31.3,19.7,12,0.8
