,,(n),１～２人(％),３～５人(％),６～９人（％),10～29人(％),30人以上(％),無回答(％)
,今回調査（全体）,2263,33.3,24.7,13.6,15.1,11.1,2.2
,前回調査,3096,33.1,6.1,13.3,15.4,10.4,1.7
業種別 ,情報・コンテンツ業,520,20.8,20.2,14.2,24.6,18.3,1.9
業種別 ,専門サービス業,851,42.7,29.6,13,10.5,2.2,2
業種別 ,技術サービス業,388,38.9,26.3,12.1,13.4,6.4,2.8
業種別 ,事業サービス業,493,26,19.7,15.2,14,22.7,2.4
特定10業種別,税理士事務所,267,35.6,41.2,13.9,6.4,0.4,2.6
特定10業種別,ソフトウェア業,262,14.9,19.1,13,26.7,24.8,1.5
特定10業種別,建築設計業,186,44.6,24.2,10.2,12.4,7,1.6
特定10業種別,デザイン業,123,42.3,25.2,12.2,17.9,0.8,1.6
特定10業種別,経営コンサルタント業,106,50,26.4,9.4,6.6,5.7,1.9
特定10業種別,建物サービス業,95,15.8,15.8,20,12.6,32.6,3.2
特定10業種別,"公証人役場, 司法書士事務所, 土地家屋調査士事務所",71,54.9,29.6,11.3,1.4,0,2.8
特定10業種別,自動車整備業,68,38.2,22.1,23.5,8.8,5.9,1.5
特定10業種別,法律事務所,58,37.9,20.7,24.1,10.3,3.4,3.4
特定10業種別,映像情報制作・配給業,57,29.8,12.3,15.8,24.6,15.8,1.8
